,Hours,produced_total,given_p_total,consumed_total,Nettoexport
328,328,27535.0,76660.0,71128,8386
329,329,27771.0,79080.0,73723,8453
330,330,26665.0,78448.0,73177,9122
331,331,25152.0,77899.0,71529,10015
332,332,23150.0,75057.0,67887,10346
333,333,21769.0,72790.0,64737,9820
334,334,20073.0,68887.0,60687,10414
335,335,18768.0,67825.0,56290,11213
336,336,17699.0,65933.0,53088,10935
337,337,18016.0,65153.0,50096,12413
338,338,17597.0,64248.0,49916,11809
339,339,17790.0,63550.0,50095,11096
340,340,18286.0,63860.0,52180,10122
341,341,18490.0,64211.0,55773,8482
342,342,21250.0,69284.0,63679,7721
343,343,24807.0,73320.0,70077,6287
344,344,26802.0,76632.0,72409,7704
345,345,26187.0,77928.0,71996,9419
346,346,24556.0,78683.0,72239,9558
347,347,23568.0,79798.0,72462,10358
348,348,23254.0,79815.0,70917,10887
349,349,23305.0,78911.0,69923,10582
350,350,24375.0,76767.0,69123,9733
351,351,25995.0,74799.0,69144,8830
352,352,27458.0,73913.0,69138,8034
353,353,28374.0,76631.0,72325,7567
354,354,28518.0,77337.0,71905,8745
355,355,27702.0,75837.0,70334,8771
356,356,25552.0,72451.0,66002,8640
357,357,23926.0,69066.0,62806,8324
358,358,23869.0,66594.0,59350,8664
359,359,23555.0,64003.0,55223,10578
360,360,24016.0,61779.0,51632,9480
361,361,24692.0,59799.0,49275,9396
362,362,24504.0,57710.0,48683,7232
363,363,24951.0,56458.0,48850,5308
364,364,26016.0,56554.0,50363,4352
365,365,28193.0,57759.0,53750,3141
366,366,31117.0,60920.0,61088,1454
367,367,35742.0,66248.0,68017,1173
368,368,37769.0,70081.0,69931,2697
369,369,37539.0,70626.0,69577,3605
370,370,36543.0,70512.0,69591,3346
371,371,33319.0,68192.0,69397,998
372,372,31840.0,66868.0,68740,159
373,373,31405.0,65350.0,68471,-465
374,374,32342.0,63998.0,67339,-670
375,375,33213.0,61962.0,66675,-2236
376,376,34413.0,61485.0,66971,-2514
377,377,35549.0,67334.0,71067,-342
378,378,35324.0,71474.0,71851,3038
379,379,34638.0,73237.0,70253,6136
380,380,31123.0,70169.0,66406,6178
381,381,27144.0,66689.0,62436,5714
382,382,26070.0,64676.0,59115,6623
383,383,24549.0,63430.0,55229,7580
384,384,23298.0,62242.0,52750,7069
385,385,22541.0,60752.0,51396,6778
386,386,21784.0,59633.0,50350,6794
387,387,22331.0,59605.0,50506,5661
388,388,22623.0,58832.0,51978,3918
389,389,25893.0,61840.0,54964,4531
390,390,29743.0,66614.0,62307,5261
391,391,33329.0,71445.0,68693,5098
392,392,35872.0,75223.0,71095,7137
393,393,34868.0,76014.0,70875,8347
