Datum;Uhrzeit;Generation_DE G[MW];Generation_DE C[MW];Generation_DE F[MW];Generation_DE A[MW];Generation_DE B[MW];Generation_DE D[MW];Generation_DE E[MW]
10.01.2020;00:00;1.038;-;1.060;153;0;0;0
10.01.2020;01:00;1.040;-;1.059;154;0;0;0
10.01.2020;02:00;1.044;-;1.064;153;0;0;0
10.01.2020;03:00;1.044;-;1.064;155;0;0;0
10.01.2020;04:00;1.040;-;1.063;169;0;0;0
10.01.2020;05:00;1.038;-;1.061;199;0;0;0
10.01.2020;06:00;1.041;-;1.062;214;0;0;0
10.01.2020;07:00;1.040;-;1.068;214;0;0;0
10.01.2020;08:00;1.041;-;1.069;216;0;0;0
10.01.2020;09:00;1.041;-;1.069;220;0;0;0
10.01.2020;10:00;1.043;-;1.065;222;0;0;0
10.01.2020;11:00;1.046;-;1.059;218;0;0;0
10.01.2020;12:00;1.050;-;1.061;217;0;0;0
10.01.2020;13:00;1.053;-;1.061;216;0;0;0
10.01.2020;14:00;1.054;-;1.060;216;0;0;0
10.01.2020;15:00;1.056;-;1.059;216;0;0;0
10.01.2020;16:00;1.053;-;1.057;217;0;0;0
10.01.2020;17:00;1.052;-;1.055;224;0;0;0
10.01.2020;18:00;1.053;-;1.056;223;0;0;0
10.01.2020;19:00;1.053;-;1.058;228;0;0;0
10.01.2020;20:00;1.054;-;1.059;226;0;0;0
10.01.2020;21:00;1.056;-;1.058;225;0;0;0
10.01.2020;22:00;1.056;-;1.059;225;0;0;0
10.01.2020;23:00;1.054;-;1.057;214;0;0;0
11.01.2020;00:00;1.053;-;1.060;216;0;0;0
11.01.2020;01:00;1.057;-;1.059;182;0;0;0
11.01.2020;02:00;1.055;-;1.055;166;0;0;0
11.01.2020;03:00;1.054;-;1.060;157;0;0;0
11.01.2020;04:00;1.055;-;1.059;157;0;0;0
11.01.2020;05:00;1.056;-;1.058;156;0;0;0
11.01.2020;06:00;983;-;984;156;0;0;0
11.01.2020;07:00;1.052;-;1.054;180;0;0;0
11.01.2020;08:00;1.061;-;1.054;223;0;0;0
11.01.2020;09:00;1.056;-;1.055;225;0;0;0
11.01.2020;10:00;1.057;-;1.058;222;0;0;0
11.01.2020;11:00;1.056;-;1.058;252;0;0;0
11.01.2020;12:00;1.056;-;1.057;249;0;0;0
11.01.2020;13:00;1.053;-;1.054;176;0;0;0
11.01.2020;14:00;1.051;-;1.056;160;0;0;0
11.01.2020;15:00;1.053;-;1.058;216;0;0;0
11.01.2020;16:00;1.058;-;1.059;246;0;0;0
11.01.2020;17:00;1.055;-;1.061;268;0;0;0
11.01.2020;18:00;1.059;-;1.061;264;0;0;0
11.01.2020;19:00;1.058;-;1.063;257;0;0;0
11.01.2020;20:00;1.043;-;1.063;182;0;0;0
11.01.2020;21:00;1.061;-;1.058;184;0;0;0
11.01.2020;22:00;849;-;929;166;0;0;0
11.01.2020;23:00;563;-;618;161;0;0;0
12.01.2020;00:00;512;-;494;158;0;0;0
12.01.2020;01:00;477;-;484;162;0;0;0
12.01.2020;02:00;485;-;482;161;0;0;0
12.01.2020;03:00;569;-;543;160;0;0;0
12.01.2020;04:00;519;-;496;160;0;0;0
12.01.2020;05:00;483;-;488;161;0;0;0
12.01.2020;06:00;482;-;485;164;0;0;0
12.01.2020;07:00;482;-;485;165;0;0;0
12.01.2020;08:00;481;-;484;165;0;0;0
12.01.2020;09:00;481;-;482;164;0;0;0
12.01.2020;10:00;483;-;485;165;0;0;0
12.01.2020;11:00;481;-;483;163;0;0;0
12.01.2020;12:00;486;-;482;163;0;0;0
12.01.2020;13:00;503;-;514;164;0;0;0
12.01.2020;14:00;594;-;597;164;0;0;0
12.01.2020;15:00;500;-;534;163;0;0;0
12.01.2020;16:00;732;-;616;165;0;0;0
12.01.2020;17:00;1.046;-;944;173;0;0;0
12.01.2020;18:00;1.050;-;1.053;176;0;0;0
12.01.2020;19:00;977;-;980;177;0;0;0
12.01.2020;20:00;574;-;563;174;0;0;0
12.01.2020;21:00;532;-;543;173;0;0;0
12.01.2020;22:00;816;-;817;182;0;0;0
12.01.2020;23:00;948;-;951;166;0;0;0
13.01.2020;00:00;827;-;831;166;0;0;0
13.01.2020;01:00;876;-;871;164;0;0;0
13.01.2020;02:00;813;-;640;163;0;0;0
13.01.2020;03:00;917;-;841;163;0;0;0
13.01.2020;04:00;1.042;-;1.051;165;0;0;0
13.01.2020;05:00;1.054;-;1.052;199;0;0;0
13.01.2020;06:00;1.052;-;1.052;252;0;0;0
13.01.2020;07:00;1.052;-;1.051;263;0;0;0
13.01.2020;08:00;1.054;-;1.053;263;0;0;0
13.01.2020;09:00;1.054;-;1.055;262;0;0;0
13.01.2020;10:00;1.052;-;1.055;263;0;0;0
