Datum;Uhrzeit;Generation_DE G[MW];Generation_DE H[MW];Generation_DE D[MW];Generation_DE E[MW];Generation_DE C[MW];Generation_DE B[MW];Generation_DE F[MW];Generation_DE K[MW];Generation_DE A[MW]
11.01.2020;10:00;552;0;0;-;278;-;-;928;-
11.01.2020;11:00;621;0;0;-;272;-;-;924;-
11.01.2020;12:00;508;0;0;-;213;-;-;924;-
11.01.2020;13:00;286;0;0;-;153;-;-;918;-
11.01.2020;14:00;282;0;0;-;153;-;-;892;-
11.01.2020;15:00;309;0;0;-;153;-;-;927;-
11.01.2020;16:00;366;0;0;-;153;-;-;929;-
11.01.2020;17:00;526;0;0;-;156;-;-;927;-
11.01.2020;18:00;488;0;0;-;153;-;-;926;-
11.01.2020;19:00;305;0;0;-;153;-;-;928;-
11.01.2020;20:00;283;0;0;-;153;-;-;875;-
11.01.2020;21:00;280;0;0;-;153;-;-;683;-
11.01.2020;22:00;280;0;0;-;153;-;-;376;-
11.01.2020;23:00;281;0;0;-;153;-;-;363;-
12.01.2020;00:00;280;0;0;-;154;-;-;377;-
12.01.2020;01:00;281;0;0;-;153;-;-;373;-
12.01.2020;02:00;280;0;0;-;154;-;-;374;-
12.01.2020;03:00;282;0;0;-;153;-;-;376;-
12.01.2020;04:00;280;0;0;-;154;-;-;373;-
12.01.2020;05:00;280;0;0;-;152;-;-;373;-
12.01.2020;06:00;280;0;0;-;153;-;-;371;-
12.01.2020;07:00;280;0;0;-;153;-;-;370;-
12.01.2020;08:00;279;0;0;-;154;-;-;370;-
12.01.2020;09:00;281;0;0;-;152;-;-;372;-
12.01.2020;10:00;279;0;0;-;152;-;-;371;-
12.01.2020;11:00;280;0;0;-;155;-;-;373;-
12.01.2020;12:00;277;0;0;-;153;-;-;373;-
12.01.2020;13:00;281;0;0;-;154;-;-;369;-
12.01.2020;14:00;283;0;0;-;155;-;-;383;-
12.01.2020;15:00;281;0;0;-;150;-;-;372;-
12.01.2020;16:00;280;0;0;-;149;-;-;374;-
12.01.2020;17:00;279;0;0;-;150;-;-;377;-
12.01.2020;18:00;280;0;0;-;150;-;-;386;-
12.01.2020;19:00;280;0;0;-;150;-;-;398;-
12.01.2020;20:00;278;0;0;-;151;-;-;381;-
12.01.2020;21:00;279;0;0;-;149;-;-;434;-
12.01.2020;22:00;317;0;0;-;162;-;-;662;-
12.01.2020;23:00;278;0;0;-;151;-;-;756;-
13.01.2020;00:00;280;0;0;-;150;-;-;489;-
13.01.2020;01:00;281;0;0;-;150;-;-;423;-
13.01.2020;02:00;280;0;0;-;150;-;-;369;-
13.01.2020;03:00;279;0;0;-;150;-;-;471;-
13.01.2020;04:00;284;0;0;-;150;-;-;603;-
13.01.2020;05:00;363;0;0;-;167;-;-;923;-
13.01.2020;06:00;590;0;0;-;228;-;-;931;-
13.01.2020;07:00;631;0;0;-;281;-;-;932;-
13.01.2020;08:00;630;0;0;-;279;-;-;929;-
13.01.2020;09:00;632;0;0;-;279;-;-;936;-
13.01.2020;10:00;637;0;0;-;278;-;-;948;-
13.01.2020;11:00;635;0;0;-;280;-;-;947;-
13.01.2020;12:00;641;0;0;-;279;-;-;947;-
13.01.2020;13:00;637;0;0;-;279;-;-;947;-
13.01.2020;14:00;638;0;0;-;280;-;-;945;-
13.01.2020;15:00;638;0;0;-;279;-;-;944;-
13.01.2020;16:00;637;0;0;-;276;-;-;945;-
13.01.2020;17:00;637;0;0;-;273;-;-;947;-
13.01.2020;18:00;638;0;0;-;279;-;-;946;-
13.01.2020;19:00;611;0;0;-;275;-;-;947;-
13.01.2020;20:00;427;0;0;-;242;-;-;924;-
13.01.2020;21:00;315;0;0;-;156;-;-;925;-
13.01.2020;22:00;321;0;0;-;149;-;-;608;-
13.01.2020;23:00;324;0;0;-;150;-;-;364;-
14.01.2020;00:00;318;0;0;-;150;-;-;391;-
14.01.2020;01:00;303;0;0;-;149;-;-;369;-
14.01.2020;02:00;304;0;0;-;150;-;-;368;-
14.01.2020;03:00;307;0;0;-;150;-;-;369;-
14.01.2020;04:00;307;0;0;-;150;-;-;387;-
14.01.2020;05:00;306;0;0;-;150;-;-;518;-
14.01.2020;06:00;306;0;0;-;150;-;-;771;-
14.01.2020;07:00;316;0;0;-;150;-;-;926;-
14.01.2020;08:00;513;0;0;-;210;-;-;778;-
14.01.2020;09:00;442;0;0;-;220;-;-;752;-
14.01.2020;10:00;334;0;0;-;155;-;-;759;-
14.01.2020;11:00;388;0;0;-;150;-;-;759;-
14.01.2020;12:00;307;0;0;-;150;-;-;778;-
14.01.2020;13:00;313;0;0;-;150;-;-;919;-
14.01.2020;14:00;348;0;0;-;150;-;-;927;-
14.01.2020;15:00;348;0;0;-;150;-;-;927;-
14.01.2020;16:00;504;0;0;-;150;-;-;929;-
14.01.2020;17:00;621;0;0;-;150;-;-;928;-
14.01.2020;18:00;433;0;0;-;150;-;-;927;-
14.01.2020;19:00;449;0;0;-;150;-;-;927;-
14.01.2020;20:00;488;0;0;-;150;-;-;921;-
14.01.2020;21:00;303;0;0;-;150;-;-;563;-
14.01.2020;22:00;305;0;0;-;150;-;-;366;-
14.01.2020;23:00;306;0;0;-;150;-;-;366;-
15.01.2020;00:00;308;0;0;-;150;-;-;367;-
15.01.2020;01:00;307;0;0;-;150;-;-;369;-
15.01.2020;02:00;302;0;0;-;150;-;-;368;-
15.01.2020;03:00;306;0;0;-;150;-;-;367;-
15.01.2020;04:00;308;0;0;-;150;-;-;367;-
15.01.2020;05:00;306;0;0;-;150;-;-;392;-
15.01.2020;06:00;347;0;0;-;162;-;-;774;-
15.01.2020;07:00;594;0;0;-;251;-;-;927;-
15.01.2020;08:00;612;0;0;-;272;-;-;923;-
15.01.2020;09:00;619;0;0;-;272;-;-;922;-
15.01.2020;10:00;589;0;0;-;259;-;-;921;-
15.01.2020;11:00;335;0;0;-;172;-;-;916;-
15.01.2020;12:00;314;0;0;-;153;-;-;925;-
15.01.2020;13:00;377;0;0;-;167;-;-;921;-
15.01.2020;14:00;549;0;0;-;251;-;-;920;-
15.01.2020;15:00;616;0;0;-;276;-;-;919;-
15.01.2020;16:00;616;0;0;-;273;-;-;920;-
15.01.2020;17:00;620;0;0;-;274;-;-;919;-
15.01.2020;18:00;617;0;0;-;274;-;-;922;-
