Datum;Uhrzeit;Generation_DE R[MW];Generation_DE Q[MW];Generation_DE P[MW];Generation_DE N[MW]
13.01.2020;11:00;549;0;209;498
13.01.2020;12:00;558;0;209;495
13.01.2020;13:00;564;0;210;492
13.01.2020;14:00;558;0;208;491
13.01.2020;15:00;553;0;208;493
13.01.2020;16:00;553;0;209;495
13.01.2020;17:00;553;0;209;494
13.01.2020;18:00;552;0;207;486
13.01.2020;19:00;550;0;208;489
13.01.2020;20:00;551;0;208;494
13.01.2020;21:00;561;0;213;420
13.01.2020;22:00;557;0;216;424
13.01.2020;23:00;499;0;191;421
14.01.2020;00:00;415;0;164;399
14.01.2020;01:00;290;0;165;400
14.01.2020;02:00;285;0;167;402
14.01.2020;03:00;290;0;167;401
14.01.2020;04:00;288;0;168;401
14.01.2020;05:00;399;0;212;412
14.01.2020;06:00;421;0;208;404
14.01.2020;07:00;389;0;170;400
14.01.2020;08:00;405;0;173;425
14.01.2020;09:00;400;0;176;428
14.01.2020;10:00;540;0;207;431
14.01.2020;11:00;548;0;208;435
14.01.2020;12:00;522;0;204;424
14.01.2020;13:00;403;0;172;418
14.01.2020;14:00;571;0;197;488
14.01.2020;15:00;555;39;206;485
14.01.2020;16:00;565;373;204;486
14.01.2020;17:00;561;407;203;485
14.01.2020;18:00;565;494;198;485
14.01.2020;19:00;519;509;174;427
14.01.2020;20:00;532;510;280;403
14.01.2020;21:00;563;511;375;398
14.01.2020;22:00;437;513;178;397
14.01.2020;23:00;326;513;173;398
15.01.2020;00:00;250;442;170;396
15.01.2020;01:00;251;397;172;398
15.01.2020;02:00;249;401;174;397
15.01.2020;03:00;249;402;173;397
15.01.2020;04:00;255;416;201;464
15.01.2020;05:00;261;528;181;399
15.01.2020;06:00;417;553;180;396
15.01.2020;07:00;584;663;205;478
15.01.2020;08:00;583;672;207;437
15.01.2020;09:00;572;690;206;430
15.01.2020;10:00;536;555;209;412
15.01.2020;11:00;559;579;214;434
15.01.2020;12:00;544;582;199;416
15.01.2020;13:00;533;546;213;404
15.01.2020;14:00;557;629;214;432
15.01.2020;15:00;549;827;212;490
15.01.2020;16:00;546;804;208;434
15.01.2020;17:00;547;833;210;494
15.01.2020;18:00;556;806;208;434
15.01.2020;19:00;549;804;208;432
15.01.2020;20:00;535;738;206;401
15.01.2020;21:00;442;719;197;401
15.01.2020;22:00;493;722;202;451
15.01.2020;23:00;492;733;204;447
16.01.2020;00:00;544;836;206;488
16.01.2020;01:00;549;835;205;493
16.01.2020;02:00;550;836;205;494
16.01.2020;03:00;554;836;204;499
16.01.2020;04:00;568;831;196;501
16.01.2020;05:00;572;830;196;503
16.01.2020;06:00;569;831;212;502
16.01.2020;07:00;553;834;213;501
16.01.2020;08:00;549;826;211;500
16.01.2020;09:00;543;800;216;501
16.01.2020;10:00;538;565;217;500
16.01.2020;11:00;540;24;215;498
16.01.2020;12:00;534;0;215;501
16.01.2020;13:00;567;0;216;502
16.01.2020;14:00;569;0;217;499
16.01.2020;15:00;576;0;200;500
16.01.2020;16:00;578;0;197;500
16.01.2020;17:00;572;0;200;498
16.01.2020;18:00;571;0;200;499
16.01.2020;19:00;575;0;187;501
16.01.2020;20:00;584;0;177;499
16.01.2020;21:00;581;0;175;501
16.01.2020;22:00;584;0;179;502
16.01.2020;23:00;565;0;180;501
17.01.2020;00:00;584;0;176;499
17.01.2020;01:00;576;0;178;418
17.01.2020;02:00;578;0;187;417
17.01.2020;03:00;577;0;202;498
17.01.2020;04:00;582;0;196;500
17.01.2020;05:00;588;0;191;501
17.01.2020;06:00;583;0;192;500
17.01.2020;07:00;581;0;203;500
17.01.2020;08:00;577;0;210;500
17.01.2020;09:00;579;0;212;500
17.01.2020;10:00;580;0;211;502
17.01.2020;11:00;579;0;210;502
17.01.2020;12:00;575;0;208;504
17.01.2020;13:00;581;0;206;504
