Datum;Uhrzeit;Generation_DE GUD C 200
GT 1, GT 2, DT 1[MW]
24.01.2020;00:00;154
24.01.2020;01:00;156
24.01.2020;02:00;157
24.01.2020;03:00;157
24.01.2020;04:00;157
24.01.2020;05:00;155
24.01.2020;06:00;153
24.01.2020;07:00;156
24.01.2020;08:00;152
24.01.2020;09:00;154
24.01.2020;10:00;149
24.01.2020;11:00;150
24.01.2020;12:00;149
24.01.2020;13:00;149
24.01.2020;14:00;136
24.01.2020;15:00;130
24.01.2020;16:00;134
24.01.2020;17:00;135
24.01.2020;18:00;141
24.01.2020;19:00;167
24.01.2020;20:00;163
24.01.2020;21:00;166
24.01.2020;22:00;163
24.01.2020;23:00;157
25.01.2020;00:00;166
25.01.2020;01:00;154
25.01.2020;02:00;162
25.01.2020;03:00;139
25.01.2020;04:00;146
25.01.2020;05:00;129
25.01.2020;06:00;150
25.01.2020;07:00;154
25.01.2020;08:00;153
25.01.2020;09:00;155
25.01.2020;10:00;146
25.01.2020;11:00;147
25.01.2020;12:00;151
25.01.2020;13:00;146
25.01.2020;14:00;146
25.01.2020;15:00;145
25.01.2020;16:00;144
25.01.2020;17:00;146
25.01.2020;18:00;148
25.01.2020;19:00;150
25.01.2020;20:00;152
25.01.2020;21:00;152
25.01.2020;22:00;152
25.01.2020;23:00;148
26.01.2020;00:00;133
26.01.2020;01:00;139
26.01.2020;02:00;140
26.01.2020;03:00;140
26.01.2020;04:00;136
26.01.2020;05:00;137
26.01.2020;06:00;144
26.01.2020;07:00;138
26.01.2020;08:00;150
26.01.2020;09:00;151
26.01.2020;10:00;159
26.01.2020;11:00;159
26.01.2020;12:00;156
26.01.2020;13:00;151
26.01.2020;14:00;147
26.01.2020;15:00;150
26.01.2020;16:00;148
26.01.2020;17:00;147
26.01.2020;18:00;150
26.01.2020;19:00;146
26.01.2020;20:00;147
26.01.2020;21:00;138
26.01.2020;22:00;139
26.01.2020;23:00;137
27.01.2020;00:00;134
27.01.2020;01:00;133
27.01.2020;02:00;143
