Datum;Uhrzeit;Generation_DE GT 3[MW];Generation_DE Block 4[MW];Generation_DE Block 3[MW]
24.01.2020;03:00;-;122;-
24.01.2020;04:00;-;119;-
24.01.2020;05:00;-;133;-
24.01.2020;06:00;-;149;-
24.01.2020;07:00;-;151;-
24.01.2020;08:00;-;127;-
24.01.2020;09:00;-;118;-
24.01.2020;10:00;-;146;-
24.01.2020;11:00;-;139;-
24.01.2020;12:00;-;130;-
24.01.2020;13:00;-;148;-
24.01.2020;14:00;-;150;-
24.01.2020;15:00;-;127;-
24.01.2020;16:00;-;134;-
24.01.2020;17:00;-;130;-
24.01.2020;18:00;-;130;-
24.01.2020;19:00;-;141;-
24.01.2020;20:00;-;116;-
24.01.2020;21:00;-;122;-
24.01.2020;22:00;-;125;-
24.01.2020;23:00;-;0;-
25.01.2020;00:00;-;0;-
25.01.2020;01:00;-;109;-
25.01.2020;02:00;-;99;-
25.01.2020;03:00;-;53;-
25.01.2020;04:00;-;52;-
25.01.2020;05:00;-;125;-
25.01.2020;06:00;-;108;-
25.01.2020;07:00;-;109;-
25.01.2020;08:00;-;109;-
25.01.2020;09:00;-;110;-
25.01.2020;10:00;-;111;-
25.01.2020;11:00;-;106;-
25.01.2020;12:00;-;107;-
25.01.2020;13:00;-;108;-
25.01.2020;14:00;-;110;-
25.01.2020;15:00;-;110;-
25.01.2020;16:00;-;110;-
25.01.2020;17:00;-;110;-
25.01.2020;18:00;-;109;-
25.01.2020;19:00;-;109;-
25.01.2020;20:00;-;109;-
25.01.2020;21:00;-;109;-
25.01.2020;22:00;-;97;-
25.01.2020;23:00;-;0;-
26.01.2020;00:00;-;0;-
26.01.2020;01:00;-;104;-
26.01.2020;02:00;-;117;-
26.01.2020;03:00;-;101;-
26.01.2020;04:00;-;109;-
26.01.2020;05:00;-;113;-
26.01.2020;06:00;-;116;-
26.01.2020;07:00;-;126;-
26.01.2020;08:00;-;120;-
26.01.2020;09:00;-;134;-
26.01.2020;10:00;-;132;-
26.01.2020;11:00;-;108;-
26.01.2020;12:00;-;118;-
26.01.2020;13:00;-;119;-
26.01.2020;14:00;-;121;-
26.01.2020;15:00;-;120;-
26.01.2020;16:00;-;107;-
26.01.2020;17:00;-;103;-
26.01.2020;18:00;-;120;-
26.01.2020;19:00;-;108;-
26.01.2020;20:00;-;133;-
26.01.2020;21:00;-;132;-
26.01.2020;22:00;-;122;-
26.01.2020;23:00;-;0;-
27.01.2020;00:00;-;0;-
27.01.2020;01:00;-;123;-
27.01.2020;02:00;-;136;-
27.01.2020;03:00;-;122;-
27.01.2020;04:00;-;118;-
27.01.2020;05:00;-;127;-
27.01.2020;06:00;-;139;-
27.01.2020;07:00;-;154;-
27.01.2020;08:00;-;128;-
27.01.2020;09:00;-;124;-
27.01.2020;10:00;-;130;-
27.01.2020;11:00;-;143;-
27.01.2020;12:00;-;144;-
27.01.2020;13:00;-;128;-
27.01.2020;14:00;-;126;-
27.01.2020;15:00;-;128;-
27.01.2020;16:00;-;127;-
27.01.2020;17:00;-;136;-
27.01.2020;18:00;-;152;-
27.01.2020;19:00;-;150;-
27.01.2020;20:00;-;146;-
27.01.2020;21:00;-;155;-
27.01.2020;22:00;-;156;-
27.01.2020;23:00;-;0;-
28.01.2020;00:00;-;0;-
28.01.2020;01:00;-;126;-
28.01.2020;02:00;-;138;-
28.01.2020;03:00;-;133;-
28.01.2020;04:00;-;126;-
28.01.2020;05:00;-;118;-
28.01.2020;06:00;-;133;-
28.01.2020;07:00;-;155;-
28.01.2020;08:00;-;162;-
28.01.2020;09:00;-;147;-
28.01.2020;10:00;-;124;-
28.01.2020;11:00;-;136;-
28.01.2020;12:00;-;133;-
28.01.2020;13:00;-;143;-
28.01.2020;14:00;-;143;-
28.01.2020;15:00;-;138;-
28.01.2020;16:00;-;139;-
28.01.2020;17:00;-;141;-
28.01.2020;18:00;-;131;-
28.01.2020;19:00;-;122;-
28.01.2020;20:00;-;129;-
28.01.2020;21:00;-;118;-
28.01.2020;22:00;-;133;-
28.01.2020;23:00;-;0;-
29.01.2020;00:00;-;122;-
29.01.2020;01:00;-;141;-
29.01.2020;02:00;-;142;-
29.01.2020;03:00;-;129;-
29.01.2020;04:00;-;118;-
29.01.2020;05:00;-;128;-
29.01.2020;06:00;-;128;-
29.01.2020;07:00;-;120;-
29.01.2020;08:00;-;120;-
29.01.2020;09:00;-;127;-
29.01.2020;10:00;-;135;-
29.01.2020;11:00;-;134;-
29.01.2020;12:00;-;124;-
29.01.2020;13:00;-;118;-
29.01.2020;14:00;-;124;-
29.01.2020;15:00;-;123;-
29.01.2020;16:00;-;121;-
29.01.2020;17:00;-;126;-
29.01.2020;18:00;-;113;-
29.01.2020;19:00;-;116;-
29.01.2020;20:00;-;140;-
29.01.2020;21:00;-;113;-
29.01.2020;22:00;-;108;-
29.01.2020;23:00;-;0;-
30.01.2020;00:00;-;0;-
30.01.2020;01:00;-;111;-
30.01.2020;02:00;-;101;-
30.01.2020;03:00;-;121;-
30.01.2020;04:00;-;148;-
30.01.2020;05:00;-;142;-
30.01.2020;06:00;-;131;-
30.01.2020;07:00;-;115;-
30.01.2020;08:00;-;122;-
