Datum;Uhrzeit;Generation_DE D[MW];Generation_DE C[MW];Generation_DE H_VGT[MW];Generation_DE G_VGT[MW];Generation_DE F[MW];Generation_DE H[MW];Generation_DE G[MW];Generation_DE E[MW]
13.01.2020;10:00;-;-;190;198;118;653;659;321
13.01.2020;11:00;-;-;190;197;129;656;655;318
13.01.2020;12:00;-;-;177;197;157;655;660;320
13.01.2020;13:00;-;-;180;196;156;655;657;319
13.01.2020;14:00;-;-;189;197;156;651;658;318
13.01.2020;15:00;-;-;189;197;153;655;657;321
13.01.2020;16:00;-;-;190;197;154;658;660;322
13.01.2020;17:00;-;-;190;197;152;656;658;321
13.01.2020;18:00;-;-;189;196;155;659;658;321
13.01.2020;19:00;-;-;164;170;147;656;656;294
13.01.2020;20:00;-;-;0;0;109;623;629;196
13.01.2020;21:00;-;-;0;0;105;471;465;194
13.01.2020;22:00;-;-;0;0;111;255;253;193
13.01.2020;23:00;-;-;0;0;111;248;247;193
14.01.2020;00:00;-;-;0;0;108;259;249;193
14.01.2020;01:00;-;-;0;0;106;274;250;195
14.01.2020;02:00;-;-;0;0;104;272;251;195
14.01.2020;03:00;-;-;0;0;104;269;250;195
14.01.2020;04:00;-;-;0;0;102;266;249;195
14.01.2020;05:00;-;-;0;0;104;271;250;194
14.01.2020;06:00;-;-;0;0;192;297;250;194
14.01.2020;07:00;-;-;0;0;244;362;247;196
14.01.2020;08:00;-;-;0;0;240;562;386;268
14.01.2020;09:00;-;-;0;0;241;565;485;255
14.01.2020;10:00;-;-;0;0;235;565;314;197
14.01.2020;11:00;-;-;0;0;244;564;411;196
14.01.2020;12:00;-;-;0;0;263;546;424;195
14.01.2020;13:00;-;-;0;0;277;601;425;193
14.01.2020;14:00;-;-;0;0;295;606;467;194
14.01.2020;15:00;-;-;0;0;315;561;652;194
14.01.2020;16:00;-;-;0;0;320;632;664;193
14.01.2020;17:00;-;-;0;0;264;636;659;193
14.01.2020;18:00;-;-;0;0;203;586;494;194
14.01.2020;19:00;-;-;0;0;204;637;157;198
14.01.2020;20:00;-;-;0;0;205;636;0;195
14.01.2020;21:00;-;-;0;0;205;420;0;194
14.01.2020;22:00;-;-;0;0;205;304;0;77
14.01.2020;23:00;-;-;0;0;206;306;0;84
15.01.2020;00:00;-;-;0;0;204;282;0;88
15.01.2020;01:00;-;-;0;0;205;276;0;86
15.01.2020;02:00;-;-;0;0;207;276;0;82
15.01.2020;03:00;-;-;0;0;205;276;0;88
15.01.2020;04:00;-;-;0;0;205;278;0;88
15.01.2020;05:00;-;-;0;0;203;277;0;88
15.01.2020;06:00;-;-;0;0;206;415;0;88
15.01.2020;07:00;-;-;0;0;224;632;0;108
15.01.2020;08:00;-;-;0;0;314;653;0;152
15.01.2020;09:00;-;-;0;0;320;654;0;157
15.01.2020;10:00;-;-;0;0;321;644;0;108
15.01.2020;11:00;-;-;0;0;256;587;0;84
15.01.2020;12:00;-;-;0;0;203;505;0;83
15.01.2020;13:00;-;-;0;0;204;650;0;84
15.01.2020;14:00;-;-;0;0;220;654;0;93
15.01.2020;15:00;-;-;0;0;314;655;0;140
15.01.2020;16:00;-;-;0;0;322;655;0;153
15.01.2020;17:00;-;-;0;0;319;655;0;152
15.01.2020;18:00;-;-;0;0;321;652;0;155
15.01.2020;19:00;-;-;0;0;322;651;0;155
15.01.2020;20:00;-;-;0;0;303;644;0;147
15.01.2020;21:00;-;-;0;0;207;644;0;101
15.01.2020;22:00;-;-;0;0;204;649;0;93
15.01.2020;23:00;-;-;0;0;205;651;0;90
16.01.2020;00:00;-;-;0;0;268;648;0;107
16.01.2020;01:00;-;-;0;0;323;650;0;147
16.01.2020;02:00;-;-;0;0;321;648;0;156
16.01.2020;03:00;-;-;0;0;321;657;166;160
16.01.2020;04:00;-;-;0;0;321;657;339;160
16.01.2020;05:00;-;-;0;0;320;649;541;158
16.01.2020;06:00;-;-;140;0;321;656;610;157
16.01.2020;07:00;-;-;192;0;320;660;662;157
16.01.2020;08:00;-;-;194;0;320;664;662;158
16.01.2020;09:00;-;-;194;0;320;661;661;158
16.01.2020;10:00;-;-;192;0;322;665;663;159
16.01.2020;11:00;-;-;189;0;321;659;660;159
16.01.2020;12:00;-;-;188;0;320;664;659;158
16.01.2020;13:00;-;-;188;0;321;666;660;153
16.01.2020;14:00;-;-;187;0;320;667;660;142
16.01.2020;15:00;-;-;187;0;321;666;661;154
16.01.2020;16:00;-;-;188;0;320;666;660;154
16.01.2020;17:00;-;-;189;0;319;667;658;156
16.01.2020;18:00;-;-;190;0;320;665;660;156
16.01.2020;19:00;-;-;164;0;320;664;659;156
16.01.2020;20:00;-;-;0;0;294;640;660;142
16.01.2020;21:00;-;-;0;0;205;641;628;94
16.01.2020;22:00;-;-;0;0;203;552;389;90
16.01.2020;23:00;-;-;0;0;205;367;254;91
17.01.2020;00:00;-;-;0;0;203;291;251;89
17.01.2020;01:00;-;-;0;0;205;291;250;89
17.01.2020;02:00;-;-;0;0;205;293;250;90
17.01.2020;03:00;-;-;0;0;204;291;250;90
17.01.2020;04:00;-;-;0;0;205;313;266;91
17.01.2020;05:00;-;-;0;0;209;553;551;93
17.01.2020;06:00;-;-;0;0;305;641;641;140
17.01.2020;07:00;-;-;147;117;322;630;630;152
17.01.2020;08:00;-;-;177;187;322;646;651;149
17.01.2020;09:00;-;-;187;193;321;663;662;153
17.01.2020;10:00;-;-;187;193;320;665;662;153
17.01.2020;11:00;-;-;187;193;320;667;662;151
17.01.2020;12:00;-;-;188;195;321;664;664;152
17.01.2020;13:00;-;-;188;195;321;665;661;152
17.01.2020;14:00;-;-;188;195;322;664;662;153
17.01.2020;15:00;-;-;188;195;321;662;663;154
17.01.2020;16:00;-;-;189;195;321;666;659;150
17.01.2020;17:00;-;-;189;176;319;665;631;152
17.01.2020;18:00;-;-;190;196;319;667;655;153
17.01.2020;19:00;-;-;165;168;312;643;639;147
17.01.2020;20:00;-;-;0;0;215;617;610;95
17.01.2020;21:00;-;-;0;0;203;605;640;87
17.01.2020;22:00;-;-;0;0;205;483;627;89
17.01.2020;23:00;-;-;0;0;209;354;401;90
18.01.2020;00:00;-;-;0;0;206;285;310;89
18.01.2020;01:00;-;-;0;0;208;288;308;92
18.01.2020;02:00;-;-;0;0;204;275;290;92
18.01.2020;03:00;-;-;0;0;203;259;247;90
18.01.2020;04:00;-;-;0;0;204;258;249;90
18.01.2020;05:00;-;-;0;0;207;258;250;89
18.01.2020;06:00;-;-;0;0;208;293;291;91
18.01.2020;07:00;-;-;0;0;209;509;510;91
18.01.2020;08:00;-;-;0;0;294;652;654;137
18.01.2020;09:00;-;-;0;0;320;653;661;152
18.01.2020;10:00;-;-;0;0;318;654;660;151
18.01.2020;11:00;-;-;0;0;322;653;658;152
18.01.2020;12:00;-;-;0;0;320;654;661;154
18.01.2020;13:00;-;-;0;0;320;654;660;154
18.01.2020;14:00;-;-;0;0;323;651;662;154
18.01.2020;15:00;-;-;0;0;321;651;661;154
18.01.2020;16:00;-;-;0;0;320;649;661;154
18.01.2020;17:00;-;-;0;0;321;650;660;153
18.01.2020;18:00;-;-;0;0;320;648;658;154
18.01.2020;19:00;-;-;0;0;320;650;660;154
18.01.2020;20:00;-;-;0;0;321;651;655;153
18.01.2020;21:00;-;-;0;0;322;651;661;153
18.01.2020;22:00;-;-;0;0;321;659;659;153
18.01.2020;23:00;-;-;0;0;289;659;660;136
19.01.2020;00:00;-;-;0;0;207;645;658;93
19.01.2020;01:00;-;-;0;0;204;643;657;94
19.01.2020;02:00;-;-;0;0;201;642;620;100
19.01.2020;03:00;-;-;0;0;203;453;655;94
19.01.2020;04:00;-;-;0;0;204;374;551;94
19.01.2020;05:00;-;-;0;0;206;483;450;95
19.01.2020;06:00;-;-;0;0;206;482;450;93
19.01.2020;07:00;-;-;0;0;205;540;468;91
19.01.2020;08:00;-;-;0;0;262;645;635;120
19.01.2020;09:00;-;-;0;0;318;646;656;156
19.01.2020;10:00;-;-;0;0;323;649;657;154
19.01.2020;11:00;-;-;0;0;319;648;660;155
19.01.2020;12:00;-;-;0;0;320;648;658;154
19.01.2020;13:00;-;-;0;0;311;647;660;147
19.01.2020;14:00;-;-;0;0;219;646;656;93
19.01.2020;15:00;-;-;0;0;290;646;661;134
19.01.2020;16:00;-;-;0;0;321;647;657;155
19.01.2020;17:00;-;-;0;0;321;647;662;157
19.01.2020;18:00;-;-;0;0;323;646;664;157
19.01.2020;19:00;-;-;0;0;322;649;667;158
19.01.2020;20:00;-;-;0;0;321;650;666;158
19.01.2020;21:00;-;-;0;0;321;650;665;158
19.01.2020;22:00;-;-;0;0;321;650;664;155
19.01.2020;23:00;-;-;0;0;320;651;666;153
20.01.2020;00:00;-;-;0;0;226;662;666;99
20.01.2020;01:00;-;-;0;0;207;659;664;86
20.01.2020;02:00;-;-;0;0;208;662;663;82
20.01.2020;03:00;-;-;0;0;209;634;665;81
20.01.2020;04:00;-;-;0;0;209;587;666;84
20.01.2020;05:00;-;-;0;0;232;653;661;199
20.01.2020;06:00;-;-;86;86;320;648;644;278
20.01.2020;07:00;-;-;198;206;321;658;658;317
20.01.2020;08:00;-;-;200;209;316;665;659;317
20.01.2020;09:00;-;-;202;210;322;667;661;318
20.01.2020;10:00;-;-;202;210;317;665;665;315
20.01.2020;11:00;-;-;202;210;327;667;663;314
20.01.2020;12:00;-;-;201;209;318;667;659;315
20.01.2020;13:00;-;-;200;209;321;668;665;318
20.01.2020;14:00;-;-;200;208;322;670;665;323
20.01.2020;15:00;-;-;200;209;318;670;665;321
20.01.2020;16:00;-;-;200;209;319;669;666;320
20.01.2020;17:00;-;-;201;209;322;667;672;324
20.01.2020;18:00;-;-;201;209;323;668;669;322
20.01.2020;19:00;-;-;201;209;322;667;668;322
20.01.2020;20:00;-;-;202;210;318;668;666;320
20.01.2020;21:00;-;-;203;210;320;666;663;319
20.01.2020;22:00;-;-;175;175;320;651;639;321
20.01.2020;23:00;-;-;0;0;320;622;616;320
21.01.2020;00:00;-;-;0;0;256;666;643;261
21.01.2020;01:00;-;-;0;0;203;666;657;197
21.01.2020;02:00;-;-;0;0;205;664;660;184
21.01.2020;03:00;-;-;0;0;207;666;660;180
21.01.2020;04:00;-;-;0;0;208;666;660;179
21.01.2020;05:00;-;-;0;0;293;665;662;254
21.01.2020;06:00;-;-;73;70;323;655;649;323
21.01.2020;07:00;-;-;204;212;320;665;654;323
21.01.2020;08:00;-;-;205;213;320;657;664;323
21.01.2020;09:00;-;-;206;213;320;660;664;317
21.01.2020;10:00;-;-;204;213;318;664;673;317
21.01.2020;11:00;-;-;202;211;322;667;673;324
21.01.2020;12:00;-;-;201;210;324;669;671;324
21.01.2020;13:00;-;-;199;208;320;672;668;324
21.01.2020;14:00;-;-;199;207;320;671;672;322
21.01.2020;15:00;-;-;199;208;319;669;669;322
21.01.2020;16:00;-;-;200;209;323;661;672;322
