Datum;Uhrzeit;Generation_DE Block2[MW];Generation_DE Block1[MW]
30.01.2020;06:00;51;100
30.01.2020;07:00;50;82
30.01.2020;08:00;50;68
30.01.2020;09:00;50;66
30.01.2020;10:00;50;65
30.01.2020;11:00;50;65
30.01.2020;12:00;50;66
30.01.2020;13:00;51;65
30.01.2020;14:00;50;65
30.01.2020;15:00;50;64
30.01.2020;16:00;49;64
30.01.2020;17:00;48;69
30.01.2020;18:00;49;65
30.01.2020;19:00;49;65
30.01.2020;20:00;49;63
30.01.2020;21:00;44;63
30.01.2020;22:00;43;59
30.01.2020;23:00;43;56
31.01.2020;00:00;42;55
31.01.2020;01:00;42;51
31.01.2020;02:00;42;47
31.01.2020;03:00;42;48
31.01.2020;04:00;41;50
31.01.2020;05:00;48;63
31.01.2020;06:00;51;79
31.01.2020;07:00;50;90
31.01.2020;08:00;50;56
31.01.2020;09:00;50;52
31.01.2020;10:00;51;50
31.01.2020;11:00;50;50
31.01.2020;12:00;51;50
31.01.2020;13:00;50;50
31.01.2020;14:00;50;51
31.01.2020;15:00;49;50
31.01.2020;16:00;51;52
31.01.2020;17:00;73;73
31.01.2020;18:00;52;54
31.01.2020;19:00;51;51
31.01.2020;20:00;51;49
31.01.2020;21:00;51;53
31.01.2020;22:00;51;80
31.01.2020;23:00;50;91
01.02.2020;00:00;49;68
01.02.2020;01:00;50;51
01.02.2020;02:00;50;51
01.02.2020;03:00;50;50
01.02.2020;04:00;51;50
01.02.2020;05:00;50;52
01.02.2020;06:00;49;50
01.02.2020;07:00;51;56
01.02.2020;08:00;51;63
01.02.2020;09:00;51;64
01.02.2020;10:00;51;64
01.02.2020;11:00;49;65
01.02.2020;12:00;51;65
01.02.2020;13:00;49;65
01.02.2020;14:00;50;65
01.02.2020;15:00;50;66
01.02.2020;16:00;49;70
01.02.2020;17:00;51;79
01.02.2020;18:00;50;79
01.02.2020;19:00;49;73
01.02.2020;20:00;51;66
01.02.2020;21:00;50;63
01.02.2020;22:00;49;53
01.02.2020;23:00;52;52
02.02.2020;00:00;50;51
02.02.2020;01:00;50;50
02.02.2020;02:00;49;48
02.02.2020;03:00;49;49
02.02.2020;04:00;49;50
02.02.2020;05:00;49;50
02.02.2020;06:00;49;51
02.02.2020;07:00;50;57
02.02.2020;08:00;49;67
02.02.2020;09:00;51;69
02.02.2020;10:00;50;70
02.02.2020;11:00;48;69
02.02.2020;12:00;51;78
02.02.2020;13:00;49;70
02.02.2020;14:00;49;64
02.02.2020;15:00;49;65
02.02.2020;16:00;49;73
02.02.2020;17:00;49;65
02.02.2020;18:00;48;78
02.02.2020;19:00;50;66
02.02.2020;20:00;51;68
02.02.2020;21:00;51;66
02.02.2020;22:00;50;64
02.02.2020;23:00;50;62
03.02.2020;00:00;50;49
03.02.2020;01:00;50;52
03.02.2020;02:00;50;51
03.02.2020;03:00;51;54
03.02.2020;04:00;50;61
03.02.2020;05:00;49;78
03.02.2020;06:00;50;98
03.02.2020;07:00;51;96
03.02.2020;08:00;50;81
03.02.2020;09:00;50;67
03.02.2020;10:00;50;64
03.02.2020;11:00;50;66
03.02.2020;12:00;50;66
03.02.2020;13:00;49;64
03.02.2020;14:00;49;49
03.02.2020;15:00;49;49
03.02.2020;16:00;49;50
03.02.2020;17:00;50;50
03.02.2020;18:00;50;50
03.02.2020;19:00;50;50
03.02.2020;20:00;51;50
03.02.2020;21:00;51;49
03.02.2020;22:00;51;49
03.02.2020;23:00;51;51
04.02.2020;00:00;51;63
04.02.2020;01:00;50;68
04.02.2020;02:00;52;67
04.02.2020;03:00;50;77
04.02.2020;04:00;50;89
04.02.2020;05:00;50;100
04.02.2020;06:00;50;99
04.02.2020;07:00;51;86
04.02.2020;08:00;50;80
04.02.2020;09:00;50;69
04.02.2020;10:00;50;66
04.02.2020;11:00;49;65
04.02.2020;12:00;49;67
04.02.2020;13:00;49;65
04.02.2020;14:00;49;65
04.02.2020;15:00;49;65
04.02.2020;16:00;50;65
04.02.2020;17:00;49;64
04.02.2020;18:00;51;50
04.02.2020;19:00;50;50
04.02.2020;20:00;51;50
04.02.2020;21:00;51;50
04.02.2020;22:00;51;50
04.02.2020;23:00;49;51
05.02.2020;00:00;51;51
05.02.2020;01:00;50;50
05.02.2020;02:00;51;50
05.02.2020;03:00;50;51
05.02.2020;04:00;52;64
