Datum;Uhrzeit;Generation_DE Block 2 Tiefstack[MW];Generation_DE Gas-und-Dampfturbinen Tiefstack[MW]
27.01.2020;07:00;148;-
27.01.2020;08:00;149;-
27.01.2020;09:00;136;-
27.01.2020;10:00;152;-
27.01.2020;11:00;152;-
27.01.2020;12:00;136;-
27.01.2020;13:00;142;-
27.01.2020;14:00;148;-
27.01.2020;15:00;147;-
27.01.2020;16:00;148;-
27.01.2020;17:00;151;-
27.01.2020;18:00;152;-
27.01.2020;19:00;152;-
27.01.2020;20:00;154;-
27.01.2020;21:00;151;-
27.01.2020;22:00;154;-
27.01.2020;23:00;138;-
28.01.2020;00:00;121;-
28.01.2020;01:00;123;-
28.01.2020;02:00;122;-
28.01.2020;03:00;121;-
28.01.2020;04:00;141;-
28.01.2020;05:00;148;-
28.01.2020;06:00;154;-
28.01.2020;07:00;160;-
28.01.2020;08:00;158;-
28.01.2020;09:00;148;-
28.01.2020;10:00;148;-
28.01.2020;11:00;149;-
28.01.2020;12:00;133;-
28.01.2020;13:00;145;-
28.01.2020;14:00;143;-
28.01.2020;15:00;145;-
28.01.2020;16:00;146;-
28.01.2020;17:00;146;-
28.01.2020;18:00;142;-
28.01.2020;19:00;146;-
28.01.2020;20:00;146;-
28.01.2020;21:00;149;-
28.01.2020;22:00;153;-
28.01.2020;23:00;145;-
29.01.2020;00:00;144;-
29.01.2020;01:00;145;-
29.01.2020;02:00;144;-
29.01.2020;03:00;144;-
29.01.2020;04:00;143;-
29.01.2020;05:00;148;-
29.01.2020;06:00;145;-
29.01.2020;07:00;145;-
29.01.2020;08:00;145;-
29.01.2020;09:00;146;-
29.01.2020;10:00;146;-
29.01.2020;11:00;146;-
29.01.2020;12:00;144;-
29.01.2020;13:00;145;-
29.01.2020;14:00;143;-
29.01.2020;15:00;141;-
29.01.2020;16:00;140;-
29.01.2020;17:00;141;-
29.01.2020;18:00;141;-
29.01.2020;19:00;141;-
29.01.2020;20:00;141;-
29.01.2020;21:00;142;-
29.01.2020;22:00;146;-
29.01.2020;23:00;147;-
30.01.2020;00:00;134;-
30.01.2020;01:00;134;-
30.01.2020;02:00;132;-
30.01.2020;03:00;132;-
30.01.2020;04:00;139;-
30.01.2020;05:00;148;-
30.01.2020;06:00;146;-
30.01.2020;07:00;144;-
30.01.2020;08:00;134;-
30.01.2020;09:00;144;-
30.01.2020;10:00;145;-
30.01.2020;11:00;146;-
30.01.2020;12:00;147;-
30.01.2020;13:00;148;-
30.01.2020;14:00;149;-
30.01.2020;15:00;149;-
30.01.2020;16:00;148;-
30.01.2020;17:00;110;-
30.01.2020;18:00;146;-
30.01.2020;19:00;144;-
30.01.2020;20:00;142;-
30.01.2020;21:00;143;-
30.01.2020;22:00;142;-
30.01.2020;23:00;140;-
31.01.2020;00:00;64;-
31.01.2020;01:00;64;-
31.01.2020;02:00;66;-
31.01.2020;03:00;68;-
31.01.2020;04:00;60;-
31.01.2020;05:00;97;-
31.01.2020;06:00;144;-
31.01.2020;07:00;155;-
31.01.2020;08:00;153;-
31.01.2020;09:00;151;-
31.01.2020;10:00;152;-
31.01.2020;11:00;154;-
31.01.2020;12:00;156;-
31.01.2020;13:00;154;-
31.01.2020;14:00;145;-
31.01.2020;15:00;144;-
31.01.2020;16:00;145;-
31.01.2020;17:00;144;-
31.01.2020;18:00;144;-
31.01.2020;19:00;144;-
31.01.2020;20:00;144;-
31.01.2020;21:00;146;-
31.01.2020;22:00;149;-
31.01.2020;23:00;140;-
01.02.2020;00:00;82;-
01.02.2020;01:00;55;-
01.02.2020;02:00;57;-
01.02.2020;03:00;59;-
01.02.2020;04:00;57;-
01.02.2020;05:00;65;-
01.02.2020;06:00;62;-
01.02.2020;07:00;62;-
01.02.2020;08:00;64;-
01.02.2020;09:00;63;-
01.02.2020;10:00;55;-
01.02.2020;11:00;56;-
01.02.2020;12:00;63;-
01.02.2020;13:00;65;-
01.02.2020;14:00;57;-
01.02.2020;15:00;59;-
01.02.2020;16:00;69;-
01.02.2020;17:00;67;-
01.02.2020;18:00;57;-
01.02.2020;19:00;64;-
01.02.2020;20:00;55;-
01.02.2020;21:00;56;-
01.02.2020;22:00;58;-
01.02.2020;23:00;55;-
02.02.2020;00:00;57;-
02.02.2020;01:00;60;-
02.02.2020;02:00;60;-
02.02.2020;03:00;59;-
02.02.2020;04:00;60;-
02.02.2020;05:00;61;-
02.02.2020;06:00;64;-
02.02.2020;07:00;82;-
02.02.2020;08:00;136;-
02.02.2020;09:00;145;-
02.02.2020;10:00;148;-
02.02.2020;11:00;150;-
02.02.2020;12:00;149;-
02.02.2020;13:00;148;-
02.02.2020;14:00;149;-
02.02.2020;15:00;148;-
02.02.2020;16:00;151;-
02.02.2020;17:00;148;-
02.02.2020;18:00;147;-
02.02.2020;19:00;146;-
02.02.2020;20:00;146;-
02.02.2020;21:00;149;-
02.02.2020;22:00;146;-
02.02.2020;23:00;143;-
03.02.2020;00:00;144;-
03.02.2020;01:00;143;-
03.02.2020;02:00;145;-
03.02.2020;03:00;144;-
03.02.2020;04:00;144;-
03.02.2020;05:00;144;-
03.02.2020;06:00;143;-
03.02.2020;07:00;143;-
03.02.2020;08:00;143;-
03.02.2020;09:00;145;-
03.02.2020;10:00;144;-
03.02.2020;11:00;145;-
03.02.2020;12:00;142;-
03.02.2020;13:00;144;-
03.02.2020;14:00;144;-
03.02.2020;15:00;145;-
03.02.2020;16:00;145;-
03.02.2020;17:00;144;-
03.02.2020;18:00;147;-
03.02.2020;19:00;147;-
03.02.2020;20:00;148;-
03.02.2020;21:00;153;-
03.02.2020;22:00;147;-
03.02.2020;23:00;146;-
04.02.2020;00:00;146;-
04.02.2020;01:00;147;-
04.02.2020;02:00;148;-
04.02.2020;03:00;146;-
04.02.2020;04:00;145;-
04.02.2020;05:00;146;-
04.02.2020;06:00;149;-
04.02.2020;07:00;145;-
04.02.2020;08:00;144;-
04.02.2020;09:00;144;-
04.02.2020;10:00;144;-
04.02.2020;11:00;145;-
04.02.2020;12:00;142;-
04.02.2020;13:00;145;-
04.02.2020;14:00;145;-
04.02.2020;15:00;146;-
04.02.2020;16:00;146;-
04.02.2020;17:00;145;-
04.02.2020;18:00;146;-
04.02.2020;19:00;144;-
04.02.2020;20:00;145;-
04.02.2020;21:00;147;-
04.02.2020;22:00;144;-
04.02.2020;23:00;143;-
05.02.2020;00:00;149;-
05.02.2020;01:00;145;-
05.02.2020;02:00;145;-
05.02.2020;03:00;144;-
05.02.2020;04:00;143;-
05.02.2020;05:00;144;-
05.02.2020;06:00;144;-
05.02.2020;07:00;145;-
05.02.2020;08:00;144;-
05.02.2020;09:00;146;-
05.02.2020;10:00;146;-
05.02.2020;11:00;144;-
05.02.2020;12:00;146;-
05.02.2020;13:00;138;-
05.02.2020;14:00;129;-
05.02.2020;15:00;139;-
05.02.2020;16:00;144;-
05.02.2020;17:00;143;-
05.02.2020;18:00;144;-
05.02.2020;19:00;147;-
05.02.2020;20:00;148;-
05.02.2020;21:00;147;-
05.02.2020;22:00;152;-
05.02.2020;23:00;135;-
06.02.2020;00:00;131;-
06.02.2020;01:00;131;-
06.02.2020;02:00;132;-
06.02.2020;03:00;134;-
06.02.2020;04:00;136;-
06.02.2020;05:00;142;-
06.02.2020;06:00;145;-
06.02.2020;07:00;152;-
06.02.2020;08:00;147;-
06.02.2020;09:00;145;-
06.02.2020;10:00;149;-
06.02.2020;11:00;149;-
06.02.2020;12:00;149;-
06.02.2020;13:00;145;-
06.02.2020;14:00;142;-
06.02.2020;15:00;142;-
06.02.2020;16:00;146;-
06.02.2020;17:00;146;-
06.02.2020;18:00;148;-
06.02.2020;19:00;150;-
06.02.2020;20:00;150;-
06.02.2020;21:00;145;-
06.02.2020;22:00;147;-
06.02.2020;23:00;136;-
07.02.2020;00:00;133;-
07.02.2020;01:00;134;-
07.02.2020;02:00;137;-
07.02.2020;03:00;136;-
07.02.2020;04:00;137;-
07.02.2020;05:00;139;-
07.02.2020;06:00;140;-
07.02.2020;07:00;136;-
07.02.2020;08:00;136;-
07.02.2020;09:00;137;-
07.02.2020;10:00;139;-
07.02.2020;11:00;136;-
07.02.2020;12:00;135;-
07.02.2020;13:00;89;-
07.02.2020;14:00;58;-
07.02.2020;15:00;60;-
07.02.2020;16:00;60;-
07.02.2020;17:00;59;-
07.02.2020;18:00;58;-
07.02.2020;19:00;58;-
07.02.2020;20:00;60;-
07.02.2020;21:00;58;-
07.02.2020;22:00;55;-
07.02.2020;23:00;105;-
08.02.2020;00:00;129;-
08.02.2020;01:00;144;-
08.02.2020;02:00;145;-
08.02.2020;03:00;147;-
