Datum;Uhrzeit;Generation_DE Gas-und-Dampfturbinen Mitte[MW]
23.01.2020;19:00;430
23.01.2020;20:00;430
23.01.2020;21:00;431
23.01.2020;22:00;431
23.01.2020;23:00;432
24.01.2020;00:00;432
24.01.2020;01:00;431
24.01.2020;02:00;431
24.01.2020;03:00;431
24.01.2020;04:00;430
24.01.2020;05:00;432
24.01.2020;06:00;432
24.01.2020;07:00;431
24.01.2020;08:00;431
24.01.2020;09:00;431
24.01.2020;10:00;431
24.01.2020;11:00;432
24.01.2020;12:00;432
24.01.2020;13:00;432
24.01.2020;14:00;432
24.01.2020;15:00;432
24.01.2020;16:00;432
24.01.2020;17:00;431
24.01.2020;18:00;432
24.01.2020;19:00;432
24.01.2020;20:00;432
24.01.2020;21:00;430
24.01.2020;22:00;430
24.01.2020;23:00;429
25.01.2020;00:00;430
25.01.2020;01:00;391
25.01.2020;02:00;391
25.01.2020;03:00;384
25.01.2020;04:00;383
25.01.2020;05:00;383
25.01.2020;06:00;388
25.01.2020;07:00;421
25.01.2020;08:00;431
25.01.2020;09:00;432
25.01.2020;10:00;431
25.01.2020;11:00;431
25.01.2020;12:00;431
25.01.2020;13:00;432
25.01.2020;14:00;432
25.01.2020;15:00;432
25.01.2020;16:00;432
25.01.2020;17:00;432
25.01.2020;18:00;432
25.01.2020;19:00;432
25.01.2020;20:00;432
25.01.2020;21:00;432
25.01.2020;22:00;431
25.01.2020;23:00;430
26.01.2020;00:00;428
26.01.2020;01:00;422
26.01.2020;02:00;422
26.01.2020;03:00;422
26.01.2020;04:00;423
26.01.2020;05:00;426
26.01.2020;06:00;432
26.01.2020;07:00;432
26.01.2020;08:00;432
26.01.2020;09:00;432
26.01.2020;10:00;431
26.01.2020;11:00;431
26.01.2020;12:00;431
26.01.2020;13:00;432
26.01.2020;14:00;432
26.01.2020;15:00;432
26.01.2020;16:00;432
26.01.2020;17:00;431
26.01.2020;18:00;432
26.01.2020;19:00;432
26.01.2020;20:00;431
26.01.2020;21:00;432
26.01.2020;22:00;431
26.01.2020;23:00;431
27.01.2020;00:00;431
27.01.2020;01:00;430
27.01.2020;02:00;430
27.01.2020;03:00;430
27.01.2020;04:00;430
27.01.2020;05:00;432
27.01.2020;06:00;431
27.01.2020;07:00;431
27.01.2020;08:00;432
27.01.2020;09:00;430
27.01.2020;10:00;429
27.01.2020;11:00;426
27.01.2020;12:00;397
27.01.2020;13:00;369
27.01.2020;14:00;368
27.01.2020;15:00;368
27.01.2020;16:00;368
27.01.2020;17:00;388
