Datum;Uhrzeit;Generation_DE Block 3[MW];Generation_DE Block 4[MW];Generation_DE Block 5[MW]
14.01.2020;07:00;-;46;195
14.01.2020;08:00;-;79;210
14.01.2020;09:00;-;83;210
14.01.2020;10:00;-;86;211
14.01.2020;11:00;-;79;214
14.01.2020;12:00;-;79;211
14.01.2020;13:00;-;84;211
14.01.2020;14:00;-;86;219
14.01.2020;15:00;-;81;220
14.01.2020;16:00;-;82;217
14.01.2020;17:00;-;81;218
14.01.2020;18:00;-;70;204
14.01.2020;19:00;-;56;203
14.01.2020;20:00;-;45;189
14.01.2020;21:00;-;39;161
14.01.2020;22:00;-;42;155
14.01.2020;23:00;-;45;188
15.01.2020;00:00;-;48;202
15.01.2020;01:00;-;50;146
15.01.2020;02:00;-;46;133
15.01.2020;03:00;-;50;131
15.01.2020;04:00;-;45;128
15.01.2020;05:00;-;45;126
15.01.2020;06:00;-;43;137
15.01.2020;07:00;-;40;141
15.01.2020;08:00;-;39;139
15.01.2020;09:00;-;41;160
15.01.2020;10:00;-;51;141
15.01.2020;11:00;-;51;143
15.01.2020;12:00;-;51;140
15.01.2020;13:00;-;48;143
15.01.2020;14:00;-;41;144
15.01.2020;15:00;-;43;139
15.01.2020;16:00;-;47;153
15.01.2020;17:00;-;47;162
15.01.2020;18:00;-;40;152
15.01.2020;19:00;-;37;137
15.01.2020;20:00;-;46;157
15.01.2020;21:00;-;41;147
15.01.2020;22:00;-;44;147
15.01.2020;23:00;-;45;137
16.01.2020;00:00;-;38;142
16.01.2020;01:00;-;40;135
16.01.2020;02:00;-;40;138
16.01.2020;03:00;-;43;155
16.01.2020;04:00;-;44;141
16.01.2020;05:00;-;40;120
16.01.2020;06:00;-;42;118
16.01.2020;07:00;-;56;125
16.01.2020;08:00;-;55;119
16.01.2020;09:00;-;56;134
16.01.2020;10:00;-;52;135
16.01.2020;11:00;-;50;124
16.01.2020;12:00;-;48;124
16.01.2020;13:00;-;44;127
16.01.2020;14:00;-;41;141
16.01.2020;15:00;-;63;187
16.01.2020;16:00;-;68;201
16.01.2020;17:00;-;65;217
16.01.2020;18:00;-;50;195
16.01.2020;19:00;-;56;194
