Datum;Uhrzeit;Generation_DE Kraftwerk Rheinfelden[MW]
25.01.2020;23:00;22
26.01.2020;00:00;22
26.01.2020;01:00;22
26.01.2020;02:00;21
26.01.2020;03:00;21
26.01.2020;04:00;22
26.01.2020;05:00;22
26.01.2020;06:00;22
26.01.2020;07:00;22
26.01.2020;08:00;22
26.01.2020;09:00;22
26.01.2020;10:00;22
26.01.2020;11:00;22
26.01.2020;12:00;22
26.01.2020;13:00;22
26.01.2020;14:00;22
26.01.2020;15:00;22
26.01.2020;16:00;22
26.01.2020;17:00;22
26.01.2020;18:00;22
26.01.2020;19:00;23
26.01.2020;20:00;23
26.01.2020;21:00;23
26.01.2020;22:00;23
26.01.2020;23:00;23
27.01.2020;00:00;22
27.01.2020;01:00;21
27.01.2020;02:00;21
27.01.2020;03:00;21
27.01.2020;04:00;21
27.01.2020;05:00;21
27.01.2020;06:00;22
27.01.2020;07:00;22
27.01.2020;08:00;21
27.01.2020;09:00;21
27.01.2020;10:00;21
27.01.2020;11:00;21
27.01.2020;12:00;21
27.01.2020;13:00;21
27.01.2020;14:00;21
27.01.2020;15:00;21
27.01.2020;16:00;22
27.01.2020;17:00;21
27.01.2020;18:00;22
27.01.2020;19:00;22
27.01.2020;20:00;23
27.01.2020;21:00;23
27.01.2020;22:00;23
27.01.2020;23:00;23
28.01.2020;00:00;23
28.01.2020;01:00;23
28.01.2020;02:00;23
28.01.2020;03:00;22
28.01.2020;04:00;22
28.01.2020;05:00;22
28.01.2020;06:00;22
28.01.2020;07:00;22
28.01.2020;08:00;22
28.01.2020;09:00;22
28.01.2020;10:00;22
28.01.2020;11:00;22
28.01.2020;12:00;21
28.01.2020;13:00;22
28.01.2020;14:00;23
28.01.2020;15:00;17
28.01.2020;16:00;18
28.01.2020;17:00;18
28.01.2020;18:00;18
28.01.2020;19:00;18
28.01.2020;20:00;17
28.01.2020;21:00;16
28.01.2020;22:00;16
28.01.2020;23:00;17
29.01.2020;00:00;17
29.01.2020;01:00;17
29.01.2020;02:00;18
29.01.2020;03:00;18
29.01.2020;04:00;18
29.01.2020;05:00;18
29.01.2020;06:00;18
29.01.2020;07:00;18
29.01.2020;08:00;18
29.01.2020;09:00;18
29.01.2020;10:00;18
29.01.2020;11:00;18
29.01.2020;12:00;18
29.01.2020;13:00;18
29.01.2020;14:00;18
29.01.2020;15:00;18
29.01.2020;16:00;18
29.01.2020;17:00;18
29.01.2020;18:00;18
29.01.2020;19:00;18
29.01.2020;20:00;18
29.01.2020;21:00;19
29.01.2020;22:00;19
29.01.2020;23:00;19
30.01.2020;00:00;19
30.01.2020;01:00;19
30.01.2020;02:00;19
30.01.2020;03:00;19
30.01.2020;04:00;19
30.01.2020;05:00;19
30.01.2020;06:00;19
30.01.2020;07:00;19
30.01.2020;08:00;19
30.01.2020;09:00;19
30.01.2020;10:00;19
30.01.2020;11:00;19
30.01.2020;12:00;19
30.01.2020;13:00;19
30.01.2020;14:00;19
30.01.2020;15:00;19
30.01.2020;16:00;19
30.01.2020;17:00;19
30.01.2020;18:00;19
30.01.2020;19:00;19
30.01.2020;20:00;19
30.01.2020;21:00;19
30.01.2020;22:00;19
30.01.2020;23:00;19
31.01.2020;00:00;20
31.01.2020;01:00;20
31.01.2020;02:00;20
31.01.2020;03:00;20
31.01.2020;04:00;20
31.01.2020;05:00;19
31.01.2020;06:00;19
31.01.2020;07:00;19
31.01.2020;08:00;20
31.01.2020;09:00;20
31.01.2020;10:00;20
31.01.2020;11:00;20
31.01.2020;12:00;20
31.01.2020;13:00;20
31.01.2020;14:00;20
31.01.2020;15:00;20
31.01.2020;16:00;20
31.01.2020;17:00;21
31.01.2020;18:00;21
31.01.2020;19:00;21
31.01.2020;20:00;21
31.01.2020;21:00;21
31.01.2020;22:00;21
31.01.2020;23:00;21
01.02.2020;00:00;21
01.02.2020;01:00;21
01.02.2020;02:00;21
01.02.2020;03:00;21
01.02.2020;04:00;22
01.02.2020;05:00;23
01.02.2020;06:00;23
01.02.2020;07:00;22
01.02.2020;08:00;22
01.02.2020;09:00;22
01.02.2020;10:00;22
01.02.2020;11:00;22
01.02.2020;12:00;22
01.02.2020;13:00;21
01.02.2020;14:00;21
01.02.2020;15:00;21
01.02.2020;16:00;21
01.02.2020;17:00;21
01.02.2020;18:00;21
01.02.2020;19:00;22
01.02.2020;20:00;22
01.02.2020;21:00;22
01.02.2020;22:00;22
01.02.2020;23:00;21
02.02.2020;00:00;21
02.02.2020;01:00;21
02.02.2020;02:00;21
02.02.2020;03:00;21
02.02.2020;04:00;21
02.02.2020;05:00;21
02.02.2020;06:00;22
02.02.2020;07:00;22
02.02.2020;08:00;22
02.02.2020;09:00;22
02.02.2020;10:00;22
02.02.2020;11:00;22
02.02.2020;12:00;22
02.02.2020;13:00;23
02.02.2020;14:00;36
02.02.2020;15:00;37
02.02.2020;16:00;38
02.02.2020;17:00;38
02.02.2020;18:00;39
02.02.2020;19:00;40
02.02.2020;20:00;40
02.02.2020;21:00;39
02.02.2020;22:00;39
02.02.2020;23:00;39
03.02.2020;00:00;39
03.02.2020;01:00;38
03.02.2020;02:00;37
03.02.2020;03:00;37
03.02.2020;04:00;38
03.02.2020;05:00;40
03.02.2020;06:00;41
03.02.2020;07:00;42
03.02.2020;08:00;44
03.02.2020;09:00;47
03.02.2020;10:00;46
03.02.2020;11:00;46
03.02.2020;12:00;44
03.02.2020;13:00;44
03.02.2020;14:00;45
03.02.2020;15:00;45
03.02.2020;16:00;44
03.02.2020;17:00;44
03.02.2020;18:00;44
03.02.2020;19:00;44
03.02.2020;20:00;44
03.02.2020;21:00;43
03.02.2020;22:00;43
03.02.2020;23:00;43
04.02.2020;00:00;42
04.02.2020;01:00;42
04.02.2020;02:00;43
04.02.2020;03:00;42
04.02.2020;04:00;42
04.02.2020;05:00;43
04.02.2020;06:00;43
04.02.2020;07:00;43
04.02.2020;08:00;43
04.02.2020;09:00;43
04.02.2020;10:00;43
04.02.2020;11:00;43
04.02.2020;12:00;43
04.02.2020;13:00;43
04.02.2020;14:00;44
04.02.2020;15:00;44
04.02.2020;16:00;44
04.02.2020;17:00;44
04.02.2020;18:00;43
04.02.2020;19:00;43
04.02.2020;20:00;43
04.02.2020;21:00;43
04.02.2020;22:00;44
04.02.2020;23:00;45
05.02.2020;00:00;46
05.02.2020;01:00;45
05.02.2020;02:00;46
05.02.2020;03:00;46
05.02.2020;04:00;46
05.02.2020;05:00;46
05.02.2020;06:00;45
05.02.2020;07:00;46
05.02.2020;08:00;46
05.02.2020;09:00;45
05.02.2020;10:00;45
05.02.2020;11:00;46
05.02.2020;12:00;45
05.02.2020;13:00;46
05.02.2020;14:00;46
05.02.2020;15:00;46
05.02.2020;16:00;45
05.02.2020;17:00;46
05.02.2020;18:00;46
05.02.2020;19:00;46
05.02.2020;20:00;46
05.02.2020;21:00;45
05.02.2020;22:00;45
05.02.2020;23:00;44
06.02.2020;00:00;44
06.02.2020;01:00;44
06.02.2020;02:00;44
06.02.2020;03:00;43
06.02.2020;04:00;43
06.02.2020;05:00;43
06.02.2020;06:00;43
06.02.2020;07:00;43
06.02.2020;08:00;43
06.02.2020;09:00;43
06.02.2020;10:00;44
06.02.2020;11:00;44
06.02.2020;12:00;44
06.02.2020;13:00;44
06.02.2020;14:00;44
06.02.2020;15:00;43
06.02.2020;16:00;42
06.02.2020;17:00;42
06.02.2020;18:00;42
06.02.2020;19:00;43
06.02.2020;20:00;43
06.02.2020;21:00;44
06.02.2020;22:00;44
06.02.2020;23:00;43
07.02.2020;00:00;43
07.02.2020;01:00;42
07.02.2020;02:00;42
07.02.2020;03:00;42
07.02.2020;04:00;42
07.02.2020;05:00;42
07.02.2020;06:00;42
07.02.2020;07:00;42
07.02.2020;08:00;42
07.02.2020;09:00;42
07.02.2020;10:00;42
07.02.2020;11:00;42
07.02.2020;12:00;42
07.02.2020;13:00;42
07.02.2020;14:00;41
07.02.2020;15:00;41
07.02.2020;16:00;41
07.02.2020;17:00;41
07.02.2020;18:00;41
07.02.2020;19:00;41
07.02.2020;20:00;40
07.02.2020;21:00;40
07.02.2020;22:00;40
07.02.2020;23:00;39
08.02.2020;00:00;39
08.02.2020;01:00;38
08.02.2020;02:00;38
08.02.2020;03:00;38
08.02.2020;04:00;38
08.02.2020;05:00;38
08.02.2020;06:00;38
08.02.2020;07:00;38
08.02.2020;08:00;38
08.02.2020;09:00;38
08.02.2020;10:00;39
08.02.2020;11:00;39
08.02.2020;12:00;39
08.02.2020;13:00;39
08.02.2020;14:00;39
08.02.2020;15:00;39
08.02.2020;16:00;39
08.02.2020;17:00;39
08.02.2020;18:00;39
08.02.2020;19:00;39
08.02.2020;20:00;39
08.02.2020;21:00;39
08.02.2020;22:00;39
08.02.2020;23:00;38
09.02.2020;00:00;38
09.02.2020;01:00;37
09.02.2020;02:00;37
09.02.2020;03:00;37
09.02.2020;04:00;37
09.02.2020;05:00;36
09.02.2020;06:00;36
09.02.2020;07:00;36
09.02.2020;08:00;36
09.02.2020;09:00;36
09.02.2020;10:00;36
09.02.2020;11:00;36
09.02.2020;12:00;36
09.02.2020;13:00;36
09.02.2020;14:00;36
09.02.2020;15:00;36
09.02.2020;16:00;36
09.02.2020;17:00;36
09.02.2020;18:00;36
09.02.2020;19:00;36
09.02.2020;20:00;36
09.02.2020;21:00;36
09.02.2020;22:00;36
09.02.2020;23:00;36
10.02.2020;00:00;36
10.02.2020;01:00;36
10.02.2020;02:00;36
10.02.2020;03:00;36
10.02.2020;04:00;35
10.02.2020;05:00;36
10.02.2020;06:00;37
10.02.2020;07:00;37
10.02.2020;08:00;38
10.02.2020;09:00;38
10.02.2020;10:00;38
10.02.2020;11:00;38
10.02.2020;12:00;37
10.02.2020;13:00;37
10.02.2020;14:00;37
10.02.2020;15:00;37
10.02.2020;16:00;37
10.02.2020;17:00;38
10.02.2020;18:00;38
10.02.2020;19:00;39
10.02.2020;20:00;38
10.02.2020;21:00;38
10.02.2020;22:00;38
10.02.2020;23:00;38
11.02.2020;00:00;38
11.02.2020;01:00;39
11.02.2020;02:00;39
11.02.2020;03:00;39
11.02.2020;04:00;39
11.02.2020;05:00;40
11.02.2020;06:00;40
11.02.2020;07:00;40
11.02.2020;08:00;40
11.02.2020;09:00;41
11.02.2020;10:00;41
11.02.2020;11:00;41
11.02.2020;12:00;41
11.02.2020;13:00;41
11.02.2020;14:00;41
11.02.2020;15:00;41
11.02.2020;16:00;41
11.02.2020;17:00;41
11.02.2020;18:00;41
11.02.2020;19:00;41
11.02.2020;20:00;41
11.02.2020;21:00;42
11.02.2020;22:00;42
11.02.2020;23:00;43
12.02.2020;00:00;42
12.02.2020;01:00;42
12.02.2020;02:00;41
12.02.2020;03:00;41
12.02.2020;04:00;41
12.02.2020;05:00;41
12.02.2020;06:00;41
12.02.2020;07:00;41
12.02.2020;08:00;41
12.02.2020;09:00;42
12.02.2020;10:00;41
12.02.2020;11:00;41
12.02.2020;12:00;41
12.02.2020;13:00;41
12.02.2020;14:00;41
12.02.2020;15:00;41
12.02.2020;16:00;41
12.02.2020;17:00;41
12.02.2020;18:00;41
12.02.2020;19:00;41
12.02.2020;20:00;41
12.02.2020;21:00;41
12.02.2020;22:00;41
12.02.2020;23:00;40
13.02.2020;00:00;40
13.02.2020;01:00;40
13.02.2020;02:00;40
13.02.2020;03:00;40
13.02.2020;04:00;40
13.02.2020;05:00;40
13.02.2020;06:00;40
13.02.2020;07:00;40
13.02.2020;08:00;40
13.02.2020;09:00;40
13.02.2020;10:00;40
13.02.2020;11:00;40
13.02.2020;12:00;40
13.02.2020;13:00;39
13.02.2020;14:00;39
13.02.2020;15:00;39
13.02.2020;16:00;39
13.02.2020;17:00;39
13.02.2020;18:00;39
13.02.2020;19:00;39
13.02.2020;20:00;40
13.02.2020;21:00;41
13.02.2020;22:00;41
13.02.2020;23:00;42
14.02.2020;00:00;42
14.02.2020;01:00;42
14.02.2020;02:00;42
14.02.2020;03:00;43
14.02.2020;04:00;43
14.02.2020;05:00;44
14.02.2020;06:00;44
14.02.2020;07:00;44
14.02.2020;08:00;45
