Datum;Uhrzeit;Generation_DE A[MW];Generation_DE B[MW]
24.01.2020;07:00;695;724
24.01.2020;08:00;704;719
24.01.2020;09:00;710;725
24.01.2020;10:00;713;727
24.01.2020;11:00;710;728
24.01.2020;12:00;720;731
24.01.2020;13:00;713;732
24.01.2020;14:00;710;730
24.01.2020;15:00;699;729
24.01.2020;16:00;700;729
24.01.2020;17:00;695;730
24.01.2020;18:00;688;727
24.01.2020;19:00;688;730
24.01.2020;20:00;690;730
24.01.2020;21:00;698;732
24.01.2020;22:00;695;730
24.01.2020;23:00;707;735
25.01.2020;00:00;693;731
25.01.2020;01:00;688;731
25.01.2020;02:00;694;735
25.01.2020;03:00;700;735
25.01.2020;04:00;700;736
25.01.2020;05:00;712;729
25.01.2020;06:00;717;733
25.01.2020;07:00;716;728
25.01.2020;08:00;726;727
25.01.2020;09:00;730;727
25.01.2020;10:00;720;724
25.01.2020;11:00;728;726
25.01.2020;12:00;717;723
25.01.2020;13:00;716;720
25.01.2020;14:00;726;726
25.01.2020;15:00;731;730
25.01.2020;16:00;728;727
25.01.2020;17:00;725;728
25.01.2020;18:00;720;726
25.01.2020;19:00;718;724
25.01.2020;20:00;718;728
25.01.2020;21:00;736;728
25.01.2020;22:00;739;726
25.01.2020;23:00;739;729
26.01.2020;00:00;741;726
26.01.2020;01:00;740;727
26.01.2020;02:00;744;730
26.01.2020;03:00;741;733
26.01.2020;04:00;740;739
26.01.2020;05:00;743;742
26.01.2020;06:00;738;739
26.01.2020;07:00;742;744
26.01.2020;08:00;740;742
26.01.2020;09:00;736;744
26.01.2020;10:00;733;741
26.01.2020;11:00;739;747
26.01.2020;12:00;744;748
26.01.2020;13:00;731;750
26.01.2020;14:00;731;746
26.01.2020;15:00;724;750
26.01.2020;16:00;728;741
26.01.2020;17:00;725;738
26.01.2020;18:00;725;738
26.01.2020;19:00;720;747
26.01.2020;20:00;718;732
26.01.2020;21:00;617;634
26.01.2020;22:00;701;727
26.01.2020;23:00;638;651
27.01.2020;00:00;703;727
27.01.2020;01:00;717;738
27.01.2020;02:00;721;737
27.01.2020;03:00;608;611
27.01.2020;04:00;696;707
27.01.2020;05:00;716;740
27.01.2020;06:00;711;734
27.01.2020;07:00;667;708
27.01.2020;08:00;674;714
27.01.2020;09:00;691;719
27.01.2020;10:00;696;745
27.01.2020;11:00;647;745
27.01.2020;12:00;693;744
27.01.2020;13:00;703;744
27.01.2020;14:00;701;732
27.01.2020;15:00;691;738
27.01.2020;16:00;687;741
27.01.2020;17:00;688;740
27.01.2020;18:00;689;743
27.01.2020;19:00;689;741
27.01.2020;20:00;698;739
27.01.2020;21:00;686;740
27.01.2020;22:00;681;743
27.01.2020;23:00;664;731
28.01.2020;00:00;520;609
28.01.2020;01:00;471;554
28.01.2020;02:00;415;459
28.01.2020;03:00;417;331
28.01.2020;04:00;413;320
28.01.2020;05:00;450;443
28.01.2020;06:00;508;538
28.01.2020;07:00;604;683
28.01.2020;08:00;672;616
28.01.2020;09:00;667;617
28.01.2020;10:00;572;623
28.01.2020;11:00;594;618
28.01.2020;12:00;664;716
28.01.2020;13:00;640;695
28.01.2020;14:00;652;701
28.01.2020;15:00;557;659
28.01.2020;16:00;602;718
28.01.2020;17:00;539;706
28.01.2020;18:00;568;711
28.01.2020;19:00;550;672
28.01.2020;20:00;362;413
28.01.2020;21:00;349;395
28.01.2020;22:00;342;397
28.01.2020;23:00;334;368
29.01.2020;00:00;263;359
29.01.2020;01:00;259;381
29.01.2020;02:00;312;390
29.01.2020;03:00;285;338
29.01.2020;04:00;325;393
29.01.2020;05:00;444;420
29.01.2020;06:00;555;573
29.01.2020;07:00;528;568
29.01.2020;08:00;486;554
29.01.2020;09:00;469;554
29.01.2020;10:00;521;526
29.01.2020;11:00;555;630
29.01.2020;12:00;552;679
29.01.2020;13:00;544;637
29.01.2020;14:00;540;634
29.01.2020;15:00;529;634
29.01.2020;16:00;585;662
29.01.2020;17:00;637;700
29.01.2020;18:00;688;731
29.01.2020;19:00;695;733
29.01.2020;20:00;661;718
29.01.2020;21:00;620;728
