Datum;Uhrzeit;Generation_DE B[MW];Generation_DE C[MW];Generation_DE F[MW];Generation_DE E[MW];Generation_DE D[MW]
17.01.2020;06:00;227;224;-;-;-
17.01.2020;07:00;244;226;-;-;-
17.01.2020;08:00;242;225;-;-;-
17.01.2020;09:00;243;220;-;-;-
17.01.2020;10:00;243;204;-;-;-
17.01.2020;11:00;278;272;-;-;-
17.01.2020;12:00;197;202;-;-;-
17.01.2020;13:00;156;152;-;-;-
17.01.2020;14:00;178;188;-;-;-
17.01.2020;15:00;184;177;-;-;-
17.01.2020;16:00;186;165;-;-;-
17.01.2020;17:00;184;166;-;-;-
17.01.2020;18:00;186;168;-;-;-
17.01.2020;19:00;183;168;-;-;-
17.01.2020;20:00;185;167;-;-;-
17.01.2020;21:00;186;171;-;-;-
17.01.2020;22:00;184;162;-;-;-
17.01.2020;23:00;186;156;-;-;-
18.01.2020;00:00;185;145;-;-;-
18.01.2020;01:00;161;134;-;-;-
18.01.2020;02:00;147;127;-;-;-
18.01.2020;03:00;175;143;-;-;-
18.01.2020;04:00;196;148;-;-;-
18.01.2020;05:00;196;152;-;-;-
18.01.2020;06:00;194;177;-;-;-
18.01.2020;07:00;136;219;-;-;-
18.01.2020;08:00;127;213;-;-;-
18.01.2020;09:00;126;207;-;-;-
18.01.2020;10:00;127;207;-;-;-
18.01.2020;11:00;150;182;-;-;-
18.01.2020;12:00;167;168;-;-;-
18.01.2020;13:00;185;167;-;-;-
18.01.2020;14:00;193;167;-;-;-
18.01.2020;15:00;195;167;-;-;-
18.01.2020;16:00;195;166;-;-;-
18.01.2020;17:00;194;166;-;-;-
18.01.2020;18:00;194;166;-;-;-
18.01.2020;19:00;194;168;-;-;-
18.01.2020;20:00;194;168;-;-;-
18.01.2020;21:00;197;168;-;-;-
18.01.2020;22:00;194;197;-;-;-
18.01.2020;23:00;194;203;-;-;-
19.01.2020;00:00;138;130;-;-;-
19.01.2020;01:00;117;126;-;-;-
19.01.2020;02:00;118;126;-;-;-
19.01.2020;03:00;117;127;-;-;-
19.01.2020;04:00;119;127;-;-;-
19.01.2020;05:00;121;127;-;-;-
19.01.2020;06:00;153;149;-;-;-
19.01.2020;07:00;195;170;-;-;-
19.01.2020;08:00;205;168;-;-;-
19.01.2020;09:00;204;172;-;-;-
19.01.2020;10:00;206;170;-;-;-
19.01.2020;11:00;205;169;-;-;-
19.01.2020;12:00;205;169;-;-;-
19.01.2020;13:00;205;169;-;-;-
19.01.2020;14:00;206;169;-;-;-
19.01.2020;15:00;204;168;-;-;-
19.01.2020;16:00;205;168;-;-;-
19.01.2020;17:00;204;168;-;-;-
19.01.2020;18:00;204;171;-;-;-
19.01.2020;19:00;205;169;-;-;-
19.01.2020;20:00;205;170;-;-;-
19.01.2020;21:00;204;170;-;-;-
19.01.2020;22:00;206;169;-;-;-
19.01.2020;23:00;205;169;-;-;-
20.01.2020;00:00;172;134;-;-;-
20.01.2020;01:00;124;127;-;-;-
20.01.2020;02:00;122;127;-;-;-
20.01.2020;03:00;139;128;-;-;-
20.01.2020;04:00;188;142;-;-;-
