Datum,Uhrzeit,Gesamt[MWh]
06.01.2020,03:00,10790
06.01.2020,03:15,10787
06.01.2020,03:30,10805
06.01.2020,03:45,10832
06.01.2020,04:00,11005
06.01.2020,04:15,11083
06.01.2020,04:30,11142
06.01.2020,04:45,11234
06.01.2020,05:00,11569
06.01.2020,05:15,11682
06.01.2020,05:30,11782
06.01.2020,05:45,12078
06.01.2020,06:00,12549
06.01.2020,06:15,12781
06.01.2020,06:30,13089
06.01.2020,06:45,13403
06.01.2020,07:00,13763
06.01.2020,07:15,14294
06.01.2020,07:30,14526
06.01.2020,07:45,14492
06.01.2020,08:00,14748
06.01.2020,08:15,14835
06.01.2020,08:30,14933
06.01.2020,08:45,14993
06.01.2020,09:00,15133
06.01.2020,09:15,15266
06.01.2020,09:30,15329
06.01.2020,09:45,15403
06.01.2020,10:00,15507
06.01.2020,10:15,15587
06.01.2020,10:30,15581
06.01.2020,10:45,15662
06.01.2020,11:00,15679
06.01.2020,11:15,15831
06.01.2020,11:30,15860
06.01.2020,11:45,15821
06.01.2020,12:00,15822
06.01.2020,12:15,15883
06.01.2020,12:30,15889
06.01.2020,12:45,15810
06.01.2020,13:00,15787
06.01.2020,13:15,15656
06.01.2020,13:30,15483
06.01.2020,13:45,15446
06.01.2020,14:00,15483
06.01.2020,14:15,15387
06.01.2020,14:30,15367
06.01.2020,14:45,15341
06.01.2020,15:00,15378
06.01.2020,15:15,15329
06.01.2020,15:30,15305
06.01.2020,15:45,15252
06.01.2020,16:00,15362
06.01.2020,16:15,15421
06.01.2020,16:30,15594
06.01.2020,16:45,15900
06.01.2020,17:00,16262
06.01.2020,17:15,16490
06.01.2020,17:30,16603
06.01.2020,17:45,16663
06.01.2020,18:00,16619
06.01.2020,18:15,16614
06.01.2020,18:30,16541
06.01.2020,18:45,16441
06.01.2020,19:00,16370
06.01.2020,19:15,16276
06.01.2020,19:30,16183
06.01.2020,19:45,16002
06.01.2020,20:00,15731
06.01.2020,20:15,15406
06.01.2020,20:30,15183
06.01.2020,20:45,15029
06.01.2020,21:00,14898
06.01.2020,21:15,14782
06.01.2020,21:30,14653
06.01.2020,21:45,14489
06.01.2020,22:00,14443
06.01.2020,22:15,14302
06.01.2020,22:30,14013
06.01.2020,22:45,13819
06.01.2020,23:00,13493
06.01.2020,23:15,13298
06.01.2020,23:30,13100
06.01.2020,23:45,13013
07.01.2020,00:00,12756
07.01.2020,00:15,12677
07.01.2020,00:30,12673
07.01.2020,00:45,12603
07.01.2020,01:00,12537
07.01.2020,01:15,12437
07.01.2020,01:30,12376
07.01.2020,01:45,12267
07.01.2020,02:00,12083
07.01.2020,02:15,12009
07.01.2020,02:30,11992
07.01.2020,02:45,12021
07.01.2020,03:00,12064
07.01.2020,03:15,12098
07.01.2020,03:30,12146
07.01.2020,03:45,12246
07.01.2020,04:00,12407
07.01.2020,04:15,12438
07.01.2020,04:30,12535
07.01.2020,04:45,12675
07.01.2020,05:00,12994
07.01.2020,05:15,13134
07.01.2020,05:30,13390
07.01.2020,05:45,13723
07.01.2020,06:00,14444
07.01.2020,06:15,14907
07.01.2020,06:30,15313
07.01.2020,06:45,15756
07.01.2020,07:00,16240
07.01.2020,07:15,16515
07.01.2020,07:30,16802
07.01.2020,07:45,16971
07.01.2020,08:00,17230
07.01.2020,08:15,17325
07.01.2020,08:30,17344
07.01.2020,08:45,17299
07.01.2020,09:00,17271
07.01.2020,09:15,17315
07.01.2020,09:30,17378
07.01.2020,09:45,17444
07.01.2020,10:00,17364
07.01.2020,10:15,17467
07.01.2020,10:30,17508
07.01.2020,10:45,17556
07.01.2020,11:00,17543
07.01.2020,11:15,17499
07.01.2020,11:30,17530
07.01.2020,11:45,17517
07.01.2020,12:00,17387
07.01.2020,12:15,17325
07.01.2020,12:30,17328
07.01.2020,12:45,17327
07.01.2020,13:00,17402
07.01.2020,13:15,17433
07.01.2020,13:30,17378
07.01.2020,13:45,17252
07.01.2020,14:00,17209
07.01.2020,14:15,17218
07.01.2020,14:30,17245
07.01.2020,14:45,17183
07.01.2020,15:00,17136
07.01.2020,15:15,17029
07.01.2020,15:30,16983
07.01.2020,15:45,16941
07.01.2020,16:00,17020
07.01.2020,16:15,17062
07.01.2020,16:30,17150
07.01.2020,16:45,17342
07.01.2020,17:00,17557
07.01.2020,17:15,17723
07.01.2020,17:30,17772
07.01.2020,17:45,17861
07.01.2020,18:00,17740
07.01.2020,18:15,17698
07.01.2020,18:30,17632
07.01.2020,18:45,17608
07.01.2020,19:00,17425
07.01.2020,19:15,17294
07.01.2020,19:30,17177
07.01.2020,19:45,17095
07.01.2020,20:00,16710
07.01.2020,20:15,16435
07.01.2020,20:30,16162
07.01.2020,20:45,15928
07.01.2020,21:00,15770
07.01.2020,21:15,15605
07.01.2020,21:30,15391
07.01.2020,21:45,15231
07.01.2020,22:00,15078
07.01.2020,22:15,14912
07.01.2020,22:30,14685
