Datum,Uhrzeit,Generation_DE Iffezheim M10M5[MW]
25.01.2020,07:00,63
25.01.2020,08:00,62
25.01.2020,09:00,59
25.01.2020,10:00,60
25.01.2020,11:00,60
25.01.2020,12:00,60
25.01.2020,13:00,61
25.01.2020,14:00,68
25.01.2020,15:00,66
25.01.2020,16:00,59
25.01.2020,17:00,64
25.01.2020,18:00,60
25.01.2020,19:00,65
25.01.2020,20:00,62
25.01.2020,21:00,66
25.01.2020,22:00,67
25.01.2020,23:00,61
26.01.2020,00:00,58
26.01.2020,01:00,62
26.01.2020,02:00,63
26.01.2020,03:00,58
26.01.2020,04:00,59
26.01.2020,05:00,59
26.01.2020,06:00,57
26.01.2020,07:00,61
26.01.2020,08:00,62
26.01.2020,09:00,62
26.01.2020,10:00,61
26.01.2020,11:00,61
26.01.2020,12:00,61
26.01.2020,13:00,64
26.01.2020,14:00,61
26.01.2020,15:00,58
26.01.2020,16:00,58
26.01.2020,17:00,58
26.01.2020,18:00,57
26.01.2020,19:00,58
26.01.2020,20:00,59
26.01.2020,21:00,59
26.01.2020,22:00,63
26.01.2020,23:00,61
27.01.2020,00:00,58
27.01.2020,01:00,60
27.01.2020,02:00,60
27.01.2020,03:00,58
27.01.2020,04:00,55
27.01.2020,05:00,58
27.01.2020,06:00,54
27.01.2020,07:00,57
27.01.2020,08:00,59
27.01.2020,09:00,61
27.01.2020,10:00,62
27.01.2020,11:00,60
27.01.2020,12:00,61
27.01.2020,13:00,61
27.01.2020,14:00,60
27.01.2020,15:00,60
27.01.2020,16:00,59
27.01.2020,17:00,59
27.01.2020,18:00,60
27.01.2020,19:00,63
27.01.2020,20:00,64
27.01.2020,21:00,65
27.01.2020,22:00,66
27.01.2020,23:00,66
28.01.2020,00:00,70
28.01.2020,01:00,68
28.01.2020,02:00,66
28.01.2020,03:00,66
28.01.2020,04:00,70
28.01.2020,05:00,66
28.01.2020,06:00,66
28.01.2020,07:00,65
28.01.2020,08:00,64
28.01.2020,09:00,63
28.01.2020,10:00,63
28.01.2020,11:00,65
28.01.2020,12:00,66
28.01.2020,13:00,65
28.01.2020,14:00,65
28.01.2020,15:00,64
28.01.2020,16:00,67
28.01.2020,17:00,65
28.01.2020,18:00,63
28.01.2020,19:00,66
28.01.2020,20:00,68
28.01.2020,21:00,68
28.01.2020,22:00,67
28.01.2020,23:00,63
29.01.2020,00:00,62
29.01.2020,01:00,68
29.01.2020,02:00,75
29.01.2020,03:00,72
29.01.2020,04:00,70
29.01.2020,05:00,73
29.01.2020,06:00,71
29.01.2020,07:00,70
29.01.2020,08:00,73
29.01.2020,09:00,75
29.01.2020,10:00,73
29.01.2020,11:00,74
29.01.2020,12:00,71
29.01.2020,13:00,70
29.01.2020,14:00,71
29.01.2020,15:00,69
29.01.2020,16:00,70
29.01.2020,17:00,73
29.01.2020,18:00,72
29.01.2020,19:00,69
29.01.2020,20:00,72
29.01.2020,21:00,72
29.01.2020,22:00,74
29.01.2020,23:00,74
30.01.2020,00:00,78
30.01.2020,01:00,78
30.01.2020,02:00,78
30.01.2020,03:00,84
30.01.2020,04:00,82
30.01.2020,05:00,81
30.01.2020,06:00,82
30.01.2020,07:00,80
30.01.2020,08:00,81
30.01.2020,09:00,81
30.01.2020,10:00,79
30.01.2020,11:00,83
30.01.2020,12:00,81
30.01.2020,13:00,81
30.01.2020,14:00,84
30.01.2020,15:00,80
30.01.2020,16:00,84
30.01.2020,17:00,82
30.01.2020,18:00,80
30.01.2020,19:00,81
30.01.2020,20:00,81
30.01.2020,21:00,75
30.01.2020,22:00,78
30.01.2020,23:00,79
31.01.2020,00:00,79
31.01.2020,01:00,79
31.01.2020,02:00,78
31.01.2020,03:00,83
31.01.2020,04:00,82
31.01.2020,05:00,80
31.01.2020,06:00,82
31.01.2020,07:00,82
31.01.2020,08:00,79
31.01.2020,09:00,78
31.01.2020,10:00,81
31.01.2020,11:00,81
31.01.2020,12:00,84
31.01.2020,13:00,85
31.01.2020,14:00,83
31.01.2020,15:00,83
31.01.2020,16:00,82
31.01.2020,17:00,83
31.01.2020,18:00,81
31.01.2020,19:00,82
31.01.2020,20:00,86
31.01.2020,21:00,87
31.01.2020,22:00,88
31.01.2020,23:00,89
01.02.2020,00:00,90
01.02.2020,01:00,91
01.02.2020,02:00,92
01.02.2020,03:00,92
01.02.2020,04:00,93
01.02.2020,05:00,97
01.02.2020,06:00,96
01.02.2020,07:00,97
01.02.2020,08:00,98
01.02.2020,09:00,98
01.02.2020,10:00,95
01.02.2020,11:00,95
01.02.2020,12:00,98
01.02.2020,13:00,94
01.02.2020,14:00,94
01.02.2020,15:00,92
01.02.2020,16:00,91
01.02.2020,17:00,91
01.02.2020,18:00,89
01.02.2020,19:00,91
01.02.2020,20:00,91
01.02.2020,21:00,94
01.02.2020,22:00,94
01.02.2020,23:00,94
02.02.2020,00:00,92
02.02.2020,01:00,91
02.02.2020,02:00,90
02.02.2020,03:00,88
02.02.2020,04:00,88
02.02.2020,05:00,90
02.02.2020,06:00,91
02.02.2020,07:00,94
02.02.2020,08:00,99
02.02.2020,09:00,100
02.02.2020,10:00,103
02.02.2020,11:00,103
02.02.2020,12:00,102
02.02.2020,13:00,100
02.02.2020,14:00,97
02.02.2020,15:00,98
02.02.2020,16:00,102
02.02.2020,17:00,107
02.02.2020,18:00,107
02.02.2020,19:00,108
02.02.2020,20:00,108
02.02.2020,21:00,110
02.02.2020,22:00,110
02.02.2020,23:00,109
03.02.2020,00:00,109
03.02.2020,01:00,109
03.02.2020,02:00,109
03.02.2020,03:00,109
03.02.2020,04:00,109
03.02.2020,05:00,109
03.02.2020,06:00,109
03.02.2020,07:00,109
03.02.2020,08:00,106
03.02.2020,09:00,104
03.02.2020,10:00,104
03.02.2020,11:00,104
03.02.2020,12:00,104
03.02.2020,13:00,103
03.02.2020,14:00,102
03.02.2020,15:00,99
03.02.2020,16:00,99
03.02.2020,17:00,99
03.02.2020,18:00,97
03.02.2020,19:00,96
03.02.2020,20:00,95
03.02.2020,21:00,95
03.02.2020,22:00,95
03.02.2020,23:00,94
04.02.2020,00:00,92
04.02.2020,01:00,91
04.02.2020,02:00,90
04.02.2020,03:00,90
04.02.2020,04:00,90
04.02.2020,05:00,90
04.02.2020,06:00,91
04.02.2020,07:00,91
04.02.2020,08:00,89
04.02.2020,09:00,89
04.02.2020,10:00,91
04.02.2020,11:00,91
04.02.2020,12:00,91
04.02.2020,13:00,91
04.02.2020,14:00,90
04.02.2020,15:00,90
04.02.2020,16:00,90
04.02.2020,17:00,90
04.02.2020,18:00,90
04.02.2020,19:00,90
04.02.2020,20:00,91
04.02.2020,21:00,90
04.02.2020,22:00,89
04.02.2020,23:00,90
05.02.2020,00:00,90
05.02.2020,01:00,91
05.02.2020,02:00,91
05.02.2020,03:00,92
05.02.2020,04:00,91
05.02.2020,05:00,91
05.02.2020,06:00,92
05.02.2020,07:00,91
05.02.2020,08:00,90
05.02.2020,09:00,91
05.02.2020,10:00,92
05.02.2020,11:00,92
05.02.2020,12:00,92
05.02.2020,13:00,92
05.02.2020,14:00,92
05.02.2020,15:00,93
05.02.2020,16:00,94
05.02.2020,17:00,94
05.02.2020,18:00,94
05.02.2020,19:00,95
05.02.2020,20:00,95
05.02.2020,21:00,94
05.02.2020,22:00,95
05.02.2020,23:00,95
