Datum,Uhrzeit,Generation_DE Heizkraftwerk Dresden0Nossener Brücke 
(3 GT + 1 DT, Sammelschiene)[MW]
28.01.2020,03:00,245
28.01.2020,04:00,243
28.01.2020,05:00,243
28.01.2020,06:00,242
28.01.2020,07:00,242
28.01.2020,08:00,241
28.01.2020,09:00,241
28.01.2020,10:00,240
28.01.2020,11:00,240
28.01.2020,12:00,240
28.01.2020,13:00,236
28.01.2020,14:00,241
28.01.2020,15:00,240
28.01.2020,16:00,244
28.01.2020,17:00,244
28.01.2020,18:00,245
28.01.2020,19:00,245
28.01.2020,20:00,245
28.01.2020,21:00,245
28.01.2020,22:00,245
28.01.2020,23:00,245
29.01.2020,00:00,244
29.01.2020,01:00,244
29.01.2020,02:00,244
29.01.2020,03:00,244
29.01.2020,04:00,245
29.01.2020,05:00,246
29.01.2020,06:00,246
29.01.2020,07:00,246
29.01.2020,08:00,246
29.01.2020,09:00,245
29.01.2020,10:00,245
29.01.2020,11:00,245
29.01.2020,12:00,244
29.01.2020,13:00,245
29.01.2020,14:00,245
29.01.2020,15:00,245
29.01.2020,16:00,246
29.01.2020,17:00,246
29.01.2020,18:00,246
29.01.2020,19:00,247
29.01.2020,20:00,248
29.01.2020,21:00,249
29.01.2020,22:00,248
29.01.2020,23:00,248
30.01.2020,00:00,248
30.01.2020,01:00,249
30.01.2020,02:00,248
30.01.2020,03:00,249
30.01.2020,04:00,249
30.01.2020,05:00,248
30.01.2020,06:00,247
30.01.2020,07:00,247
30.01.2020,08:00,246
30.01.2020,09:00,246
30.01.2020,10:00,245
30.01.2020,11:00,245
30.01.2020,12:00,245
30.01.2020,13:00,244
30.01.2020,14:00,244
30.01.2020,15:00,244
30.01.2020,16:00,244
30.01.2020,17:00,245
30.01.2020,18:00,245
30.01.2020,19:00,246
30.01.2020,20:00,244
30.01.2020,21:00,246
30.01.2020,22:00,183
30.01.2020,23:00,150
31.01.2020,00:00,149
31.01.2020,01:00,149
31.01.2020,02:00,149
31.01.2020,03:00,148
31.01.2020,04:00,146
31.01.2020,05:00,175
31.01.2020,06:00,234
31.01.2020,07:00,238
31.01.2020,08:00,239
31.01.2020,09:00,238
31.01.2020,10:00,239
31.01.2020,11:00,238
31.01.2020,12:00,237
31.01.2020,13:00,237
31.01.2020,14:00,235
31.01.2020,15:00,232
31.01.2020,16:00,233
31.01.2020,17:00,239
31.01.2020,18:00,239
31.01.2020,19:00,233
31.01.2020,20:00,233
31.01.2020,21:00,229
31.01.2020,22:00,152
