Datum,Uhrzeit,Generation_DE PSS A[MW],Generation_DE PSS C[MW],Generation_DE PSS D[MW],Generation_DE PSS B[MW]
12.01.2020,16:00,90,0,0,0
12.01.2020,17:00,62,0,0,0
12.01.2020,18:00,81,0,0,0
12.01.2020,19:00,61,0,0,0
12.01.2020,20:00,60,0,0,0
12.01.2020,21:00,61,0,0,0
12.01.2020,22:00,24,0,0,0
12.01.2020,23:00,60,0,0,0
13.01.2020,00:00,1,0,0,0
13.01.2020,01:00,0,0,0,0
13.01.2020,02:00,0,0,0,0
13.01.2020,03:00,0,0,0,0
13.01.2020,04:00,42,0,0,0
13.01.2020,05:00,150,0,0,0
13.01.2020,06:00,175,3,142,0
13.01.2020,07:00,275,266,272,265
13.01.2020,08:00,234,248,230,251
13.01.2020,09:00,244,250,241,253
13.01.2020,10:00,288,263,287,267
13.01.2020,11:00,277,245,275,249
13.01.2020,12:00,0,1,54,0
13.01.2020,13:00,0,0,55,0
13.01.2020,14:00,0,1,141,0
13.01.2020,15:00,3,244,258,12
13.01.2020,16:00,256,233,253,236
13.01.2020,17:00,233,228,230,231
13.01.2020,18:00,86,158,0,161
13.01.2020,19:00,46,0,0,131
13.01.2020,20:00,76,0,0,0
13.01.2020,21:00,133,0,0,0
13.01.2020,22:00,1,0,0,0
13.01.2020,23:00,0,0,0,0
14.01.2020,00:00,0,0,0,0
14.01.2020,01:00,0,0,0,0
14.01.2020,02:00,0,0,0,0
14.01.2020,03:00,0,0,0,0
14.01.2020,04:00,0,0,0,0
14.01.2020,05:00,0,0,0,0
14.01.2020,06:00,0,0,0,0
14.01.2020,07:00,20,0,0,0
14.01.2020,08:00,66,0,0,0
14.01.2020,09:00,19,0,45,0
14.01.2020,10:00,0,0,67,0
14.01.2020,11:00,0,0,90,0
14.01.2020,12:00,0,0,73,0
14.01.2020,13:00,0,0,241,0
14.01.2020,14:00,0,110,221,0
14.01.2020,15:00,0,255,266,0
14.01.2020,16:00,241,246,240,250
14.01.2020,17:00,218,238,216,240
14.01.2020,18:00,255,235,252,239
14.01.2020,19:00,262,233,259,236
14.01.2020,20:00,83,1,78,50
14.01.2020,21:00,0,0,0,0
14.01.2020,22:00,0,0,0,0
14.01.2020,23:00,0,0,0,0
15.01.2020,00:00,0,0,0,0
15.01.2020,01:00,0,0,0,0
15.01.2020,02:00,0,0,0,0
15.01.2020,03:00,0,0,0,0
15.01.2020,04:00,0,0,0,0
15.01.2020,05:00,0,0,0,0
15.01.2020,06:00,0,0,0,0
15.01.2020,07:00,0,0,59,1
15.01.2020,08:00,263,268,290,277
15.01.2020,09:00,112,1,120,4
15.01.2020,10:00,1,0,53,0
15.01.2020,11:00,0,0,47,0
15.01.2020,12:00,0,0,65,0
15.01.2020,13:00,0,0,62,0
15.01.2020,14:00,0,0,44,0
15.01.2020,15:00,1,102,131,0
15.01.2020,16:00,221,239,218,241
15.01.2020,17:00,195,223,193,226
15.01.2020,18:00,231,241,228,245
15.01.2020,19:00,220,232,217,235
15.01.2020,20:00,142,0,186,0
15.01.2020,21:00,0,0,0,0
15.01.2020,22:00,0,0,0,0
15.01.2020,23:00,0,0,0,0
16.01.2020,00:00,0,0,0,0
16.01.2020,01:00,0,0,0,0
16.01.2020,02:00,0,0,0,0
16.01.2020,03:00,0,0,0,0
16.01.2020,04:00,0,0,0,0
16.01.2020,05:00,0,0,0,0
16.01.2020,06:00,1,0,1,0
16.01.2020,07:00,269,262,265,266
16.01.2020,08:00,295,247,292,250
16.01.2020,09:00,259,253,256,256
16.01.2020,10:00,244,247,241,250
16.01.2020,11:00,72,1,2,1
16.01.2020,12:00,98,0,0,0
16.01.2020,13:00,86,0,0,0
16.01.2020,14:00,146,0,60,0
16.01.2020,15:00,102,0,2,0
16.01.2020,16:00,146,0,1,0
16.01.2020,17:00,186,201,183,212
16.01.2020,18:00,225,225,222,228
16.01.2020,19:00,191,167,189,211
16.01.2020,20:00,116,0,1,0
16.01.2020,21:00,1,0,0,0
16.01.2020,22:00,0,0,0,0
16.01.2020,23:00,0,0,0,0
17.01.2020,00:00,0,0,0,0
17.01.2020,01:00,0,0,0,0
17.01.2020,02:00,0,0,0,0
17.01.2020,03:00,0,0,0,0
17.01.2020,04:00,0,0,0,0
17.01.2020,05:00,0,0,0,0
17.01.2020,06:00,4,0,0,0
17.01.2020,07:00,98,0,0,0
17.01.2020,08:00,290,258,286,262
17.01.2020,09:00,210,239,207,237
17.01.2020,10:00,142,1,1,0
17.01.2020,11:00,152,0,0,0
17.01.2020,12:00,139,0,0,0
17.01.2020,13:00,141,0,0,0
17.01.2020,14:00,165,0,0,0
17.01.2020,15:00,103,58,0,5
17.01.2020,16:00,251,237,249,240
17.01.2020,17:00,257,237,253,240
17.01.2020,18:00,250,233,247,236
17.01.2020,19:00,69,140,58,140
17.01.2020,20:00,140,2,0,0
17.01.2020,21:00,166,0,0,0
17.01.2020,22:00,91,0,0,0
17.01.2020,23:00,0,0,0,0
18.01.2020,00:00,0,0,0,0
18.01.2020,01:00,0,0,0,0
18.01.2020,02:00,0,0,0,0
18.01.2020,03:00,0,0,0,0
18.01.2020,04:00,0,0,0,0
18.01.2020,05:00,0,0,0,0
18.01.2020,06:00,0,0,0,0
18.01.2020,07:00,0,0,0,0
18.01.2020,08:00,84,0,0,88
18.01.2020,09:00,89,0,0,174
18.01.2020,10:00,122,0,0,188
18.01.2020,11:00,78,0,0,2
18.01.2020,12:00,1,0,0,0
18.01.2020,13:00,1,0,0,0
18.01.2020,14:00,116,0,0,0
18.01.2020,15:00,36,0,32,0
18.01.2020,16:00,108,2,105,5
18.01.2020,17:00,269,251,266,254
18.01.2020,18:00,232,243,229,245
18.01.2020,19:00,253,234,250,237
18.01.2020,20:00,224,230,221,232
18.01.2020,21:00,87,54,3,9
18.01.2020,22:00,140,0,0,0
18.01.2020,23:00,126,0,0,0
19.01.2020,00:00,2,0,0,0
19.01.2020,01:00,0,0,0,0
19.01.2020,02:00,0,0,0,0
19.01.2020,03:00,0,0,0,0
19.01.2020,04:00,0,0,0,0
19.01.2020,05:00,0,0,0,0
19.01.2020,06:00,0,0,0,0
19.01.2020,07:00,0,0,0,0
19.01.2020,08:00,0,0,0,0
19.01.2020,09:00,1,0,0,0
19.01.2020,10:00,80,0,0,0
19.01.2020,11:00,133,0,0,0
19.01.2020,12:00,67,0,0,0
19.01.2020,13:00,52,0,0,0
19.01.2020,14:00,201,0,0,0
19.01.2020,15:00,95,0,0,0
19.01.2020,16:00,131,0,0,0
19.01.2020,17:00,165,0,0,0
19.01.2020,18:00,92,120,0,0
19.01.2020,19:00,75,103,0,0
19.01.2020,20:00,90,0,0,0
19.01.2020,21:00,99,0,0,0
19.01.2020,22:00,81,0,0,0
19.01.2020,23:00,96,0,0,0
20.01.2020,00:00,39,0,0,0
20.01.2020,01:00,39,0,0,0
20.01.2020,02:00,0,0,0,0
20.01.2020,03:00,0,0,0,0
20.01.2020,04:00,0,0,0,0
20.01.2020,05:00,0,0,0,0
20.01.2020,06:00,105,2,6,0
20.01.2020,07:00,206,240,204,242
20.01.2020,08:00,216,240,214,243
20.01.2020,09:00,255,257,252,259
20.01.2020,10:00,284,278,280,4
20.01.2020,11:00,2,2,120,0
20.01.2020,12:00,0,0,107,0
20.01.2020,13:00,0,0,115,0
20.01.2020,14:00,0,0,116,0
20.01.2020,15:00,2,0,115,0
20.01.2020,16:00,264,245,262,248
20.01.2020,17:00,248,240,244,243
20.01.2020,18:00,252,236,248,240
20.01.2020,19:00,177,200,174,202
20.01.2020,20:00,107,50,0,2
20.01.2020,21:00,2,0,0,0
20.01.2020,22:00,0,0,0,0
20.01.2020,23:00,0,0,0,0
21.01.2020,00:00,0,0,0,0
21.01.2020,01:00,0,0,0,0
21.01.2020,02:00,0,0,0,0
21.01.2020,03:00,0,0,0,0
21.01.2020,04:00,0,0,0,0
21.01.2020,05:00,0,0,0,0
21.01.2020,06:00,1,0,0,0
21.01.2020,07:00,48,2,0,0
21.01.2020,08:00,260,257,257,260
21.01.2020,09:00,179,2,0,0
21.01.2020,10:00,105,0,0,0
21.01.2020,11:00,38,0,0,0
21.01.2020,12:00,50,0,0,0
21.01.2020,13:00,40,0,0,0
21.01.2020,14:00,69,0,0,0
21.01.2020,15:00,124,0,0,4
21.01.2020,16:00,183,221,0,220
21.01.2020,17:00,180,224,0,223
21.01.2020,18:00,118,206,0,206
21.01.2020,19:00,163,5,0,50
21.01.2020,20:00,138,0,0,0
21.01.2020,21:00,103,0,0,0
21.01.2020,22:00,92,0,0,0
21.01.2020,23:00,0,0,0,0
22.01.2020,00:00,0,0,0,0
22.01.2020,01:00,0,0,0,0
22.01.2020,02:00,0,0,0,0
22.01.2020,03:00,0,0,0,0
22.01.2020,04:00,0,0,0,0
22.01.2020,05:00,0,0,0,0
22.01.2020,06:00,18,0,0,0
22.01.2020,07:00,167,108,0,191
22.01.2020,08:00,292,279,0,279
22.01.2020,09:00,160,206,0,206
22.01.2020,10:00,100,156,0,199
22.01.2020,11:00,131,55,0,215
22.01.2020,12:00,161,7,0,70
22.01.2020,13:00,83,0,0,153
22.01.2020,14:00,130,0,0,151
22.01.2020,15:00,103,0,0,160
22.01.2020,16:00,196,16,1,78
22.01.2020,17:00,193,222,191,224
22.01.2020,18:00,194,219,191,221
22.01.2020,19:00,246,239,243,242
22.01.2020,20:00,191,203,173,205
22.01.2020,21:00,94,46,0,45
22.01.2020,22:00,15,0,0,0
22.01.2020,23:00,0,0,0,0
23.01.2020,00:00,0,0,0,0
23.01.2020,01:00,0,0,0,0
23.01.2020,02:00,0,0,0,0
23.01.2020,03:00,0,0,0,0
23.01.2020,04:00,0,0,0,0
23.01.2020,05:00,0,0,0,0
23.01.2020,06:00,41,0,0,0
23.01.2020,07:00,249,241,0,250
23.01.2020,08:00,251,253,60,253
23.01.2020,09:00,151,217,1,215
23.01.2020,10:00,107,0,0,129
23.01.2020,11:00,119,0,0,173
23.01.2020,12:00,106,0,0,11
23.01.2020,13:00,158,0,0,3
23.01.2020,14:00,150,0,0,23
23.01.2020,15:00,171,0,0,0
23.01.2020,16:00,163,0,0,2
23.01.2020,17:00,251,239,246,242
23.01.2020,18:00,187,203,184,206
23.01.2020,19:00,214,218,211,221
23.01.2020,20:00,114,0,0,2
23.01.2020,21:00,0,0,0,0
23.01.2020,22:00,0,0,0,0
23.01.2020,23:00,0,0,0,0
24.01.2020,00:00,0,0,0,0
24.01.2020,01:00,0,0,0,0
24.01.2020,02:00,0,0,0,0
24.01.2020,03:00,0,0,0,0
24.01.2020,04:00,0,0,0,0
24.01.2020,05:00,0,0,0,0
24.01.2020,06:00,30,0,0,0
24.01.2020,07:00,72,0,0,0
24.01.2020,08:00,262,249,255,247
24.01.2020,09:00,242,245,239,248
24.01.2020,10:00,232,240,228,244
24.01.2020,11:00,106,3,25,3
24.01.2020,12:00,75,0,0,0
24.01.2020,13:00,112,0,0,0
24.01.2020,14:00,170,0,0,0
24.01.2020,15:00,178,0,0,0
24.01.2020,16:00,99,0,0,2
24.01.2020,17:00,264,240,258,242
24.01.2020,18:00,232,227,228,230
24.01.2020,19:00,201,211,198,213
24.01.2020,20:00,66,2,0,3
24.01.2020,21:00,96,0,0,0
24.01.2020,22:00,198,0,0,0
