Datum,Uhrzeit,Generation_DE B[MW],Generation_DE C[MW],Generation_DE F[MW],Generation_DE E[MW],Generation_DE D[MW]
21.01.2020,16:00,283,286,0,0,0
21.01.2020,17:00,299,300,0,0,0
21.01.2020,18:00,298,300,0,0,0
21.01.2020,19:00,298,291,0,0,0
21.01.2020,20:00,262,254,0,0,0
21.01.2020,21:00,244,255,0,0,0
21.01.2020,22:00,242,255,0,0,0
21.01.2020,23:00,242,253,0,0,0
22.01.2020,00:00,212,210,0,0,0
22.01.2020,01:00,205,206,0,0,0
22.01.2020,02:00,205,206,0,0,0
22.01.2020,03:00,207,204,0,0,0
22.01.2020,04:00,215,206,0,0,0
22.01.2020,05:00,215,204,0,0,0
22.01.2020,06:00,215,207,0,0,0
22.01.2020,07:00,215,206,0,0,0
22.01.2020,08:00,227,191,0,0,0
22.01.2020,09:00,233,187,0,0,0
22.01.2020,10:00,233,187,0,0,0
22.01.2020,11:00,233,188,0,0,0
22.01.2020,12:00,254,229,0,0,0
22.01.2020,13:00,271,281,0,0,0
22.01.2020,14:00,272,290,0,0,0
22.01.2020,15:00,270,290,0,0,0
22.01.2020,16:00,272,291,0,0,0
22.01.2020,17:00,278,289,0,0,0
22.01.2020,18:00,279,291,0,0,0
22.01.2020,19:00,254,285,0,0,0
22.01.2020,20:00,229,217,0,0,0
22.01.2020,21:00,224,206,0,0,0
22.01.2020,22:00,225,205,0,0,0
22.01.2020,23:00,225,206,0,0,0
23.01.2020,00:00,225,206,0,0,0
23.01.2020,01:00,224,206,0,0,0
23.01.2020,02:00,224,181,0,0,0
23.01.2020,03:00,223,169,0,0,0
23.01.2020,04:00,223,183,0,0,0
23.01.2020,05:00,227,206,0,0,0
23.01.2020,06:00,229,223,0,0,0
23.01.2020,07:00,280,264,0,0,0
23.01.2020,08:00,282,282,0,0,0
23.01.2020,09:00,282,283,0,0,0
23.01.2020,10:00,281,283,0,0,0
23.01.2020,11:00,282,282,0,0,0
23.01.2020,12:00,281,283,0,0,0
23.01.2020,13:00,281,283,0,0,0
23.01.2020,14:00,282,282,0,0,0
23.01.2020,15:00,280,282,0,0,0
23.01.2020,16:00,280,280,0,0,0
23.01.2020,17:00,280,280,0,0,0
23.01.2020,18:00,280,281,0,0,0
23.01.2020,19:00,279,281,0,0,0
23.01.2020,20:00,256,269,0,0,0
23.01.2020,21:00,226,210,0,0,0
23.01.2020,22:00,225,200,0,0,0
23.01.2020,23:00,226,198,0,0,0
24.01.2020,00:00,224,199,0,0,0
24.01.2020,01:00,224,198,0,0,0
24.01.2020,02:00,223,198,0,0,0
24.01.2020,03:00,208,190,0,0,0
24.01.2020,04:00,222,189,0,0,0
24.01.2020,05:00,243,190,0,0,0
24.01.2020,06:00,242,214,0,0,0
24.01.2020,07:00,279,275,0,0,0
24.01.2020,08:00,281,292,0,0,0
24.01.2020,09:00,282,291,0,0,0
24.01.2020,10:00,288,291,0,0,0
24.01.2020,11:00,289,290,0,0,0
24.01.2020,12:00,289,291,0,0,0
24.01.2020,13:00,288,290,0,0,0
