Datum,Uhrzeit,Generation_DE GKN II[MW]
21.01.2020,03:00,1315
21.01.2020,04:00,1316
21.01.2020,05:00,1317
21.01.2020,06:00,1318
21.01.2020,07:00,1316
21.01.2020,08:00,1320
21.01.2020,09:00,1322
21.01.2020,10:00,1318
21.01.2020,11:00,1318
21.01.2020,12:00,1318
21.01.2020,13:00,1318
21.01.2020,14:00,1320
21.01.2020,15:00,1319
21.01.2020,16:00,1318
21.01.2020,17:00,1317
21.01.2020,18:00,1317
21.01.2020,19:00,1318
21.01.2020,20:00,1320
21.01.2020,21:00,1321
21.01.2020,22:00,1320
21.01.2020,23:00,1320
22.01.2020,00:00,1320
22.01.2020,01:00,1320
22.01.2020,02:00,1320
22.01.2020,03:00,1320
22.01.2020,04:00,1320
22.01.2020,05:00,1320
22.01.2020,06:00,1319
22.01.2020,07:00,1316
22.01.2020,08:00,1317
22.01.2020,09:00,1318
22.01.2020,10:00,1318
22.01.2020,11:00,1318
22.01.2020,12:00,1317
22.01.2020,13:00,1316
22.01.2020,14:00,1315
22.01.2020,15:00,1315
22.01.2020,16:00,1315
22.01.2020,17:00,1315
22.01.2020,18:00,1313
22.01.2020,19:00,1313
22.01.2020,20:00,1315
22.01.2020,21:00,1316
22.01.2020,22:00,1318
22.01.2020,23:00,1320
23.01.2020,00:00,1316
23.01.2020,01:00,1316
23.01.2020,02:00,1316
23.01.2020,03:00,1316
23.01.2020,04:00,1317
23.01.2020,05:00,1316
23.01.2020,06:00,1316
23.01.2020,07:00,1318
23.01.2020,08:00,1319
23.01.2020,09:00,1313
23.01.2020,10:00,1311
23.01.2020,11:00,1312
23.01.2020,12:00,1312
23.01.2020,13:00,1313
23.01.2020,14:00,1313
23.01.2020,15:00,1313
23.01.2020,16:00,1313
23.01.2020,17:00,1313
23.01.2020,18:00,1315
23.01.2020,19:00,1315
23.01.2020,20:00,1314
23.01.2020,21:00,1316
23.01.2020,22:00,1316
23.01.2020,23:00,1315
24.01.2020,00:00,1317
24.01.2020,01:00,1319
24.01.2020,02:00,1318
24.01.2020,03:00,1318
24.01.2020,04:00,1317
24.01.2020,05:00,1316
