Datum,Uhrzeit,Generation_DE Block 3[MW],Generation_DE Block 4[MW],Generation_DE Block 5[MW]
23.01.2020,09:00,0,42,139
23.01.2020,10:00,0,40,116
23.01.2020,11:00,0,44,121
23.01.2020,12:00,0,40,137
23.01.2020,13:00,0,42,144
23.01.2020,14:00,0,39,144
23.01.2020,15:00,0,39,155
23.01.2020,16:00,0,43,168
23.01.2020,17:00,0,42,156
23.01.2020,18:00,0,54,163
23.01.2020,19:00,0,50,176
23.01.2020,20:00,0,71,204
23.01.2020,21:00,0,46,192
23.01.2020,22:00,0,43,201
23.01.2020,23:00,0,39,190
24.01.2020,00:00,0,39,178
24.01.2020,01:00,0,37,165
24.01.2020,02:00,0,51,197
24.01.2020,03:00,0,42,178
24.01.2020,04:00,0,41,176
24.01.2020,05:00,0,38,151
24.01.2020,06:00,0,39,174
24.01.2020,07:00,0,49,185
24.01.2020,08:00,0,38,198
24.01.2020,09:00,0,48,200
24.01.2020,10:00,0,71,204
24.01.2020,11:00,0,45,175
24.01.2020,12:00,0,50,192
24.01.2020,13:00,0,56,206
24.01.2020,14:00,0,44,218
24.01.2020,15:00,0,62,213
24.01.2020,16:00,0,81,213
24.01.2020,17:00,0,81,215
24.01.2020,18:00,0,82,215
24.01.2020,19:00,0,83,215
24.01.2020,20:00,0,81,215
24.01.2020,21:00,0,80,211
24.01.2020,22:00,0,79,204
24.01.2020,23:00,0,80,211
25.01.2020,00:00,0,82,210
25.01.2020,01:00,0,66,201
25.01.2020,02:00,0,63,200
25.01.2020,03:00,0,50,181
25.01.2020,04:00,0,65,183
25.01.2020,05:00,0,61,191
25.01.2020,06:00,0,47,191
25.01.2020,07:00,0,61,202
25.01.2020,08:00,0,54,183
25.01.2020,09:00,0,56,184
25.01.2020,10:00,0,64,188
25.01.2020,11:00,0,48,171
25.01.2020,12:00,0,45,159
25.01.2020,13:00,0,62,182
25.01.2020,14:00,0,55,187
25.01.2020,15:00,0,48,190
25.01.2020,16:00,0,43,195
25.01.2020,17:00,0,40,180
25.01.2020,18:00,0,45,176
25.01.2020,19:00,0,66,212
25.01.2020,20:00,0,39,160
25.01.2020,21:00,0,40,141
25.01.2020,22:00,0,46,164
25.01.2020,23:00,0,45,166
