Datum,Uhrzeit,Generation_DE B[MW],Generation_DE A[MW]
19.01.2020,18:00,289,0
19.01.2020,19:00,308,0
19.01.2020,20:00,309,0
19.01.2020,21:00,299,0
19.01.2020,22:00,198,0
19.01.2020,23:00,209,0
20.01.2020,00:00,173,0
20.01.2020,01:00,170,0
20.01.2020,02:00,168,0
20.01.2020,03:00,171,0
20.01.2020,04:00,167,0
20.01.2020,05:00,172,0
20.01.2020,06:00,171,0
20.01.2020,07:00,171,0
20.01.2020,08:00,286,0
20.01.2020,09:00,307,0
20.01.2020,10:00,318,0
20.01.2020,11:00,312,0
20.01.2020,12:00,312,0
20.01.2020,13:00,313,0
20.01.2020,14:00,291,0
20.01.2020,15:00,318,0
20.01.2020,16:00,232,0
20.01.2020,17:00,271,0
20.01.2020,18:00,286,0
20.01.2020,19:00,288,0
20.01.2020,20:00,270,0
20.01.2020,21:00,196,0
20.01.2020,22:00,190,0
20.01.2020,23:00,194,0
21.01.2020,00:00,192,0
21.01.2020,01:00,193,0
21.01.2020,02:00,194,0
21.01.2020,03:00,193,0
21.01.2020,04:00,194,0
21.01.2020,05:00,256,0
21.01.2020,06:00,284,0
21.01.2020,07:00,281,0
21.01.2020,08:00,280,0
21.01.2020,09:00,291,0
21.01.2020,10:00,294,0
21.01.2020,11:00,296,0
21.01.2020,12:00,299,0
21.01.2020,13:00,297,0
21.01.2020,14:00,299,0
21.01.2020,15:00,300,0
21.01.2020,16:00,297,0
21.01.2020,17:00,296,0
21.01.2020,18:00,294,0
21.01.2020,19:00,291,0
21.01.2020,20:00,288,0
21.01.2020,21:00,183,0
21.01.2020,22:00,177,0
21.01.2020,23:00,193,0
22.01.2020,00:00,193,0
22.01.2020,01:00,189,0
22.01.2020,02:00,190,0
22.01.2020,03:00,189,0
22.01.2020,04:00,215,0
22.01.2020,05:00,289,0
22.01.2020,06:00,287,0
22.01.2020,07:00,292,0
22.01.2020,08:00,290,0
22.01.2020,09:00,291,13
22.01.2020,10:00,266,166
22.01.2020,11:00,160,233
22.01.2020,12:00,151,261
22.01.2020,13:00,164,264
22.01.2020,14:00,237,286
22.01.2020,15:00,326,331
22.01.2020,16:00,314,370
22.01.2020,17:00,317,372
22.01.2020,18:00,311,370
22.01.2020,19:00,320,362
22.01.2020,20:00,326,356
22.01.2020,21:00,316,347
22.01.2020,22:00,282,315
22.01.2020,23:00,233,264
23.01.2020,00:00,202,231
23.01.2020,01:00,198,225
23.01.2020,02:00,198,224
23.01.2020,03:00,196,225
23.01.2020,04:00,197,224
23.01.2020,05:00,240,293
23.01.2020,06:00,298,369
23.01.2020,07:00,305,389
23.01.2020,08:00,307,389
23.01.2020,09:00,316,388
23.01.2020,10:00,308,388
23.01.2020,11:00,309,388
23.01.2020,12:00,307,389
23.01.2020,13:00,309,389
23.01.2020,14:00,314,381
23.01.2020,15:00,308,386
23.01.2020,16:00,311,383
23.01.2020,17:00,311,383
23.01.2020,18:00,311,381
23.01.2020,19:00,313,382
23.01.2020,20:00,314,381
23.01.2020,21:00,314,373
23.01.2020,22:00,232,260
23.01.2020,23:00,197,226
24.01.2020,00:00,198,224
24.01.2020,01:00,196,225
24.01.2020,02:00,197,224
24.01.2020,03:00,197,223
24.01.2020,04:00,197,225
24.01.2020,05:00,200,229
24.01.2020,06:00,239,261
24.01.2020,07:00,262,305
24.01.2020,08:00,303,381
24.01.2020,09:00,310,389
24.01.2020,10:00,313,386
24.01.2020,11:00,335,335
24.01.2020,12:00,132,329
24.01.2020,13:00,0,354
24.01.2020,14:00,0,353
24.01.2020,15:00,0,338
24.01.2020,16:00,0,339
24.01.2020,17:00,0,337
24.01.2020,18:00,0,335
24.01.2020,19:00,0,331
24.01.2020,20:00,0,309
24.01.2020,21:00,0,252
24.01.2020,22:00,0,222
