Datum,Uhrzeit,Generation_DE KKI 2[MW]
27.01.2020,14:00,1411
27.01.2020,15:00,1409
27.01.2020,16:00,1410
27.01.2020,17:00,1410
27.01.2020,18:00,1410
27.01.2020,19:00,1410
27.01.2020,20:00,1416
27.01.2020,21:00,1391
27.01.2020,22:00,1405
27.01.2020,23:00,1389
28.01.2020,00:00,1396
28.01.2020,01:00,1351
28.01.2020,02:00,1338
28.01.2020,03:00,1345
28.01.2020,04:00,1323
28.01.2020,05:00,1350
28.01.2020,06:00,1407
28.01.2020,07:00,1408
28.01.2020,08:00,1409
28.01.2020,09:00,1412
28.01.2020,10:00,1411
28.01.2020,11:00,1409
28.01.2020,12:00,1407
28.01.2020,13:00,1394
28.01.2020,14:00,1380
28.01.2020,15:00,1411
28.01.2020,16:00,1411
28.01.2020,17:00,1417
28.01.2020,18:00,1417
28.01.2020,19:00,1416
28.01.2020,20:00,1417
28.01.2020,21:00,1416
28.01.2020,22:00,1417
28.01.2020,23:00,1419
29.01.2020,00:00,1419
29.01.2020,01:00,1409
29.01.2020,02:00,1420
29.01.2020,03:00,1419
29.01.2020,04:00,1415
29.01.2020,05:00,1392
29.01.2020,06:00,1399
29.01.2020,07:00,1397
29.01.2020,08:00,1404
29.01.2020,09:00,1420
29.01.2020,10:00,1420
29.01.2020,11:00,1420
29.01.2020,12:00,1417
29.01.2020,13:00,1416
29.01.2020,14:00,1416
29.01.2020,15:00,1413
29.01.2020,16:00,1417
29.01.2020,17:00,1417
29.01.2020,18:00,1419
29.01.2020,19:00,1416
29.01.2020,20:00,1393
29.01.2020,21:00,1364
29.01.2020,22:00,1372
29.01.2020,23:00,1356
30.01.2020,00:00,1339
30.01.2020,01:00,1356
30.01.2020,02:00,1409
30.01.2020,03:00,1404
30.01.2020,04:00,1359
30.01.2020,05:00,1407
30.01.2020,06:00,1418
30.01.2020,07:00,1416
30.01.2020,08:00,1416
30.01.2020,09:00,1415
30.01.2020,10:00,1408
30.01.2020,11:00,1410
30.01.2020,12:00,1386
30.01.2020,13:00,1375
30.01.2020,14:00,1412
30.01.2020,15:00,1412
30.01.2020,16:00,1411
30.01.2020,17:00,1414
30.01.2020,18:00,1415
30.01.2020,19:00,1408
30.01.2020,20:00,1301
30.01.2020,21:00,1276
30.01.2020,22:00,1299
30.01.2020,23:00,1308
31.01.2020,00:00,1267
31.01.2020,01:00,1200
31.01.2020,02:00,1040
31.01.2020,03:00,983
31.01.2020,04:00,1154
31.01.2020,05:00,1306
31.01.2020,06:00,1355
31.01.2020,07:00,1392
31.01.2020,08:00,1398
31.01.2020,09:00,1393
31.01.2020,10:00,1387
31.01.2020,11:00,1357
31.01.2020,12:00,1326
31.01.2020,13:00,1328
31.01.2020,14:00,1339
31.01.2020,15:00,1393
31.01.2020,16:00,1394
31.01.2020,17:00,1393
31.01.2020,18:00,1380
31.01.2020,19:00,1361
31.01.2020,20:00,1362
31.01.2020,21:00,1370
31.01.2020,22:00,1337
31.01.2020,23:00,1248
01.02.2020,00:00,1189
01.02.2020,01:00,1157
01.02.2020,02:00,1199
01.02.2020,03:00,1055
01.02.2020,04:00,1075
01.02.2020,05:00,1109
01.02.2020,06:00,1126
01.02.2020,07:00,1240
01.02.2020,08:00,1295
01.02.2020,09:00,1289
01.02.2020,10:00,1244
01.02.2020,11:00,1169
01.02.2020,12:00,1287
01.02.2020,13:00,1283
01.02.2020,14:00,1233
01.02.2020,15:00,1311
01.02.2020,16:00,1287
01.02.2020,17:00,1295
01.02.2020,18:00,1305
01.02.2020,19:00,1271
01.02.2020,20:00,1165
01.02.2020,21:00,1060
01.02.2020,22:00,1027
01.02.2020,23:00,1019
02.02.2020,00:00,1034
02.02.2020,01:00,967
02.02.2020,02:00,1034
02.02.2020,03:00,1048
02.02.2020,04:00,983
02.02.2020,05:00,962
02.02.2020,06:00,974
02.02.2020,07:00,1200
02.02.2020,08:00,1286
02.02.2020,09:00,1375
