Datum,Uhrzeit,Generation_DE Klingenberg[MW]
26.01.2020,00:00,134
26.01.2020,01:00,134
26.01.2020,02:00,133
26.01.2020,03:00,140
26.01.2020,04:00,142
26.01.2020,05:00,144
26.01.2020,06:00,151
26.01.2020,07:00,151
26.01.2020,08:00,152
26.01.2020,09:00,153
26.01.2020,10:00,153
26.01.2020,11:00,153
26.01.2020,12:00,153
26.01.2020,13:00,153
26.01.2020,14:00,153
26.01.2020,15:00,153
26.01.2020,16:00,153
26.01.2020,17:00,153
26.01.2020,18:00,153
26.01.2020,19:00,153
26.01.2020,20:00,153
26.01.2020,21:00,153
26.01.2020,22:00,152
26.01.2020,23:00,150
27.01.2020,00:00,132
27.01.2020,01:00,131
27.01.2020,02:00,132
27.01.2020,03:00,133
27.01.2020,04:00,134
27.01.2020,05:00,134
27.01.2020,06:00,134
27.01.2020,07:00,134
27.01.2020,08:00,134
27.01.2020,09:00,134
27.01.2020,10:00,134
27.01.2020,11:00,133
27.01.2020,12:00,133
27.01.2020,13:00,134
27.01.2020,14:00,134
27.01.2020,15:00,134
27.01.2020,16:00,134
27.01.2020,17:00,134
27.01.2020,18:00,134
27.01.2020,19:00,134
27.01.2020,20:00,134
27.01.2020,21:00,134
27.01.2020,22:00,134
27.01.2020,23:00,129
28.01.2020,00:00,128
28.01.2020,01:00,128
28.01.2020,02:00,128
28.01.2020,03:00,128
28.01.2020,04:00,128
28.01.2020,05:00,129
28.01.2020,06:00,129
28.01.2020,07:00,128
28.01.2020,08:00,128
28.01.2020,09:00,129
28.01.2020,10:00,128
28.01.2020,11:00,129
28.01.2020,12:00,129
28.01.2020,13:00,129
28.01.2020,14:00,129
28.01.2020,15:00,129
28.01.2020,16:00,129
28.01.2020,17:00,128
28.01.2020,18:00,128
28.01.2020,19:00,129
28.01.2020,20:00,128
28.01.2020,21:00,128
28.01.2020,22:00,129
28.01.2020,23:00,129
29.01.2020,00:00,129
29.01.2020,01:00,133
29.01.2020,02:00,133
29.01.2020,03:00,133
29.01.2020,04:00,133
29.01.2020,05:00,134
29.01.2020,06:00,134
29.01.2020,07:00,134
29.01.2020,08:00,134
29.01.2020,09:00,134
29.01.2020,10:00,134
29.01.2020,11:00,134
29.01.2020,12:00,134
29.01.2020,13:00,134
29.01.2020,14:00,134
29.01.2020,15:00,134
29.01.2020,16:00,134
29.01.2020,17:00,134
29.01.2020,18:00,134
29.01.2020,19:00,134
29.01.2020,20:00,134
29.01.2020,21:00,134
29.01.2020,22:00,134
29.01.2020,23:00,134
30.01.2020,00:00,134
30.01.2020,01:00,134
30.01.2020,02:00,134
30.01.2020,03:00,134
30.01.2020,04:00,134
30.01.2020,05:00,134
30.01.2020,06:00,134
30.01.2020,07:00,134
30.01.2020,08:00,134
30.01.2020,09:00,134
30.01.2020,10:00,134
30.01.2020,11:00,134
30.01.2020,12:00,134
30.01.2020,13:00,134
30.01.2020,14:00,134
30.01.2020,15:00,134
30.01.2020,16:00,134
30.01.2020,17:00,134
30.01.2020,18:00,134
30.01.2020,19:00,134
30.01.2020,20:00,134
30.01.2020,21:00,134
30.01.2020,22:00,134
30.01.2020,23:00,116
31.01.2020,00:00,96
31.01.2020,01:00,95
31.01.2020,02:00,95
31.01.2020,03:00,95
31.01.2020,04:00,95
31.01.2020,05:00,103
31.01.2020,06:00,115
31.01.2020,07:00,109
31.01.2020,08:00,95
31.01.2020,09:00,91
31.01.2020,10:00,78
31.01.2020,11:00,77
31.01.2020,12:00,77
31.01.2020,13:00,77
31.01.2020,14:00,77
31.01.2020,15:00,77
31.01.2020,16:00,77
31.01.2020,17:00,78
31.01.2020,18:00,86
31.01.2020,19:00,94
31.01.2020,20:00,96
31.01.2020,21:00,108
31.01.2020,22:00,110
31.01.2020,23:00,110
01.02.2020,00:00,92
01.02.2020,01:00,81
01.02.2020,02:00,72
01.02.2020,03:00,71
01.02.2020,04:00,71
01.02.2020,05:00,72
01.02.2020,06:00,73
01.02.2020,07:00,72
01.02.2020,08:00,76
01.02.2020,09:00,92
01.02.2020,10:00,100
01.02.2020,11:00,100
01.02.2020,12:00,101
01.02.2020,13:00,100
01.02.2020,14:00,100
01.02.2020,15:00,101
01.02.2020,16:00,100
01.02.2020,17:00,100
01.02.2020,18:00,100
01.02.2020,19:00,99
01.02.2020,20:00,86
01.02.2020,21:00,86
01.02.2020,22:00,86
01.02.2020,23:00,75
02.02.2020,00:00,74
02.02.2020,01:00,73
02.02.2020,02:00,74
02.02.2020,03:00,73
02.02.2020,04:00,73
02.02.2020,05:00,73
02.02.2020,06:00,73
02.02.2020,07:00,80
02.02.2020,08:00,94
02.02.2020,09:00,110
02.02.2020,10:00,104
02.02.2020,11:00,101
02.02.2020,12:00,115
02.02.2020,13:00,120
02.02.2020,14:00,120
02.02.2020,15:00,120
02.02.2020,16:00,120
02.02.2020,17:00,120
02.02.2020,18:00,119
02.02.2020,19:00,120
02.02.2020,20:00,120
02.02.2020,21:00,120
02.02.2020,22:00,120
02.02.2020,23:00,120
03.02.2020,00:00,120
03.02.2020,01:00,120
03.02.2020,02:00,120
03.02.2020,03:00,113
03.02.2020,04:00,95
03.02.2020,05:00,91
03.02.2020,06:00,90
03.02.2020,07:00,90
03.02.2020,08:00,90
03.02.2020,09:00,90
03.02.2020,10:00,90
03.02.2020,11:00,90
03.02.2020,12:00,90
03.02.2020,13:00,90
03.02.2020,14:00,90
03.02.2020,15:00,91
03.02.2020,16:00,91
03.02.2020,17:00,91
03.02.2020,18:00,89
03.02.2020,19:00,71
03.02.2020,20:00,71
03.02.2020,21:00,71
03.02.2020,22:00,72
03.02.2020,23:00,73
04.02.2020,00:00,73
04.02.2020,01:00,74
04.02.2020,02:00,74
04.02.2020,03:00,74
04.02.2020,04:00,75
04.02.2020,05:00,90
04.02.2020,06:00,108
04.02.2020,07:00,111
04.02.2020,08:00,110
04.02.2020,09:00,111
04.02.2020,10:00,110
04.02.2020,11:00,101
04.02.2020,12:00,102
04.02.2020,13:00,93
04.02.2020,14:00,91
04.02.2020,15:00,94
04.02.2020,16:00,109
04.02.2020,17:00,129
04.02.2020,18:00,132
04.02.2020,19:00,132
04.02.2020,20:00,133
04.02.2020,21:00,133
04.02.2020,22:00,134
04.02.2020,23:00,135
05.02.2020,00:00,135
05.02.2020,01:00,135
05.02.2020,02:00,134
05.02.2020,03:00,133
05.02.2020,04:00,133
05.02.2020,05:00,133
05.02.2020,06:00,133
05.02.2020,07:00,133
05.02.2020,08:00,133
05.02.2020,09:00,133
05.02.2020,10:00,133
05.02.2020,11:00,134
05.02.2020,12:00,126
05.02.2020,13:00,124
05.02.2020,14:00,114
05.02.2020,15:00,109
05.02.2020,16:00,109
05.02.2020,17:00,109
05.02.2020,18:00,119
05.02.2020,19:00,119
05.02.2020,20:00,119
05.02.2020,21:00,120
05.02.2020,22:00,107
05.02.2020,23:00,102
06.02.2020,00:00,125
06.02.2020,01:00,129
06.02.2020,02:00,129
06.02.2020,03:00,129
06.02.2020,04:00,128
06.02.2020,05:00,129
06.02.2020,06:00,129
06.02.2020,07:00,129
06.02.2020,08:00,129
06.02.2020,09:00,129
06.02.2020,10:00,129
06.02.2020,11:00,129
06.02.2020,12:00,119
06.02.2020,13:00,110
06.02.2020,14:00,109
06.02.2020,15:00,109
06.02.2020,16:00,109
06.02.2020,17:00,110
06.02.2020,18:00,109
06.02.2020,19:00,109
06.02.2020,20:00,109
06.02.2020,21:00,114
06.02.2020,22:00,129
06.02.2020,23:00,129
07.02.2020,00:00,129
07.02.2020,01:00,129
07.02.2020,02:00,125
07.02.2020,03:00,122
07.02.2020,04:00,112
07.02.2020,05:00,91
07.02.2020,06:00,91
07.02.2020,07:00,91
07.02.2020,08:00,91
07.02.2020,09:00,91
07.02.2020,10:00,93
07.02.2020,11:00,111
07.02.2020,12:00,124
07.02.2020,13:00,124
07.02.2020,14:00,123
07.02.2020,15:00,119
07.02.2020,16:00,114
07.02.2020,17:00,114
07.02.2020,18:00,115
07.02.2020,19:00,115
07.02.2020,20:00,115
07.02.2020,21:00,120
07.02.2020,22:00,129
07.02.2020,23:00,127
08.02.2020,00:00,119
08.02.2020,01:00,119
08.02.2020,02:00,119
08.02.2020,03:00,118
08.02.2020,04:00,128
08.02.2020,05:00,129
08.02.2020,06:00,130
08.02.2020,07:00,129
08.02.2020,08:00,129
08.02.2020,09:00,129
08.02.2020,10:00,129
08.02.2020,11:00,121
08.02.2020,12:00,110
08.02.2020,13:00,110
08.02.2020,14:00,96
08.02.2020,15:00,96
08.02.2020,16:00,96
08.02.2020,17:00,106
08.02.2020,18:00,114
08.02.2020,19:00,114
08.02.2020,20:00,114
08.02.2020,21:00,114
08.02.2020,22:00,114
08.02.2020,23:00,114
09.02.2020,00:00,114
09.02.2020,01:00,114
09.02.2020,02:00,120
09.02.2020,03:00,119
09.02.2020,04:00,105
09.02.2020,05:00,96
09.02.2020,06:00,67
09.02.2020,07:00,57
09.02.2020,08:00,50
09.02.2020,09:00,51
09.02.2020,10:00,50
09.02.2020,11:00,50
09.02.2020,12:00,49
09.02.2020,13:00,50
09.02.2020,14:00,50
09.02.2020,15:00,50
09.02.2020,16:00,49
09.02.2020,17:00,49
09.02.2020,18:00,49
09.02.2020,19:00,49
09.02.2020,20:00,49
09.02.2020,21:00,50
09.02.2020,22:00,50
09.02.2020,23:00,50
10.02.2020,00:00,50
10.02.2020,01:00,50
10.02.2020,02:00,50
10.02.2020,03:00,50
10.02.2020,04:00,50
10.02.2020,05:00,67
10.02.2020,06:00,125
10.02.2020,07:00,133
10.02.2020,08:00,133
10.02.2020,09:00,132
10.02.2020,10:00,119
10.02.2020,11:00,104
10.02.2020,12:00,96
10.02.2020,13:00,96
10.02.2020,14:00,96
10.02.2020,15:00,103
10.02.2020,16:00,114
10.02.2020,17:00,123
10.02.2020,18:00,125
10.02.2020,19:00,125
10.02.2020,20:00,120
10.02.2020,21:00,119
10.02.2020,22:00,101
10.02.2020,23:00,96
11.02.2020,00:00,78
11.02.2020,01:00,78
11.02.2020,02:00,78
11.02.2020,03:00,78
11.02.2020,04:00,78
11.02.2020,05:00,88
11.02.2020,06:00,111
11.02.2020,07:00,124
11.02.2020,08:00,124
11.02.2020,09:00,125
11.02.2020,10:00,125
11.02.2020,11:00,125
11.02.2020,12:00,124
11.02.2020,13:00,125
11.02.2020,14:00,120
11.02.2020,15:00,99
11.02.2020,16:00,105
11.02.2020,17:00,113
11.02.2020,18:00,115
11.02.2020,19:00,116
11.02.2020,20:00,116
11.02.2020,21:00,115
11.02.2020,22:00,101
11.02.2020,23:00,101
12.02.2020,00:00,119
12.02.2020,01:00,113
12.02.2020,02:00,96
12.02.2020,03:00,97
12.02.2020,04:00,114
12.02.2020,05:00,128
12.02.2020,06:00,132
12.02.2020,07:00,133
12.02.2020,08:00,133
12.02.2020,09:00,124
12.02.2020,10:00,123
12.02.2020,11:00,123
12.02.2020,12:00,104
12.02.2020,13:00,92
12.02.2020,14:00,91
12.02.2020,15:00,91
12.02.2020,16:00,94
12.02.2020,17:00,109
12.02.2020,18:00,119
12.02.2020,19:00,119
12.02.2020,20:00,118
12.02.2020,21:00,119
12.02.2020,22:00,119
12.02.2020,23:00,119
13.02.2020,00:00,110
13.02.2020,01:00,110
13.02.2020,02:00,110
13.02.2020,03:00,110
13.02.2020,04:00,110
13.02.2020,05:00,119
13.02.2020,06:00,126
13.02.2020,07:00,128
13.02.2020,08:00,128
13.02.2020,09:00,128
13.02.2020,10:00,129
13.02.2020,11:00,116
13.02.2020,12:00,89
13.02.2020,13:00,82
13.02.2020,14:00,82
13.02.2020,15:00,82
13.02.2020,16:00,85
13.02.2020,17:00,91
13.02.2020,18:00,103
13.02.2020,19:00,119
13.02.2020,20:00,131
13.02.2020,21:00,133
13.02.2020,22:00,133
13.02.2020,23:00,127
14.02.2020,00:00,118
14.02.2020,01:00,113
14.02.2020,02:00,113
14.02.2020,03:00,113
14.02.2020,04:00,113
14.02.2020,05:00,114
14.02.2020,06:00,128
14.02.2020,07:00,133
14.02.2020,08:00,133
14.02.2020,09:00,133
14.02.2020,10:00,133
