Datum,Uhrzeit,Generation_DE [MW]
05.02.2020,13:00,163
05.02.2020,14:00,153
05.02.2020,15:00,156
05.02.2020,16:00,156
05.02.2020,17:00,157
05.02.2020,18:00,157
05.02.2020,19:00,157
05.02.2020,20:00,157
05.02.2020,21:00,157
05.02.2020,22:00,157
05.02.2020,23:00,157
06.02.2020,00:00,157
06.02.2020,01:00,157
06.02.2020,02:00,157
06.02.2020,03:00,157
06.02.2020,04:00,157
06.02.2020,05:00,162
06.02.2020,06:00,167
06.02.2020,07:00,170
06.02.2020,08:00,169
06.02.2020,09:00,171
06.02.2020,10:00,170
06.02.2020,11:00,170
06.02.2020,12:00,169
06.02.2020,13:00,169
06.02.2020,14:00,154
06.02.2020,15:00,153
06.02.2020,16:00,166
06.02.2020,17:00,168
06.02.2020,18:00,168
06.02.2020,19:00,167
06.02.2020,20:00,169
06.02.2020,21:00,169
06.02.2020,22:00,169
06.02.2020,23:00,160
07.02.2020,00:00,155
07.02.2020,01:00,155
07.02.2020,02:00,155
07.02.2020,03:00,156
07.02.2020,04:00,161
07.02.2020,05:00,167
07.02.2020,06:00,169
07.02.2020,07:00,168
07.02.2020,08:00,168
07.02.2020,09:00,156
07.02.2020,10:00,154
07.02.2020,11:00,166
07.02.2020,12:00,167
07.02.2020,13:00,167
07.02.2020,14:00,167
07.02.2020,15:00,167
07.02.2020,16:00,167
07.02.2020,17:00,168
07.02.2020,18:00,168
07.02.2020,19:00,168
07.02.2020,20:00,168
07.02.2020,21:00,160
07.02.2020,22:00,153
07.02.2020,23:00,150
08.02.2020,00:00,130
08.02.2020,01:00,105
08.02.2020,02:00,104
08.02.2020,03:00,104
08.02.2020,04:00,119
08.02.2020,05:00,145
08.02.2020,06:00,161
08.02.2020,07:00,170
08.02.2020,08:00,168
08.02.2020,09:00,167
08.02.2020,10:00,159
08.02.2020,11:00,153
08.02.2020,12:00,152
08.02.2020,13:00,151
08.02.2020,14:00,151
08.02.2020,15:00,153
08.02.2020,16:00,160
08.02.2020,17:00,161
08.02.2020,18:00,150
08.02.2020,19:00,150
08.02.2020,20:00,138
08.02.2020,21:00,108
08.02.2020,22:00,74
08.02.2020,23:00,57
09.02.2020,00:00,43
09.02.2020,01:00,34
09.02.2020,02:00,26
09.02.2020,03:00,26
09.02.2020,04:00,26
09.02.2020,05:00,26
09.02.2020,06:00,26
09.02.2020,07:00,26
09.02.2020,08:00,26
09.02.2020,09:00,26
09.02.2020,10:00,26
09.02.2020,11:00,26
09.02.2020,12:00,26
09.02.2020,13:00,26
09.02.2020,14:00,26
09.02.2020,15:00,26
09.02.2020,16:00,26
09.02.2020,17:00,26
09.02.2020,18:00,26
09.02.2020,19:00,25
09.02.2020,20:00,26
09.02.2020,21:00,26
09.02.2020,22:00,26
09.02.2020,23:00,26
10.02.2020,00:00,26
10.02.2020,01:00,26
10.02.2020,02:00,26
10.02.2020,03:00,26
10.02.2020,04:00,25
10.02.2020,05:00,26
10.02.2020,06:00,33
10.02.2020,07:00,47
10.02.2020,08:00,57
10.02.2020,09:00,58
10.02.2020,10:00,58
10.02.2020,11:00,59
10.02.2020,12:00,59
10.02.2020,13:00,58
10.02.2020,14:00,59
10.02.2020,15:00,56
10.02.2020,16:00,58
10.02.2020,17:00,60
10.02.2020,18:00,60
10.02.2020,19:00,60
10.02.2020,20:00,60
10.02.2020,21:00,53
10.02.2020,22:00,35
10.02.2020,23:00,27
11.02.2020,00:00,26
11.02.2020,01:00,26
11.02.2020,02:00,26
11.02.2020,03:00,26
11.02.2020,04:00,26
11.02.2020,05:00,26
11.02.2020,06:00,33
11.02.2020,07:00,52
11.02.2020,08:00,60
11.02.2020,09:00,60
11.02.2020,10:00,60
11.02.2020,11:00,60
11.02.2020,12:00,57
11.02.2020,13:00,43
11.02.2020,14:00,53
11.02.2020,15:00,60
11.02.2020,16:00,60
11.02.2020,17:00,60
11.02.2020,18:00,61
11.02.2020,19:00,61
11.02.2020,20:00,61
11.02.2020,21:00,57
11.02.2020,22:00,45
11.02.2020,23:00,37
12.02.2020,00:00,27
12.02.2020,01:00,26
12.02.2020,02:00,26
12.02.2020,03:00,27
12.02.2020,04:00,38
12.02.2020,05:00,53
12.02.2020,06:00,61
12.02.2020,07:00,61
12.02.2020,08:00,61
12.02.2020,09:00,61
12.02.2020,10:00,60
12.02.2020,11:00,60
12.02.2020,12:00,61
12.02.2020,13:00,60
12.02.2020,14:00,60
12.02.2020,15:00,60
12.02.2020,16:00,60
12.02.2020,17:00,60
12.02.2020,18:00,61
12.02.2020,19:00,61
12.02.2020,20:00,60
12.02.2020,21:00,60
12.02.2020,22:00,60
12.02.2020,23:00,53
13.02.2020,00:00,40
13.02.2020,01:00,33
13.02.2020,02:00,26
13.02.2020,03:00,32
13.02.2020,04:00,41
13.02.2020,05:00,52
13.02.2020,06:00,64
13.02.2020,07:00,84
13.02.2020,08:00,88
13.02.2020,09:00,100
13.02.2020,10:00,102
13.02.2020,11:00,111
13.02.2020,12:00,111
13.02.2020,13:00,101
13.02.2020,14:00,103
13.02.2020,15:00,120
13.02.2020,16:00,120
13.02.2020,17:00,120
13.02.2020,18:00,120
13.02.2020,19:00,121
13.02.2020,20:00,121
13.02.2020,21:00,121
13.02.2020,22:00,119
13.02.2020,23:00,113
14.02.2020,00:00,87
14.02.2020,01:00,80
14.02.2020,02:00,80
14.02.2020,03:00,87
14.02.2020,04:00,112
14.02.2020,05:00,123
14.02.2020,06:00,123
14.02.2020,07:00,123
14.02.2020,08:00,122
14.02.2020,09:00,123
14.02.2020,10:00,123
14.02.2020,11:00,122
14.02.2020,12:00,122
