Datum,Uhrzeit,Generation_DE Walsum 10[MW],Generation_DE Walsum 9[MW],Generation_DE Walsum 7[MW]
14.01.2020,21:00,0,102,0
14.01.2020,22:00,0,112,0
14.01.2020,23:00,0,105,0
15.01.2020,00:00,0,86,0
15.01.2020,01:00,0,84,0
15.01.2020,02:00,0,81,0
15.01.2020,03:00,0,81,0
15.01.2020,04:00,0,82,0
15.01.2020,05:00,0,80,0
15.01.2020,06:00,0,81,0
15.01.2020,07:00,0,82,0
15.01.2020,08:00,0,118,0
15.01.2020,09:00,0,127,0
15.01.2020,10:00,0,124,0
15.01.2020,11:00,0,111,0
15.01.2020,12:00,0,109,0
15.01.2020,13:00,0,110,0
15.01.2020,14:00,0,112,0
15.01.2020,15:00,0,117,0
15.01.2020,16:00,104,126,0
15.01.2020,17:00,291,148,0
15.01.2020,18:00,308,158,0
15.01.2020,19:00,307,129,0
15.01.2020,20:00,304,81,0
15.01.2020,21:00,303,78,0
15.01.2020,22:00,302,80,0
15.01.2020,23:00,302,81,0
16.01.2020,00:00,290,78,0
16.01.2020,01:00,289,79,0
16.01.2020,02:00,290,79,0
16.01.2020,03:00,290,79,0
16.01.2020,04:00,291,79,0
16.01.2020,05:00,316,81,0
16.01.2020,06:00,451,120,0
16.01.2020,07:00,655,160,0
16.01.2020,08:00,708,240,0
16.01.2020,09:00,705,304,0
16.01.2020,10:00,702,295,0
16.01.2020,11:00,707,255,0
16.01.2020,12:00,684,166,0
16.01.2020,13:00,530,157,0
16.01.2020,14:00,623,192,0
16.01.2020,15:00,662,241,0
16.01.2020,16:00,668,241,0
16.01.2020,17:00,663,241,0
16.01.2020,18:00,704,222,0
16.01.2020,19:00,709,149,0
16.01.2020,20:00,532,93,0
16.01.2020,21:00,274,79,0
16.01.2020,22:00,190,82,0
16.01.2020,23:00,197,78,0
17.01.2020,00:00,184,77,0
17.01.2020,01:00,184,80,0
17.01.2020,02:00,181,79,0
17.01.2020,03:00,179,81,0
17.01.2020,04:00,182,79,0
17.01.2020,05:00,187,79,0
17.01.2020,06:00,246,105,0
17.01.2020,07:00,564,130,0
17.01.2020,08:00,715,111,0
17.01.2020,09:00,691,84,0
17.01.2020,10:00,653,81,0
17.01.2020,11:00,643,86,0
17.01.2020,12:00,688,98,0
17.01.2020,13:00,661,81,0
17.01.2020,14:00,688,82,0
17.01.2020,15:00,705,85,0
17.01.2020,16:00,710,148,0
17.01.2020,17:00,703,184,0
17.01.2020,18:00,703,194,0
17.01.2020,19:00,646,147,0
17.01.2020,20:00,537,88,0
17.01.2020,21:00,397,81,0
17.01.2020,22:00,289,82,0
17.01.2020,23:00,315,81,0
18.01.2020,00:00,522,83,0
18.01.2020,01:00,536,89,0
18.01.2020,02:00,350,80,0
18.01.2020,03:00,330,79,0
18.01.2020,04:00,72,80,0
18.01.2020,05:00,0,79,0
18.01.2020,06:00,0,81,0
18.01.2020,07:00,0,82,0
18.01.2020,08:00,0,82,0
18.01.2020,09:00,0,87,0
18.01.2020,10:00,0,110,0
18.01.2020,11:00,0,85,0
18.01.2020,12:00,0,81,0
18.01.2020,13:00,0,90,0
18.01.2020,14:00,0,101,0
18.01.2020,15:00,0,111,0
18.01.2020,16:00,0,88,0
18.01.2020,17:00,0,114,0
18.01.2020,18:00,0,190,0
18.01.2020,19:00,0,155,0
18.01.2020,20:00,0,102,0
18.01.2020,21:00,0,82,0
18.01.2020,22:00,0,82,0
18.01.2020,23:00,0,81,0
19.01.2020,00:00,0,81,0
19.01.2020,01:00,0,82,0
19.01.2020,02:00,0,82,0
19.01.2020,03:00,0,86,0
19.01.2020,04:00,0,89,0
19.01.2020,05:00,0,90,0
19.01.2020,06:00,0,93,0
19.01.2020,07:00,0,90,0
19.01.2020,08:00,0,90,0
19.01.2020,09:00,0,95,0
19.01.2020,10:00,0,111,0
19.01.2020,11:00,0,99,0
19.01.2020,12:00,0,108,0
19.01.2020,13:00,0,90,0
19.01.2020,14:00,0,80,0
19.01.2020,15:00,0,82,0
19.01.2020,16:00,0,81,0
19.01.2020,17:00,0,93,0
19.01.2020,18:00,0,104,0
19.01.2020,19:00,0,102,0
19.01.2020,20:00,0,107,0
19.01.2020,21:00,0,95,0
19.01.2020,22:00,0,106,0
19.01.2020,23:00,0,111,0
20.01.2020,00:00,0,112,0
20.01.2020,01:00,0,109,0
20.01.2020,02:00,0,112,0
20.01.2020,03:00,138,108,0
20.01.2020,04:00,279,85,0
20.01.2020,05:00,353,105,0
20.01.2020,06:00,595,270,0
20.01.2020,07:00,709,328,0
20.01.2020,08:00,708,330,0
20.01.2020,09:00,709,333,0
20.01.2020,10:00,712,332,0
20.01.2020,11:00,712,287,0
20.01.2020,12:00,711,326,0
20.01.2020,13:00,519,206,0
20.01.2020,14:00,714,252,0
20.01.2020,15:00,709,300,0
20.01.2020,16:00,711,272,0
20.01.2020,17:00,715,291,0
20.01.2020,18:00,713,310,0
20.01.2020,19:00,714,311,0
20.01.2020,20:00,710,289,0
20.01.2020,21:00,710,201,0
20.01.2020,22:00,666,191,0
20.01.2020,23:00,396,79,0
21.01.2020,00:00,533,86,0
21.01.2020,01:00,397,83,0
21.01.2020,02:00,428,81,0
21.01.2020,03:00,526,81,0
21.01.2020,04:00,524,81,0
21.01.2020,05:00,433,92,0
21.01.2020,06:00,610,200,0
21.01.2020,07:00,708,321,0
21.01.2020,08:00,707,332,0
21.01.2020,09:00,709,331,0
21.01.2020,10:00,711,332,0
21.01.2020,11:00,713,332,0
21.01.2020,12:00,711,284,0
21.01.2020,13:00,711,326,0
21.01.2020,14:00,703,313,0
21.01.2020,15:00,710,333,0
21.01.2020,16:00,711,333,0
21.01.2020,17:00,710,333,0
21.01.2020,18:00,710,303,0
21.01.2020,19:00,713,220,0
21.01.2020,20:00,716,207,0
21.01.2020,21:00,712,169,0
21.01.2020,22:00,623,154,0
21.01.2020,23:00,263,115,0
22.01.2020,00:00,469,153,0
22.01.2020,01:00,514,153,0
22.01.2020,02:00,372,152,0
22.01.2020,03:00,471,152,0
22.01.2020,04:00,482,151,0
22.01.2020,05:00,463,157,0
22.01.2020,06:00,691,250,0
22.01.2020,07:00,713,330,0
22.01.2020,08:00,715,330,0
22.01.2020,09:00,710,330,0
22.01.2020,10:00,707,329,0
22.01.2020,11:00,703,330,0
22.01.2020,12:00,702,330,0
22.01.2020,13:00,709,330,0
22.01.2020,14:00,711,331,0
22.01.2020,15:00,709,329,0
22.01.2020,16:00,710,331,0
22.01.2020,17:00,709,331,0
22.01.2020,18:00,711,330,0
22.01.2020,19:00,712,302,0
22.01.2020,20:00,708,318,0
22.01.2020,21:00,713,291,0
22.01.2020,22:00,716,265,0
22.01.2020,23:00,717,172,0
23.01.2020,00:00,702,129,0
23.01.2020,01:00,693,3,0
23.01.2020,02:00,680,0,0
23.01.2020,03:00,535,0,0
23.01.2020,04:00,553,0,0
23.01.2020,05:00,684,0,0
23.01.2020,06:00,678,0,0
23.01.2020,07:00,688,0,0
23.01.2020,08:00,687,0,0
23.01.2020,09:00,682,0,0
23.01.2020,10:00,676,0,0
23.01.2020,11:00,682,0,0
23.01.2020,12:00,693,0,0
23.01.2020,13:00,695,0,0
23.01.2020,14:00,688,0,0
23.01.2020,15:00,688,0,0
23.01.2020,16:00,684,0,0
23.01.2020,17:00,685,22,0
23.01.2020,18:00,684,131,0
23.01.2020,19:00,704,160,0
23.01.2020,20:00,711,210,0
23.01.2020,21:00,716,208,0
23.01.2020,22:00,713,160,0
23.01.2020,23:00,704,154,0
24.01.2020,00:00,709,168,0
24.01.2020,01:00,656,121,0
24.01.2020,02:00,498,84,0
24.01.2020,03:00,392,84,0
24.01.2020,04:00,544,86,0
24.01.2020,05:00,578,119,0
24.01.2020,06:00,676,233,0
24.01.2020,07:00,694,304,0
24.01.2020,08:00,709,324,0
24.01.2020,09:00,704,329,0
24.01.2020,10:00,709,329,0
24.01.2020,11:00,712,329,0
24.01.2020,12:00,712,331,0
24.01.2020,13:00,711,293,0
24.01.2020,14:00,713,317,0
24.01.2020,15:00,714,288,0
24.01.2020,16:00,717,318,0
24.01.2020,17:00,713,316,0
24.01.2020,18:00,713,278,0
24.01.2020,19:00,708,263,0
24.01.2020,20:00,710,253,0
24.01.2020,21:00,716,187,0
24.01.2020,22:00,623,113,0
24.01.2020,23:00,456,83,0
25.01.2020,00:00,496,85,0
25.01.2020,01:00,474,84,0
25.01.2020,02:00,523,82,0
25.01.2020,03:00,575,82,0
25.01.2020,04:00,523,83,0
25.01.2020,05:00,422,83,0
25.01.2020,06:00,410,86,0
25.01.2020,07:00,620,132,0
25.01.2020,08:00,707,221,0
25.01.2020,09:00,714,242,0
25.01.2020,10:00,714,246,0
25.01.2020,11:00,709,328,0
25.01.2020,12:00,712,332,0
25.01.2020,13:00,709,305,0
25.01.2020,14:00,709,326,0
25.01.2020,15:00,700,331,0
25.01.2020,16:00,718,332,0
25.01.2020,17:00,716,331,0
25.01.2020,18:00,714,330,0
25.01.2020,19:00,711,328,0
25.01.2020,20:00,707,307,0
25.01.2020,21:00,695,217,0
25.01.2020,22:00,594,113,0
25.01.2020,23:00,412,83,0
26.01.2020,00:00,0,83,0
26.01.2020,01:00,0,84,0
26.01.2020,02:00,0,82,0
26.01.2020,03:00,0,81,0
26.01.2020,04:00,0,81,0
26.01.2020,05:00,0,82,0
26.01.2020,06:00,0,82,0
26.01.2020,07:00,0,82,0
26.01.2020,08:00,0,101,0
26.01.2020,09:00,0,133,0
26.01.2020,10:00,0,126,0
26.01.2020,11:00,0,85,0
26.01.2020,12:00,0,81,0
26.01.2020,13:00,0,81,0
26.01.2020,14:00,0,81,0
26.01.2020,15:00,0,95,0
26.01.2020,16:00,0,130,0
26.01.2020,17:00,0,140,0
26.01.2020,18:00,0,225,0
26.01.2020,19:00,0,187,0
26.01.2020,20:00,0,103,0
26.01.2020,21:00,0,80,0
26.01.2020,22:00,0,82,0
26.01.2020,23:00,0,79,0
27.01.2020,00:00,0,79,0
27.01.2020,01:00,0,79,0
27.01.2020,02:00,0,80,0
27.01.2020,03:00,0,80,0
27.01.2020,04:00,0,78,0
27.01.2020,05:00,0,80,0
27.01.2020,06:00,0,80,0
27.01.2020,07:00,0,81,0
27.01.2020,08:00,0,100,0
27.01.2020,09:00,0,94,0
27.01.2020,10:00,0,82,0
27.01.2020,11:00,0,83,0
