Datum,Uhrzeit,Generation_DE G[MW],Generation_DE H[MW],Generation_DE D[MW],Generation_DE E[MW],Generation_DE C[MW],Generation_DE B[MW],Generation_DE F[MW],Generation_DE K[MW],Generation_DE A[MW]
12.01.2020,22:00,317,0,0,0,162,0,0,662,0
12.01.2020,23:00,278,0,0,0,151,0,0,756,0
13.01.2020,00:00,280,0,0,0,150,0,0,489,0
13.01.2020,01:00,281,0,0,0,150,0,0,423,0
13.01.2020,02:00,280,0,0,0,150,0,0,369,0
13.01.2020,03:00,279,0,0,0,150,0,0,471,0
13.01.2020,04:00,284,0,0,0,150,0,0,603,0
13.01.2020,05:00,363,0,0,0,167,0,0,923,0
13.01.2020,06:00,590,0,0,0,228,0,0,931,0
13.01.2020,07:00,631,0,0,0,281,0,0,932,0
13.01.2020,08:00,630,0,0,0,279,0,0,929,0
13.01.2020,09:00,632,0,0,0,279,0,0,936,0
13.01.2020,10:00,637,0,0,0,278,0,0,948,0
13.01.2020,11:00,635,0,0,0,280,0,0,947,0
13.01.2020,12:00,641,0,0,0,279,0,0,947,0
13.01.2020,13:00,637,0,0,0,279,0,0,947,0
13.01.2020,14:00,638,0,0,0,280,0,0,945,0
13.01.2020,15:00,638,0,0,0,279,0,0,944,0
13.01.2020,16:00,637,0,0,0,276,0,0,945,0
13.01.2020,17:00,637,0,0,0,273,0,0,947,0
13.01.2020,18:00,638,0,0,0,279,0,0,946,0
13.01.2020,19:00,611,0,0,0,275,0,0,947,0
13.01.2020,20:00,427,0,0,0,242,0,0,924,0
13.01.2020,21:00,315,0,0,0,156,0,0,925,0
13.01.2020,22:00,321,0,0,0,149,0,0,608,0
13.01.2020,23:00,324,0,0,0,150,0,0,364,0
14.01.2020,00:00,318,0,0,0,150,0,0,391,0
14.01.2020,01:00,303,0,0,0,149,0,0,369,0
14.01.2020,02:00,304,0,0,0,150,0,0,368,0
14.01.2020,03:00,307,0,0,0,150,0,0,369,0
14.01.2020,04:00,307,0,0,0,150,0,0,387,0
14.01.2020,05:00,306,0,0,0,150,0,0,518,0
14.01.2020,06:00,306,0,0,0,150,0,0,771,0
14.01.2020,07:00,316,0,0,0,150,0,0,926,0
14.01.2020,08:00,513,0,0,0,210,0,0,778,0
14.01.2020,09:00,442,0,0,0,220,0,0,752,0
14.01.2020,10:00,334,0,0,0,155,0,0,759,0
14.01.2020,11:00,388,0,0,0,150,0,0,759,0
14.01.2020,12:00,307,0,0,0,150,0,0,778,0
14.01.2020,13:00,313,0,0,0,150,0,0,919,0
14.01.2020,14:00,348,0,0,0,150,0,0,927,0
14.01.2020,15:00,348,0,0,0,150,0,0,927,0
14.01.2020,16:00,504,0,0,0,150,0,0,929,0
14.01.2020,17:00,621,0,0,0,150,0,0,928,0
14.01.2020,18:00,433,0,0,0,150,0,0,927,0
14.01.2020,19:00,449,0,0,0,150,0,0,927,0
14.01.2020,20:00,488,0,0,0,150,0,0,921,0
14.01.2020,21:00,303,0,0,0,150,0,0,563,0
14.01.2020,22:00,305,0,0,0,150,0,0,366,0
14.01.2020,23:00,306,0,0,0,150,0,0,366,0
15.01.2020,00:00,308,0,0,0,150,0,0,367,0
15.01.2020,01:00,307,0,0,0,150,0,0,369,0
15.01.2020,02:00,302,0,0,0,150,0,0,368,0
15.01.2020,03:00,306,0,0,0,150,0,0,367,0
15.01.2020,04:00,308,0,0,0,150,0,0,367,0
15.01.2020,05:00,306,0,0,0,150,0,0,392,0
15.01.2020,06:00,347,0,0,0,162,0,0,774,0
15.01.2020,07:00,594,0,0,0,251,0,0,927,0
15.01.2020,08:00,612,0,0,0,272,0,0,923,0
15.01.2020,09:00,619,0,0,0,272,0,0,922,0
15.01.2020,10:00,589,0,0,0,259,0,0,921,0
