Datum,Uhrzeit,Generation_DE E[MW],Generation_DE D[MW],Generation_DE C[MW],Generation_DE F[MW],Generation_DE B[MW],Generation_DE A[MW]
13.01.2020,10:00,0,493,499,0,465,493
13.01.2020,11:00,0,491,496,0,456,489
13.01.2020,12:00,0,495,500,0,461,494
13.01.2020,13:00,0,493,499,0,465,493
13.01.2020,14:00,0,492,500,0,464,493
13.01.2020,15:00,0,488,499,0,456,455
13.01.2020,16:00,0,439,495,0,451,415
13.01.2020,17:00,0,439,495,0,448,420
13.01.2020,18:00,0,432,483,0,434,471
13.01.2020,19:00,0,437,487,0,432,483
13.01.2020,20:00,0,381,448,0,381,417
13.01.2020,21:00,0,298,324,0,368,306
13.01.2020,22:00,0,299,348,0,382,330
13.01.2020,23:00,0,295,326,0,376,281
14.01.2020,00:00,0,300,305,0,340,161
14.01.2020,01:00,0,298,312,0,344,150
14.01.2020,02:00,0,298,312,0,337,153
14.01.2020,03:00,0,309,312,0,335,153
14.01.2020,04:00,0,295,311,0,357,153
14.01.2020,05:00,0,298,322,0,361,153
14.01.2020,06:00,0,297,310,0,356,154
14.01.2020,07:00,0,305,305,0,361,154
14.01.2020,08:00,0,338,343,0,354,153
14.01.2020,09:00,0,296,344,0,343,153
14.01.2020,10:00,0,117,352,0,345,154
14.01.2020,11:00,0,6,342,0,334,154
14.01.2020,12:00,0,130,337,0,392,163
14.01.2020,13:00,0,159,322,0,362,155
14.01.2020,14:00,0,311,438,0,404,155
14.01.2020,15:00,0,443,483,0,425,205
14.01.2020,16:00,0,312,367,0,366,154
14.01.2020,17:00,0,415,478,0,408,153
14.01.2020,18:00,0,363,425,0,375,155
14.01.2020,19:00,0,299,334,0,361,154
14.01.2020,20:00,0,339,270,0,342,146
14.01.2020,21:00,0,324,164,0,343,148
14.01.2020,22:00,0,320,173,0,333,136
14.01.2020,23:00,0,335,173,0,343,3
15.01.2020,00:00,0,319,174,0,334,0
15.01.2020,01:00,0,331,174,0,322,0
15.01.2020,02:00,0,346,173,0,319,0
15.01.2020,03:00,0,323,165,0,328,0
15.01.2020,04:00,0,322,142,0,324,0
15.01.2020,05:00,0,324,132,0,335,0
15.01.2020,06:00,0,324,261,0,364,75
15.01.2020,07:00,0,361,396,0,367,148
15.01.2020,08:00,0,321,343,0,394,155
15.01.2020,09:00,0,306,349,0,387,155
15.01.2020,10:00,0,299,321,0,365,148
15.01.2020,11:00,0,309,328,0,384,155
