Datum,Uhrzeit,Generation_DE PSS B[MW],Generation_DE PSS C[MW],Generation_DE PSS D[MW],Generation_DE PSS F[MW],Generation_DE PSS E[MW],Generation_DE PSS A[MW]
10.01.2020,11:00,0,0,0,0,0,0
10.01.2020,12:00,0,0,0,0,0,0
10.01.2020,13:00,0,0,0,0,0,0
10.01.2020,14:00,0,0,0,0,0,0
10.01.2020,15:00,0,0,0,0,0,0
10.01.2020,16:00,0,0,0,0,0,0
10.01.2020,17:00,0,137,135,134,138,134
10.01.2020,18:00,0,135,135,135,136,134
10.01.2020,19:00,0,120,120,120,121,120
10.01.2020,20:00,0,32,117,34,32,117
10.01.2020,21:00,0,0,0,0,0,0
10.01.2020,22:00,0,0,0,0,0,0
10.01.2020,23:00,0,0,0,0,0,35
11.01.2020,00:00,0,0,0,0,0,0
11.01.2020,01:00,0,0,0,0,0,0
11.01.2020,02:00,0,0,0,0,0,0
11.01.2020,03:00,0,0,0,0,0,0
11.01.2020,04:00,0,0,0,0,0,0
11.01.2020,05:00,0,0,0,0,0,0
11.01.2020,06:00,0,0,0,0,0,0
11.01.2020,07:00,0,0,0,0,0,0
11.01.2020,08:00,0,0,0,0,0,1
11.01.2020,09:00,0,0,0,0,0,159
11.01.2020,10:00,0,155,156,152,154,156
11.01.2020,11:00,0,0,148,2,0,148
11.01.2020,12:00,0,0,37,0,0,0
11.01.2020,13:00,0,0,0,0,0,0
11.01.2020,14:00,0,0,0,0,0,0
11.01.2020,15:00,0,0,0,0,0,0
11.01.2020,16:00,0,0,0,0,0,0
11.01.2020,17:00,0,154,154,0,149,154
11.01.2020,18:00,0,136,141,133,141,140
11.01.2020,19:00,0,0,101,2,0,96
11.01.2020,20:00,0,0,0,0,0,0
11.01.2020,21:00,0,0,0,0,0,0
11.01.2020,22:00,0,0,0,0,0,0
11.01.2020,23:00,0,0,0,0,0,0
12.01.2020,00:00,0,0,0,0,0,3
12.01.2020,01:00,0,0,0,0,0,21
12.01.2020,02:00,0,0,0,0,0,0
12.01.2020,03:00,0,0,0,0,0,0
12.01.2020,04:00,0,0,0,0,0,0
12.01.2020,05:00,0,0,0,0,0,0
12.01.2020,06:00,0,0,0,0,0,0
12.01.2020,07:00,0,0,0,0,0,0
12.01.2020,08:00,0,0,0,0,0,0
12.01.2020,09:00,0,0,0,0,0,0
12.01.2020,10:00,0,0,0,0,0,0
12.01.2020,11:00,0,0,0,0,0,0
12.01.2020,12:00,0,0,0,0,0,0
12.01.2020,13:00,0,0,0,0,0,0
12.01.2020,14:00,0,0,0,0,0,0
12.01.2020,15:00,0,0,0,0,0,0
12.01.2020,16:00,0,0,0,0,0,23
12.01.2020,17:00,0,0,0,0,0,0
12.01.2020,18:00,0,0,0,0,0,21
12.01.2020,19:00,0,0,0,0,0,0
12.01.2020,20:00,0,0,0,0,0,0
12.01.2020,21:00,0,0,0,0,0,0
12.01.2020,22:00,0,50,0,0,0,0
12.01.2020,23:00,0,0,0,0,0,0
13.01.2020,00:00,0,0,0,0,0,0
13.01.2020,01:00,0,0,0,0,0,0
13.01.2020,02:00,0,0,0,0,0,0
13.01.2020,03:00,0,0,0,0,0,0
13.01.2020,04:00,0,0,0,0,0,0
13.01.2020,05:00,0,0,0,0,0,0
13.01.2020,06:00,0,1,0,0,0,3
13.01.2020,07:00,0,142,71,0,135,142
13.01.2020,08:00,0,173,173,0,174,173
13.01.2020,09:00,0,167,167,0,168,167
13.01.2020,10:00,0,162,162,0,163,162
13.01.2020,11:00,0,3,0,0,2,2
13.01.2020,12:00,0,0,0,0,0,0
13.01.2020,13:00,0,1,0,0,0,2
13.01.2020,14:00,0,150,0,0,0,149
13.01.2020,15:00,0,144,141,0,0,143
13.01.2020,16:00,0,101,101,0,0,101
13.01.2020,17:00,0,101,98,0,0,100
13.01.2020,18:00,0,108,0,0,0,107
13.01.2020,19:00,0,1,0,0,0,0
13.01.2020,20:00,0,0,0,0,10,0
13.01.2020,21:00,0,0,0,0,1,0
13.01.2020,22:00,0,0,0,0,32,19
13.01.2020,23:00,0,0,0,0,0,0
14.01.2020,00:00,0,0,0,0,0,0
14.01.2020,01:00,0,0,0,0,0,0
14.01.2020,02:00,0,0,0,0,0,0
14.01.2020,03:00,0,0,0,0,0,0
14.01.2020,04:00,0,0,0,0,0,0
14.01.2020,05:00,0,0,0,0,0,0
14.01.2020,06:00,0,0,0,0,0,0
14.01.2020,07:00,0,71,0,0,0,0
14.01.2020,08:00,0,0,0,0,0,0
14.01.2020,09:00,0,0,0,0,0,0
14.01.2020,10:00,0,0,0,0,0,0
14.01.2020,11:00,0,0,0,0,0,0
14.01.2020,12:00,0,0,0,0,0,0
14.01.2020,13:00,0,0,0,0,0,2
14.01.2020,14:00,0,2,1,1,1,140
14.01.2020,15:00,0,157,157,157,159,157
14.01.2020,16:00,0,145,146,146,147,145
14.01.2020,17:00,0,145,145,145,146,144
14.01.2020,18:00,0,136,136,136,137,136
14.01.2020,19:00,0,136,136,136,137,135
14.01.2020,20:00,0,128,0,2,37,65
14.01.2020,21:00,0,0,0,0,0,0
14.01.2020,22:00,0,0,0,0,0,0
14.01.2020,23:00,0,0,0,0,0,0
15.01.2020,00:00,0,0,0,0,0,0
15.01.2020,01:00,0,0,0,0,0,0
15.01.2020,02:00,0,0,0,0,0,0
15.01.2020,03:00,0,0,0,0,0,0
15.01.2020,04:00,0,0,0,0,0,0
15.01.2020,05:00,0,0,0,0,0,0
15.01.2020,06:00,0,0,0,0,0,0
15.01.2020,07:00,0,0,0,0,0,0
15.01.2020,08:00,0,8,9,0,0,0
15.01.2020,09:00,0,0,0,0,0,0
15.01.2020,10:00,0,0,0,0,0,0
15.01.2020,11:00,0,0,0,0,0,0
15.01.2020,12:00,0,0,0,0,0,0
15.01.2020,13:00,0,0,0,0,0,0
15.01.2020,14:00,0,0,0,0,0,0
15.01.2020,15:00,0,6,2,0,0,0
15.01.2020,16:00,0,142,143,142,128,2
15.01.2020,17:00,0,149,149,149,151,149
15.01.2020,18:00,0,144,144,144,144,143
15.01.2020,19:00,0,132,132,132,132,131
15.01.2020,20:00,0,1,3,36,2,0
15.01.2020,21:00,0,0,0,0,0,0
15.01.2020,22:00,0,0,0,0,0,0
15.01.2020,23:00,0,0,0,0,0,0
16.01.2020,00:00,0,0,0,0,0,0
16.01.2020,01:00,0,0,0,0,0,0
16.01.2020,02:00,0,0,0,0,0,0
16.01.2020,03:00,0,0,0,0,0,0
16.01.2020,04:00,0,0,0,0,0,0
16.01.2020,05:00,0,0,0,0,0,0
16.01.2020,06:00,0,1,1,0,0,1
16.01.2020,07:00,0,155,156,156,87,155
16.01.2020,08:00,0,121,122,123,123,0
16.01.2020,09:00,0,2,163,163,0,0
16.01.2020,10:00,0,0,164,164,0,0
16.01.2020,11:00,0,0,0,1,0,0
16.01.2020,12:00,0,0,0,0,0,0
16.01.2020,13:00,0,0,0,0,0,0
16.01.2020,14:00,0,33,0,0,0,0
16.01.2020,15:00,0,8,0,0,0,0
16.01.2020,16:00,0,99,1,0,0,1
16.01.2020,17:00,0,128,128,128,127,128
16.01.2020,18:00,0,146,146,146,147,145
16.01.2020,19:00,0,147,148,148,149,145
16.01.2020,20:00,0,0,0,0,0,0
16.01.2020,21:00,0,0,0,0,0,0
16.01.2020,22:00,0,0,0,0,0,0
16.01.2020,23:00,0,0,0,0,0,0
17.01.2020,00:00,0,0,0,0,0,0
17.01.2020,01:00,0,0,0,0,0,0
17.01.2020,02:00,0,0,0,0,0,0
17.01.2020,03:00,0,0,0,0,0,0
17.01.2020,04:00,0,0,0,0,0,0
17.01.2020,05:00,0,0,0,0,0,0
17.01.2020,06:00,0,0,0,0,0,0
17.01.2020,07:00,0,2,0,0,0,0
17.01.2020,08:00,0,156,157,157,154,156
17.01.2020,09:00,0,95,110,111,87,76
17.01.2020,10:00,0,0,0,0,0,0
17.01.2020,11:00,0,0,0,0,0,0
17.01.2020,12:00,0,0,0,0,0,0
17.01.2020,13:00,0,72,0,0,0,0
17.01.2020,14:00,0,159,0,0,0,0
17.01.2020,15:00,0,134,3,0,0,0
17.01.2020,16:00,0,159,159,159,112,123
17.01.2020,17:00,0,157,158,158,159,157
17.01.2020,18:00,0,152,152,152,154,151
17.01.2020,19:00,0,74,77,79,3,3
17.01.2020,20:00,0,0,0,0,0,0
17.01.2020,21:00,0,0,0,0,0,0
17.01.2020,22:00,0,0,0,0,0,0
17.01.2020,23:00,0,0,0,0,0,0
18.01.2020,00:00,0,0,0,0,0,0
18.01.2020,01:00,0,0,0,0,0,0
18.01.2020,02:00,0,0,0,0,0,0
18.01.2020,03:00,0,0,0,0,0,0
18.01.2020,04:00,0,0,0,0,0,0
18.01.2020,05:00,0,0,0,0,0,0
18.01.2020,06:00,0,0,0,0,0,0
18.01.2020,07:00,0,0,0,0,0,0
18.01.2020,08:00,0,0,0,0,0,0
18.01.2020,09:00,0,0,0,0,0,0
18.01.2020,10:00,0,0,0,0,0,0
18.01.2020,11:00,0,0,0,0,0,0
18.01.2020,12:00,0,0,0,0,0,0
18.01.2020,13:00,0,0,0,0,0,0
18.01.2020,14:00,0,0,0,0,0,0
18.01.2020,15:00,0,0,0,0,0,0
18.01.2020,16:00,0,35,32,3,1,1
18.01.2020,17:00,0,160,160,160,160,159
18.01.2020,18:00,0,159,160,160,160,159
18.01.2020,19:00,0,154,155,155,156,154
18.01.2020,20:00,0,156,156,156,157,156
18.01.2020,21:00,0,3,5,113,3,3
18.01.2020,22:00,0,0,0,69,0,0
18.01.2020,23:00,0,0,0,0,0,0
19.01.2020,00:00,0,0,0,0,0,0
19.01.2020,01:00,0,0,0,0,0,0
19.01.2020,02:00,0,0,0,0,0,0
19.01.2020,03:00,0,0,0,0,0,0
19.01.2020,04:00,0,0,0,0,0,0
19.01.2020,05:00,0,0,0,0,0,0
19.01.2020,06:00,0,0,0,0,0,0
19.01.2020,07:00,0,0,0,0,0,0
19.01.2020,08:00,0,0,0,0,0,0
19.01.2020,09:00,0,0,0,0,0,0
19.01.2020,10:00,0,0,0,0,0,0
19.01.2020,11:00,0,0,0,0,0,0
19.01.2020,12:00,0,45,0,0,0,0
19.01.2020,13:00,0,0,0,0,0,0
19.01.2020,14:00,0,0,0,0,0,0
19.01.2020,15:00,0,0,0,0,0,0
19.01.2020,16:00,0,5,0,0,0,0
19.01.2020,17:00,0,0,0,0,0,0
19.01.2020,18:00,0,107,0,0,0,0
19.01.2020,19:00,0,110,0,0,0,0
19.01.2020,20:00,0,0,0,0,0,0
19.01.2020,21:00,0,0,0,0,0,0
19.01.2020,22:00,0,0,0,0,0,0
19.01.2020,23:00,0,0,0,0,0,0
20.01.2020,00:00,0,0,0,0,0,0
20.01.2020,01:00,0,0,0,0,0,0
20.01.2020,02:00,0,0,1,0,0,0
20.01.2020,03:00,0,0,0,0,0,0
20.01.2020,04:00,0,0,0,0,0,0
20.01.2020,05:00,0,0,0,0,0,0
20.01.2020,06:00,0,1,0,0,0,0
20.01.2020,07:00,0,145,143,141,0,12
20.01.2020,08:00,0,166,166,166,0,129
20.01.2020,09:00,0,130,129,130,123,129
20.01.2020,10:00,0,104,104,104,2,2
20.01.2020,11:00,0,1,1,3,0,0
20.01.2020,12:00,0,0,0,0,0,0
20.01.2020,13:00,0,0,0,0,0,0
20.01.2020,14:00,0,0,0,0,0,0
20.01.2020,15:00,0,0,0,0,0,0
20.01.2020,16:00,0,159,160,158,0,153
20.01.2020,17:00,0,155,155,155,0,154
20.01.2020,18:00,0,131,132,132,82,127
20.01.2020,19:00,0,2,101,135,0,0
20.01.2020,20:00,0,0,0,0,0,0
20.01.2020,21:00,0,0,0,0,0,0
20.01.2020,22:00,0,0,0,0,0,0
20.01.2020,23:00,0,0,0,0,0,0
21.01.2020,00:00,0,0,0,0,0,0
21.01.2020,01:00,0,0,0,0,0,0
21.01.2020,02:00,0,0,0,0,0,0
21.01.2020,03:00,0,0,0,0,0,0
21.01.2020,04:00,0,0,0,0,0,0
21.01.2020,05:00,0,0,0,0,0,0
21.01.2020,06:00,0,0,0,0,1,0
21.01.2020,07:00,0,1,1,0,149,0
