Datum,Uhrzeit,Generation_DE Block E GTE1[MW],Generation_DE Block E GTE2[MW],Generation_DE GuD F[MW],Generation_DE AGas0und0Dampfturbinen[MW],Generation_DE Block E[MW]
25.01.2020,20:00,0,0,584,91,0
25.01.2020,21:00,0,0,584,89,0
25.01.2020,22:00,0,0,583,94,0
25.01.2020,23:00,0,0,585,75,0
26.01.2020,00:00,0,0,584,4,0
26.01.2020,01:00,0,0,583,0,0
26.01.2020,02:00,0,0,583,0,0
26.01.2020,03:00,0,0,582,0,0
26.01.2020,04:00,0,0,581,0,0
26.01.2020,05:00,0,0,576,0,0
26.01.2020,06:00,0,0,574,0,0
26.01.2020,07:00,0,0,575,0,0
26.01.2020,08:00,0,0,571,0,0
26.01.2020,09:00,0,0,571,0,0
26.01.2020,10:00,0,0,568,0,0
26.01.2020,11:00,0,0,580,0,0
26.01.2020,12:00,0,0,577,0,0
26.01.2020,13:00,0,0,573,0,0
26.01.2020,14:00,0,0,576,0,0
26.01.2020,15:00,0,0,573,0,0
26.01.2020,16:00,0,0,574,0,0
26.01.2020,17:00,0,0,574,0,0
26.01.2020,18:00,0,0,576,0,0
26.01.2020,19:00,0,0,577,0,0
26.01.2020,20:00,0,0,579,0,0
26.01.2020,21:00,0,0,578,0,0
26.01.2020,22:00,0,0,580,0,0
26.01.2020,23:00,0,0,580,0,0
27.01.2020,00:00,0,0,498,0,0
27.01.2020,01:00,0,0,350,0,0
27.01.2020,02:00,0,0,348,0,0
27.01.2020,03:00,0,0,348,0,0
27.01.2020,04:00,0,0,350,0,0
27.01.2020,05:00,0,0,494,0,0
27.01.2020,06:00,0,0,570,0,0
27.01.2020,07:00,0,0,573,0,0
27.01.2020,08:00,0,0,573,0,0
27.01.2020,09:00,0,0,573,0,0
27.01.2020,10:00,0,0,572,0,0
27.01.2020,11:00,0,0,570,0,0
27.01.2020,12:00,0,0,573,0,0
27.01.2020,13:00,0,0,571,0,0
27.01.2020,14:00,0,0,572,0,0
27.01.2020,15:00,0,0,571,0,0
27.01.2020,16:00,0,0,573,0,0
27.01.2020,17:00,0,0,573,0,0
27.01.2020,18:00,0,0,572,0,0
27.01.2020,19:00,0,0,574,0,0
27.01.2020,20:00,0,0,573,0,0
27.01.2020,21:00,0,0,576,0,0
27.01.2020,22:00,0,0,545,0,0
