Datum,Uhrzeit,Generation_DE KBR[MW]
24.01.2020,23:00,1328
25.01.2020,00:00,1328
25.01.2020,01:00,1328
25.01.2020,02:00,1328
25.01.2020,03:00,1328
25.01.2020,04:00,1328
25.01.2020,05:00,1328
25.01.2020,06:00,1327
25.01.2020,07:00,1327
25.01.2020,08:00,1327
25.01.2020,09:00,1327
25.01.2020,10:00,1327
25.01.2020,11:00,1327
25.01.2020,12:00,1328
25.01.2020,13:00,1328
25.01.2020,14:00,1328
25.01.2020,15:00,1328
25.01.2020,16:00,1328
25.01.2020,17:00,1326
25.01.2020,18:00,1324
25.01.2020,19:00,1324
25.01.2020,20:00,1324
25.01.2020,21:00,1324
25.01.2020,22:00,1324
25.01.2020,23:00,1325
26.01.2020,00:00,1326
26.01.2020,01:00,1327
26.01.2020,02:00,1327
26.01.2020,03:00,1327
26.01.2020,04:00,1327
26.01.2020,05:00,1327
26.01.2020,06:00,1327
26.01.2020,07:00,1326
26.01.2020,08:00,1326
26.01.2020,09:00,1326
26.01.2020,10:00,1326
26.01.2020,11:00,1326
26.01.2020,12:00,1327
26.01.2020,13:00,1327
26.01.2020,14:00,1327
26.01.2020,15:00,1327
26.01.2020,16:00,1327
26.01.2020,17:00,1327
26.01.2020,18:00,1327
26.01.2020,19:00,1327
26.01.2020,20:00,1327
26.01.2020,21:00,1326
26.01.2020,22:00,1327
26.01.2020,23:00,1326
27.01.2020,00:00,1255
27.01.2020,01:00,1248
27.01.2020,02:00,1248
27.01.2020,03:00,1239
27.01.2020,04:00,1223
27.01.2020,05:00,1087
27.01.2020,06:00,1043
27.01.2020,07:00,1043
27.01.2020,08:00,1040
27.01.2020,09:00,1043
27.01.2020,10:00,1046
27.01.2020,11:00,1047
27.01.2020,12:00,1161
27.01.2020,13:00,1317
27.01.2020,14:00,1327
27.01.2020,15:00,1328
27.01.2020,16:00,1329
27.01.2020,17:00,1328
27.01.2020,18:00,1325
27.01.2020,19:00,1325
27.01.2020,20:00,1327
27.01.2020,21:00,1325
27.01.2020,22:00,1326
27.01.2020,23:00,1326
28.01.2020,00:00,1258
28.01.2020,01:00,1183
28.01.2020,02:00,1130
28.01.2020,03:00,1139
28.01.2020,04:00,1118
28.01.2020,05:00,1124
28.01.2020,06:00,1226
28.01.2020,07:00,1279
28.01.2020,08:00,1233
28.01.2020,09:00,1151
28.01.2020,10:00,1093
28.01.2020,11:00,1037
28.01.2020,12:00,979
28.01.2020,13:00,896
28.01.2020,14:00,884
28.01.2020,15:00,884
28.01.2020,16:00,885
28.01.2020,17:00,885
28.01.2020,18:00,882
28.01.2020,19:00,882
28.01.2020,20:00,882
28.01.2020,21:00,883
28.01.2020,22:00,883
28.01.2020,23:00,930
29.01.2020,00:00,1017
29.01.2020,01:00,1029
29.01.2020,02:00,1071
29.01.2020,03:00,1043
