Datum,Uhrzeit,Generation_DE Block 2 Tiefstack[MW],Generation_DE Gas0und0Dampfturbinen Tiefstack[MW]
21.01.2020,12:00,152,0
21.01.2020,13:00,150,0
21.01.2020,14:00,149,0
21.01.2020,15:00,151,0
21.01.2020,16:00,149,0
21.01.2020,17:00,147,0
21.01.2020,18:00,147,0
21.01.2020,19:00,150,0
21.01.2020,20:00,150,0
21.01.2020,21:00,144,0
21.01.2020,22:00,138,0
21.01.2020,23:00,134,0
22.01.2020,00:00,128,0
22.01.2020,01:00,126,0
22.01.2020,02:00,125,0
22.01.2020,03:00,126,0
22.01.2020,04:00,129,0
22.01.2020,05:00,136,0
22.01.2020,06:00,141,0
22.01.2020,07:00,149,0
22.01.2020,08:00,148,0
22.01.2020,09:00,147,0
22.01.2020,10:00,156,0
22.01.2020,11:00,163,0
22.01.2020,12:00,164,0
22.01.2020,13:00,164,0
22.01.2020,14:00,162,0
22.01.2020,15:00,162,0
22.01.2020,16:00,156,0
22.01.2020,17:00,156,0
22.01.2020,18:00,158,0
22.01.2020,19:00,161,0
22.01.2020,20:00,161,0
22.01.2020,21:00,162,0
22.01.2020,22:00,156,0
22.01.2020,23:00,141,0
23.01.2020,00:00,144,0
23.01.2020,01:00,145,0
23.01.2020,02:00,146,0
23.01.2020,03:00,145,0
23.01.2020,04:00,140,0
23.01.2020,05:00,140,0
23.01.2020,06:00,152,0
23.01.2020,07:00,154,0
23.01.2020,08:00,152,0
23.01.2020,09:00,150,0
23.01.2020,10:00,150,0
23.01.2020,11:00,154,0
23.01.2020,12:00,155,0
23.01.2020,13:00,155,0
23.01.2020,14:00,152,0
23.01.2020,15:00,152,0
23.01.2020,16:00,152,0
23.01.2020,17:00,152,0
23.01.2020,18:00,152,0
23.01.2020,19:00,151,0
23.01.2020,20:00,154,0
23.01.2020,21:00,150,0
23.01.2020,22:00,153,0
23.01.2020,23:00,147,0
24.01.2020,00:00,144,0
24.01.2020,01:00,143,0
24.01.2020,02:00,143,0
24.01.2020,03:00,145,0
24.01.2020,04:00,144,0
24.01.2020,05:00,143,0
24.01.2020,06:00,144,0
24.01.2020,07:00,144,0
24.01.2020,08:00,144,0
24.01.2020,09:00,145,0
24.01.2020,10:00,145,0
24.01.2020,11:00,144,0
24.01.2020,12:00,144,0
24.01.2020,13:00,144,0
24.01.2020,14:00,145,0
24.01.2020,15:00,146,0
24.01.2020,16:00,145,0
24.01.2020,17:00,145,0
24.01.2020,18:00,145,0
24.01.2020,19:00,144,0
24.01.2020,20:00,143,0
24.01.2020,21:00,148,0
24.01.2020,22:00,155,0
24.01.2020,23:00,146,0
25.01.2020,00:00,146,0
25.01.2020,01:00,146,0
25.01.2020,02:00,138,0
25.01.2020,03:00,138,0
25.01.2020,04:00,143,0
25.01.2020,05:00,141,0
25.01.2020,06:00,134,0
25.01.2020,07:00,143,0
25.01.2020,08:00,147,0
25.01.2020,09:00,146,0
25.01.2020,10:00,146,0
25.01.2020,11:00,145,0
25.01.2020,12:00,145,0
25.01.2020,13:00,146,0
25.01.2020,14:00,146,0
25.01.2020,15:00,145,0
25.01.2020,16:00,146,0
25.01.2020,17:00,146,0
25.01.2020,18:00,146,0
25.01.2020,19:00,146,0
25.01.2020,20:00,150,0
25.01.2020,21:00,149,0
25.01.2020,22:00,146,0
25.01.2020,23:00,147,0
26.01.2020,00:00,148,0
26.01.2020,01:00,136,0
26.01.2020,02:00,131,0
26.01.2020,03:00,123,0
26.01.2020,04:00,135,0
26.01.2020,05:00,134,0
26.01.2020,06:00,136,0
26.01.2020,07:00,144,0
26.01.2020,08:00,145,0
26.01.2020,09:00,147,0
