Datum,Uhrzeit,Generation_DE KKE[MW]
22.01.2020,02:00,1356
22.01.2020,03:00,1357
22.01.2020,04:00,1356
22.01.2020,05:00,1355
22.01.2020,06:00,1354
22.01.2020,07:00,1355
22.01.2020,08:00,1357
22.01.2020,09:00,1354
22.01.2020,10:00,1356
22.01.2020,11:00,1358
22.01.2020,12:00,1353
22.01.2020,13:00,1353
22.01.2020,14:00,1352
22.01.2020,15:00,1353
22.01.2020,16:00,1356
22.01.2020,17:00,1353
22.01.2020,18:00,1352
22.01.2020,19:00,1350
22.01.2020,20:00,1352
22.01.2020,21:00,1352
22.01.2020,22:00,1353
22.01.2020,23:00,1354
23.01.2020,00:00,1354
23.01.2020,01:00,1355
23.01.2020,02:00,1354
23.01.2020,03:00,1354
23.01.2020,04:00,1353
23.01.2020,05:00,1353
23.01.2020,06:00,1354
23.01.2020,07:00,1354
23.01.2020,08:00,1356
23.01.2020,09:00,1357
23.01.2020,10:00,1356
23.01.2020,11:00,1356
23.01.2020,12:00,1356
23.01.2020,13:00,1356
23.01.2020,14:00,1355
23.01.2020,15:00,1354
23.01.2020,16:00,1356
23.01.2020,17:00,1356
23.01.2020,18:00,1356
23.01.2020,19:00,1356
23.01.2020,20:00,1357
23.01.2020,21:00,1357
23.01.2020,22:00,1358
23.01.2020,23:00,1358
24.01.2020,00:00,1358
24.01.2020,01:00,1358
24.01.2020,02:00,1358
24.01.2020,03:00,1358
24.01.2020,04:00,1358
24.01.2020,05:00,1359
24.01.2020,06:00,1358
24.01.2020,07:00,1357
24.01.2020,08:00,1358
24.01.2020,09:00,1356
24.01.2020,10:00,1355
24.01.2020,11:00,1356
24.01.2020,12:00,1356
24.01.2020,13:00,1356
24.01.2020,14:00,1358
24.01.2020,15:00,1357
24.01.2020,16:00,1357
24.01.2020,17:00,1356
24.01.2020,18:00,1357
24.01.2020,19:00,1357
24.01.2020,20:00,1357
24.01.2020,21:00,1358
24.01.2020,22:00,1356
24.01.2020,23:00,1356
25.01.2020,00:00,1357
25.01.2020,01:00,1358
25.01.2020,02:00,1358
25.01.2020,03:00,1357
25.01.2020,04:00,1358
25.01.2020,05:00,1358
25.01.2020,06:00,1358
25.01.2020,07:00,1358
25.01.2020,08:00,1358
25.01.2020,09:00,1358
25.01.2020,10:00,1358
25.01.2020,11:00,1357
25.01.2020,12:00,1356
25.01.2020,13:00,1356
25.01.2020,14:00,1357
25.01.2020,15:00,1357
25.01.2020,16:00,1357
25.01.2020,17:00,1358
25.01.2020,18:00,1359
25.01.2020,19:00,1360
25.01.2020,20:00,1357
25.01.2020,21:00,1357
25.01.2020,22:00,1357
25.01.2020,23:00,1357
26.01.2020,00:00,1359
26.01.2020,01:00,1359
26.01.2020,02:00,1359
26.01.2020,03:00,1358
26.01.2020,04:00,1358
26.01.2020,05:00,1358
26.01.2020,06:00,1359
26.01.2020,07:00,1356
26.01.2020,08:00,1355
26.01.2020,09:00,1355
26.01.2020,10:00,1356
26.01.2020,11:00,1355
26.01.2020,12:00,1355
26.01.2020,13:00,1354
26.01.2020,14:00,1352
26.01.2020,15:00,1349
26.01.2020,16:00,1348
26.01.2020,17:00,1348
26.01.2020,18:00,1347
26.01.2020,19:00,1349
26.01.2020,20:00,1347
26.01.2020,21:00,1347
26.01.2020,22:00,1348
26.01.2020,23:00,1347
27.01.2020,00:00,1348
27.01.2020,01:00,1347
27.01.2020,02:00,1346
27.01.2020,03:00,1347
27.01.2020,04:00,1347
27.01.2020,05:00,1347
27.01.2020,06:00,1345
27.01.2020,07:00,1345
27.01.2020,08:00,1346
27.01.2020,09:00,1346
27.01.2020,10:00,1346
27.01.2020,11:00,1345
27.01.2020,12:00,1343
27.01.2020,13:00,1342
27.01.2020,14:00,1343
27.01.2020,15:00,1346
27.01.2020,16:00,1345
27.01.2020,17:00,1346
27.01.2020,18:00,1346
27.01.2020,19:00,1346
27.01.2020,20:00,1345
27.01.2020,21:00,1346
27.01.2020,22:00,1347
27.01.2020,23:00,1350
28.01.2020,00:00,1347
28.01.2020,01:00,1344
28.01.2020,02:00,1343
28.01.2020,03:00,1272
28.01.2020,04:00,1145
28.01.2020,05:00,1230
28.01.2020,06:00,1338
28.01.2020,07:00,1347
28.01.2020,08:00,1347
28.01.2020,09:00,1346
28.01.2020,10:00,1346
28.01.2020,11:00,1347
28.01.2020,12:00,1347
28.01.2020,13:00,1346
28.01.2020,14:00,1349
28.01.2020,15:00,1350
28.01.2020,16:00,1350
28.01.2020,17:00,1349
28.01.2020,18:00,1349
28.01.2020,19:00,1349
28.01.2020,20:00,1351
28.01.2020,21:00,1353
28.01.2020,22:00,1355
28.01.2020,23:00,1353
29.01.2020,00:00,1353
29.01.2020,01:00,1351
29.01.2020,02:00,1353
29.01.2020,03:00,1353
29.01.2020,04:00,1352
29.01.2020,05:00,1351
29.01.2020,06:00,1350
29.01.2020,07:00,1347
29.01.2020,08:00,1347
29.01.2020,09:00,1348
29.01.2020,10:00,1349
29.01.2020,11:00,1350
29.01.2020,12:00,1350
29.01.2020,13:00,1349
29.01.2020,14:00,1349
29.01.2020,15:00,1348
29.01.2020,16:00,1347
29.01.2020,17:00,1348
29.01.2020,18:00,1351
29.01.2020,19:00,1350
29.01.2020,20:00,1349
29.01.2020,21:00,1348
29.01.2020,22:00,1348
29.01.2020,23:00,1349
30.01.2020,00:00,1349
30.01.2020,01:00,1349
30.01.2020,02:00,1348
30.01.2020,03:00,1346
30.01.2020,04:00,1346
30.01.2020,05:00,1345
30.01.2020,06:00,1344
30.01.2020,07:00,1344
30.01.2020,08:00,1343
30.01.2020,09:00,1343
30.01.2020,10:00,1344
30.01.2020,11:00,1345
30.01.2020,12:00,1345
30.01.2020,13:00,1344
30.01.2020,14:00,1342
30.01.2020,15:00,1341
30.01.2020,16:00,1339
30.01.2020,17:00,1339
30.01.2020,18:00,1340
30.01.2020,19:00,1343
